Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2009-04-08,7,46,7.0,7.0,39009,39,Ohio
2009-04-09,32,67,11.0,8.0,39009,39,Ohio
2009-04-10,17,47,30.0,8.0,39009,39,Ohio
2009-04-11,6,45,44.0,7.0,39009,39,Ohio
2009-04-12,5,47,24.0,8.0,39009,39,Ohio
2009-04-13,8,37,52.0,8.0,39009,39,Ohio
2009-04-14,8,32,16.0,8.0,39009,39,Ohio
2009-04-15,3,23,4.0,1.0,39009,39,Ohio
2009-04-16,13,48,30.0,2.0,39009,39,Ohio
2009-04-17,9,80,55.0,3.0,39009,39,Ohio
2009-04-18,34,93,10.0,6.0,39009,39,Ohio
2009-04-19,7,50,26.0,5.0,39009,39,Ohio
2009-04-20,3,38,4.0,3.0,39009,39,Ohio
2009-04-21,3,36,9.0,3.0,39009,39,Ohio
2009-04-22,3,42,4.0,3.0,39009,39,Ohio
2009-04-23,2,47,24.0,5.0,39009,39,Ohio
2009-04-24,7,49,6.0,3.0,39009,39,Ohio
2009-04-25,8,54,10.0,3.0,39009,39,Ohio
2009-04-26,12,64,40.0,5.0,39009,39,Ohio
2009-04-27,8,58,27.0,5.0,39009,39,Ohio
2009-04-28,6,42,26.0,2.0,39009,39,Ohio
2009-04-29,8,31,31.0,0.0,39009,39,Ohio
2009-04-30,6,38,9.0,0.0,39009,39,Ohio
2009-05-01,4,37,14.0,0.0,39009,39,Ohio
2009-05-02,4,39,3.0,0.0,39009,39,Ohio
2009-05-03,5,42,9.0,0.0,39009,39,Ohio
2009-05-04,7,38,75.0,0.0,39009,39,Ohio
2009-05-05,4,33,14.0,0.0,39009,39,Ohio
2009-05-06,4,25,4.0,0.0,39009,39,Ohio
2009-05-07,3,39,24.0,0.0,39009,39,Ohio
2009-05-08,5,38,19.0,0.0,39009,39,Ohio
2009-05-09,1,42,9.0,0.0,39009,39,Ohio
2009-05-10,12,35,3.0,0.0,39009,39,Ohio
2009-05-11,10,42,54.0,0.0,39009,39,Ohio
2009-05-12,11,50,92.0,0.0,39009,39,Ohio
2009-05-13,4,48,30.0,0.0,39009,39,Ohio
2009-05-14,12,37,29.0,0.0,39009,39,Ohio
2009-05-15,13,50,69.0,0.0,39009,39,Ohio
2009-05-16,7,32,3.0,0.0,39009,39,Ohio
2009-05-17,9,42,10.0,1.0,39009,39,Ohio
2009-05-18,20,47,79.0,1.0,39009,39,Ohio
2009-05-19,20,51,10.0,2.0,39009,39,Ohio
2009-05-20,21,64,13.0,2.0,39009,39,Ohio
2009-05-21,22,77,14.0,3.0,39009,39,Ohio
2009-05-22,17,71,7.0,3.0,39009,39,Ohio
2009-05-23,7,71,14.0,2.0,39009,39,Ohio
2009-05-24,8,42,4.0,3.0,39009,39,Ohio
2009-05-25,4,40,19.0,2.0,39009,39,Ohio
2009-05-26,4,26,6.0,1.0,39009,39,Ohio
2009-05-27,4,25,10.0,1.0,39009,39,Ohio
2009-05-28,5,36,4.0,2.0,39009,39,Ohio
2009-05-29,5,47,3.0,1.0,39009,39,Ohio
2009-05-30,3,46,11.0,2.0,39009,39,Ohio
2009-05-31,10,43,10.0,2.0,39009,39,Ohio
2009-06-01,7,67,19.0,2.0,39009,39,Ohio
2009-06-02,6,58,6.0,2.0,39009,39,Ohio
2009-06-03,9,29,46.0,2.0,39009,39,Ohio
2009-06-04,8,20,44.0,1.0,39009,39,Ohio
2009-06-05,6,47,16.0,2.0,39009,39,Ohio
2009-06-06,7,49,13.0,2.0,39009,39,Ohio
2009-06-07,11,46,7.0,2.0,39009,39,Ohio
2009-06-08,10,39,9.0,2.0,39009,39,Ohio
2009-06-09,6,37,6.0,2.0,39009,39,Ohio
2009-06-10,10,33,16.0,2.0,39009,39,Ohio
2009-06-11,5,29,9.0,1.0,39009,39,Ohio
2009-06-12,8,36,4.0,1.0,39009,39,Ohio
2009-06-13,13,40,7.0,2.0,39009,39,Ohio
2009-06-14,9,42,14.0,2.0,39009,39,Ohio
2009-06-15,9,47,26.0,2.0,39009,39,Ohio
2009-06-16,8,46,14.0,2.0,39009,39,Ohio
2009-06-17,4,45,4.0,0.0,39009,39,Ohio
2009-06-18,9,42,3.0,0.0,39009,39,Ohio
2009-06-19,7,33,4.0,0.0,39009,39,Ohio
2009-06-20,2,42,3.0,0.0,39009,39,Ohio
2009-06-21,2,47,3.0,0.0,39009,39,Ohio
2009-06-22,4,38,24.0,0.0,39009,39,Ohio
2009-06-23,6,46,19.0,0.0,39009,39,Ohio
2009-06-24,5,48,11.0,0.0,39009,39,Ohio
2009-06-25,5,48,4.0,0.0,39009,39,Ohio
2009-06-26,9,43,6.0,1.0,39009,39,Ohio
2009-06-27,8,41,20.0,1.0,39009,39,Ohio
2009-06-28,8,48,4.0,0.0,39009,39,Ohio
2009-06-29,3,46,7.0,0.0,39009,39,Ohio
2009-06-30,3,31,6.0,0.0,39009,39,Ohio
2009-07-01,9,31,1.0,0.0,39009,39,Ohio
2009-07-02,4,16,3.0,2.0,39009,39,Ohio
2009-07-03,3,30,1.0,2.0,39009,39,Ohio
2009-07-04,5,36,47.0,2.0,39009,39,Ohio
2009-07-05,6,37,26.0,2.0,39009,39,Ohio
2009-07-06,5,46,3.0,3.0,39009,39,Ohio
2009-07-07,6,47,3.0,3.0,39009,39,Ohio
2009-07-08,8,43,10.0,3.0,39009,39,Ohio
2009-07-09,13,48,55.0,3.0,39009,39,Ohio
2009-07-10,9,47,3.0,3.0,39009,39,Ohio
2009-07-11,7,28,1.0,3.0,39009,39,Ohio
2009-07-12,3,41,1.0,2.0,39009,39,Ohio
2009-07-13,9,41,1.0,2.0,39009,39,Ohio
2009-07-14,17,46,3.0,3.0,39009,39,Ohio
