Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2012-11-30,28,31,0.0,2.0,48453,48,Texas
2012-12-01,9,27,1.0,2.0,48453,48,Texas
2012-12-02,14,27,1.0,1.0,48453,48,Texas
2012-12-03,16,27,4.0,2.0,48453,48,Texas
2012-12-04,12,27,0.0,2.0,48453,48,Texas
2012-12-05,32,29,0.0,3.0,48453,48,Texas
2012-12-06,27,34,3.0,3.0,48453,48,Texas
2012-12-07,35,24,1.0,5.0,48453,48,Texas
2012-12-08,14,30,1.0,5.0,48453,48,Texas
2012-12-09,9,26,0.0,2.0,48453,48,Texas
2012-12-10,12,22,0.0,3.0,48453,48,Texas
2012-12-11,32,25,4.0,5.0,48453,48,Texas
2012-12-12,25,25,4.0,5.0,48453,48,Texas
2012-12-13,28,35,6.0,5.0,48453,48,Texas
2012-12-14,14,31,1.0,2.0,48453,48,Texas
2012-12-15,29,29,0.0,5.0,48453,48,Texas
2012-12-16,18,23,0.0,5.0,48453,48,Texas
2012-12-17,23,32,0.0,2.0,48453,48,Texas
2012-12-18,38,36,3.0,2.0,48453,48,Texas
2012-12-19,8,33,1.0,2.0,48453,48,Texas
2012-12-20,8,33,0.0,1.0,48453,48,Texas
2012-12-21,26,26,6.0,3.0,48453,48,Texas
2012-12-22,16,34,3.0,3.0,48453,48,Texas
2012-12-23,8,27,0.0,1.0,48453,48,Texas
2012-12-24,25,32,3.0,3.0,48453,48,Texas
2012-12-25,10,29,1.0,3.0,48453,48,Texas
2012-12-26,13,25,0.0,1.0,48453,48,Texas
2012-12-27,24,10,1.0,2.0,48453,48,Texas
2012-12-28,8,25,0.0,1.0,48453,48,Texas
2012-12-29,29,29,0.0,2.0,48453,48,Texas
2012-12-30,24,26,3.0,2.0,48453,48,Texas
2012-12-31,16,19,0.0,3.0,48453,48,Texas
2013-01-01,9,17,0.0,2.0,48453,48,Texas
2013-01-02,15,21,0.0,2.0,48453,48,Texas
2013-01-03,15,28,0.0,2.0,48453,48,Texas
2013-01-04,14,27,4.0,2.0,48453,48,Texas
2013-01-05,15,28,0.0,3.0,48453,48,Texas
2013-01-06,16,33,0.0,3.0,48453,48,Texas
2013-01-07,25,31,1.0,2.0,48453,48,Texas
