Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2007-01-01,18,16,3.0,2.0,24033,24,Maryland
2007-01-02,26,19,9.0,5.0,24033,24,Maryland
2007-01-03,29,10,10.0,10.0,24033,24,Maryland
2007-01-04,27,11,7.0,5.0,24033,24,Maryland
2007-01-05,24,12,1.0,6.0,24033,24,Maryland
2007-01-06,15,24,3.0,2.0,24033,24,Maryland
2007-01-07,10,20,14.0,2.0,24033,24,Maryland
2007-01-08,23,21,9.0,3.0,24033,24,Maryland
2007-01-09,26,19,4.0,2.0,24033,24,Maryland
2007-01-10,23,20,3.0,2.0,24033,24,Maryland
2007-01-11,31,14,31.0,6.0,24033,24,Maryland
2007-01-12,28,8,9.0,3.0,24033,24,Maryland
2007-01-13,25,11,13.0,3.0,24033,24,Maryland
2007-01-14,22,8,4.0,5.0,24033,24,Maryland
2007-01-15,22,16,7.0,6.0,24033,24,Maryland
2007-01-16,12,20,6.0,2.0,24033,24,Maryland
2007-01-17,25,19,3.0,2.0,24033,24,Maryland
2007-01-18,28,4,20.0,5.0,24033,24,Maryland
2007-01-19,23,19,7.0,3.0,24033,24,Maryland
2007-01-20,8,23,6.0,1.0,24033,24,Maryland
2007-01-21,13,18,13.0,2.0,24033,24,Maryland
2007-01-22,22,8,3.0,5.0,24033,24,Maryland
2007-01-23,21,19,11.0,5.0,24033,24,Maryland
2007-01-24,21,10,11.0,3.0,24033,24,Maryland
2007-01-25,16,19,9.0,3.0,24033,24,Maryland
2007-01-26,14,21,11.0,2.0,24033,24,Maryland
2007-01-27,29,14,7.0,5.0,24033,24,Maryland
2007-01-28,25,19,7.0,6.0,24033,24,Maryland
2007-01-29,24,19,10.0,2.0,24033,24,Maryland
2007-01-30,26,19,9.0,6.0,24033,24,Maryland
2007-01-31,22,18,10.0,3.0,24033,24,Maryland
2007-02-01,25,10,11.0,5.0,24033,24,Maryland
2007-02-02,24,14,30.0,3.0,24033,24,Maryland
2007-02-03,25,24,9.0,3.0,24033,24,Maryland
2007-02-04,18,22,7.0,2.0,24033,24,Maryland
2007-02-05,9,19,13.0,2.0,24033,24,Maryland
2007-02-06,25,8,17.0,2.0,24033,24,Maryland
2007-02-12,39,3,20.0,6.0,24033,24,Maryland
2007-02-13,31,14,47.0,5.0,24033,24,Maryland
2007-02-14,19,25,11.0,2.0,24033,24,Maryland
2007-02-15,17,25,14.0,2.0,24033,24,Maryland
2007-02-16,28,27,13.0,2.0,24033,24,Maryland
2007-02-17,38,22,7.0,5.0,24033,24,Maryland
2007-02-18,30,28,13.0,3.0,24033,24,Maryland
2007-02-19,22,28,13.0,3.0,24033,24,Maryland
2007-02-20,44,15,13.0,7.0,24033,24,Maryland
2007-02-21,35,32,7.0,7.0,24033,24,Maryland
2007-02-22,30,25,14.0,7.0,24033,24,Maryland
2007-02-23,9,26,10.0,2.0,24033,24,Maryland
2007-02-24,29,29,9.0,3.0,24033,24,Maryland
2007-02-25,31,14,10.0,6.0,24033,24,Maryland
2007-02-26,23,12,7.0,6.0,24033,24,Maryland
2007-02-27,27,17,10.0,7.0,24033,24,Maryland
2007-02-28,32,24,13.0,3.0,24033,24,Maryland
2007-03-01,28,29,19.0,5.0,24033,24,Maryland
2007-03-02,29,33,4.0,3.0,24033,24,Maryland
2007-03-03,34,31,6.0,5.0,24033,24,Maryland
2007-03-04,8,25,11.0,2.0,24033,24,Maryland
2007-03-05,26,27,11.0,2.0,24033,24,Maryland
2007-03-06,12,26,7.0,2.0,24033,24,Maryland
2007-03-07,36,20,10.0,3.0,24033,24,Maryland
2007-03-08,33,30,7.0,5.0,24033,24,Maryland
2007-03-09,37,31,10.0,5.0,24033,24,Maryland
2007-03-10,18,38,7.0,2.0,24033,24,Maryland
2007-03-11,28,34,9.0,3.0,24033,24,Maryland
2007-03-12,40,27,13.0,5.0,24033,24,Maryland
2007-03-13,33,38,16.0,5.0,24033,24,Maryland
2007-03-14,47,40,13.0,6.0,24033,24,Maryland
2007-03-15,41,22,11.0,5.0,24033,24,Maryland
2007-03-16,25,21,10.0,2.0,24033,24,Maryland
2007-03-17,8,29,9.0,2.0,24033,24,Maryland
2007-03-18,28,31,4.0,2.0,24033,24,Maryland
2007-03-19,35,35,11.0,6.0,24033,24,Maryland
2007-03-20,18,35,6.0,2.0,24033,24,Maryland
2007-03-21,21,23,23.0,2.0,24033,24,Maryland
2007-03-22,22,37,10.0,2.0,24033,24,Maryland
2007-03-23,38,31,9.0,3.0,24033,24,Maryland
2007-03-24,26,13,11.0,3.0,24033,24,Maryland
2007-03-25,15,32,20.0,3.0,24033,24,Maryland
2007-03-26,20,30,10.0,2.0,24033,24,Maryland
2007-03-27,39,36,13.0,5.0,24033,24,Maryland
2007-03-28,25,17,21.0,2.0,24033,24,Maryland
2007-03-29,37,32,6.0,2.0,24033,24,Maryland
2007-03-30,37,22,14.0,3.0,24033,24,Maryland
2007-03-31,32,36,21.0,5.0,24033,24,Maryland
2007-04-01,14,31,1.0,2.0,24033,24,Maryland
2007-04-02,42,42,3.0,5.0,24033,24,Maryland
2007-04-03,39,36,30.0,3.0,24033,24,Maryland
2007-04-04,20,29,24.0,3.0,24033,24,Maryland
2007-04-05,9,25,7.0,2.0,24033,24,Maryland
2007-04-06,16,31,14.0,2.0,24033,24,Maryland
2007-04-07,10,27,6.0,2.0,24033,24,Maryland
2007-04-08,10,23,17.0,2.0,24033,24,Maryland
2007-04-09,28,25,11.0,3.0,24033,24,Maryland
2007-04-10,32,29,14.0,3.0,24033,24,Maryland
2007-04-11,30,39,7.0,5.0,24033,24,Maryland
2007-04-12,12,31,17.0,3.0,24033,24,Maryland
2007-04-13,14,35,13.0,2.0,24033,24,Maryland
2007-04-14,29,33,11.0,5.0,24033,24,Maryland
2007-04-15,8,31,6.0,2.0,24033,24,Maryland
2007-04-16,9,30,3.0,2.0,24033,24,Maryland
2007-04-17,8,30,6.0,2.0,24033,24,Maryland
2007-04-18,15,28,14.0,3.0,24033,24,Maryland
2007-04-19,25,23,9.0,3.0,24033,24,Maryland
2007-04-20,35,40,26.0,5.0,24033,24,Maryland
2007-04-21,38,48,31.0,6.0,24033,24,Maryland
2007-04-22,40,71,13.0,7.0,24033,24,Maryland
2007-04-23,33,61,16.0,5.0,24033,24,Maryland
2007-04-24,26,47,16.0,3.0,24033,24,Maryland
2007-04-25,33,40,20.0,3.0,24033,24,Maryland
2007-04-26,12,34,14.0,3.0,24033,24,Maryland
2007-04-27,25,22,14.0,5.0,24033,24,Maryland
2007-04-28,13,34,13.0,5.0,24033,24,Maryland
2007-04-29,19,43,13.0,2.0,24033,24,Maryland
2007-04-30,32,48,14.0,6.0,24033,24,Maryland
2007-05-01,15,45,16.0,2.0,24033,24,Maryland
2007-05-02,25,46,11.0,3.0,24033,24,Maryland
2007-05-03,24,36,16.0,3.0,24033,24,Maryland
2007-05-04,23,42,9.0,3.0,24033,24,Maryland
2007-05-05,19,38,6.0,3.0,24033,24,Maryland
2007-05-06,9,36,6.0,3.0,24033,24,Maryland
2007-05-07,16,34,10.0,2.0,24033,24,Maryland
2007-05-08,19,31,23.0,3.0,24033,24,Maryland
2007-05-09,14,27,1.0,3.0,24033,24,Maryland
2007-05-10,10,31,6.0,2.0,24033,24,Maryland
2007-05-11,28,48,3.0,3.0,24033,24,Maryland
2007-05-12,29,48,21.0,5.0,24033,24,Maryland
2007-05-13,20,40,3.0,2.0,24033,24,Maryland
2007-05-14,18,39,7.0,3.0,24033,24,Maryland
2007-05-15,15,71,6.0,3.0,24033,24,Maryland
2007-05-16,15,48,6.0,3.0,24033,24,Maryland
2007-05-17,21,32,0.0,3.0,24033,24,Maryland
2007-05-18,13,20,1.0,3.0,24033,24,Maryland
2007-05-19,10,43,6.0,2.0,24033,24,Maryland
2007-05-20,7,47,10.0,2.0,24033,24,Maryland
2007-05-21,21,41,1.0,3.0,24033,24,Maryland
2007-05-22,25,58,24.0,5.0,24033,24,Maryland
2007-05-23,20,48,16.0,3.0,24033,24,Maryland
2007-05-24,23,71,10.0,3.0,24033,24,Maryland
2007-05-25,25,104,11.0,3.0,24033,24,Maryland
2007-05-26,27,87,10.0,5.0,24033,24,Maryland
2007-05-27,12,93,11.0,3.0,24033,24,Maryland
2007-05-28,25,44,11.0,5.0,24033,24,Maryland
2007-05-29,25,71,16.0,5.0,24033,24,Maryland
2007-05-30,35,124,10.0,3.0,24033,24,Maryland
2007-05-31,17,122,6.0,3.0,24033,24,Maryland
2007-06-01,20,111,7.0,3.0,24033,24,Maryland
2007-06-02,13,87,9.0,3.0,24033,24,Maryland
2007-06-03,6,24,7.0,2.0,24033,24,Maryland
2007-06-04,10,22,6.0,2.0,24033,24,Maryland
2007-06-05,18,40,0.0,5.0,24033,24,Maryland
2007-06-06,16,33,4.0,2.0,24033,24,Maryland
2007-06-07,25,100,7.0,5.0,24033,24,Maryland
2007-06-08,20,80,1.0,3.0,24033,24,Maryland
2007-06-09,9,45,1.0,2.0,24033,24,Maryland
2007-06-10,8,38,49.0,2.0,24033,24,Maryland
2007-06-11,20,48,14.0,3.0,24033,24,Maryland
2007-06-12,24,39,4.0,3.0,24033,24,Maryland
2007-06-13,12,27,21.0,2.0,24033,24,Maryland
2007-06-14,8,25,17.0,2.0,24033,24,Maryland
2007-06-15,15,23,1.0,2.0,24033,24,Maryland
2007-06-16,25,42,1.0,3.0,24033,24,Maryland
2007-06-17,27,47,11.0,5.0,24033,24,Maryland
2007-06-18,18,116,9.0,3.0,24033,24,Maryland
2007-06-19,10,109,10.0,3.0,24033,24,Maryland
2007-06-20,23,38,1.0,2.0,24033,24,Maryland
2007-06-21,18,58,11.0,2.0,24033,24,Maryland
2007-06-22,13,33,1.0,2.0,24033,24,Maryland
2007-06-23,18,42,6.0,2.0,24033,24,Maryland
2007-06-24,18,74,6.0,3.0,24033,24,Maryland
2007-06-25,13,71,9.0,2.0,24033,24,Maryland
2007-06-26,23,101,11.0,3.0,24033,24,Maryland
2007-06-27,28,87,10.0,3.0,24033,24,Maryland
2007-06-28,19,47,23.0,3.0,24033,24,Maryland
2007-06-29,14,22,10.0,3.0,24033,24,Maryland
2007-06-30,15,47,46.0,3.0,24033,24,Maryland
2007-07-01,21,33,6.0,3.0,24033,24,Maryland
2007-07-02,17,33,13.0,2.0,24033,24,Maryland
2007-07-03,30,46,16.0,3.0,24033,24,Maryland
2007-07-04,5,43,3.0,2.0,24033,24,Maryland
2007-07-05,15,33,3.0,3.0,24033,24,Maryland
2007-07-06,21,47,9.0,2.0,24033,24,Maryland
2007-07-07,21,64,6.0,3.0,24033,24,Maryland
2007-07-08,23,61,6.0,5.0,24033,24,Maryland
2007-07-09,32,127,17.0,5.0,24033,24,Maryland
2007-07-10,30,42,4.0,5.0,24033,24,Maryland
2007-07-11,17,41,3.0,3.0,24033,24,Maryland
2007-07-12,16,41,3.0,2.0,24033,24,Maryland
2007-07-13,22,43,9.0,2.0,24033,24,Maryland
2007-07-14,13,54,6.0,2.0,24033,24,Maryland
2007-07-15,10,51,4.0,2.0,24033,24,Maryland
2007-07-16,23,54,9.0,2.0,24033,24,Maryland
2007-07-17,13,122,7.0,2.0,24033,24,Maryland
2007-07-18,11,47,6.0,2.0,24033,24,Maryland
2007-07-19,25,39,4.0,2.0,24033,24,Maryland
2007-07-20,18,38,9.0,2.0,24033,24,Maryland
2007-07-21,19,36,7.0,2.0,24033,24,Maryland
2007-07-22,15,32,13.0,2.0,24033,24,Maryland
2007-07-23,21,41,6.0,2.0,24033,24,Maryland
2007-07-24,21,48,16.0,1.0,24033,24,Maryland
2007-07-25,20,67,11.0,2.0,24033,24,Maryland
2007-07-26,8,44,16.0,2.0,24033,24,Maryland
2007-07-27,16,67,10.0,2.0,24033,24,Maryland
2007-07-28,19,104,6.0,2.0,24033,24,Maryland
2007-07-29,9,46,37.0,2.0,24033,24,Maryland
2007-07-30,24,36,30.0,3.0,24033,24,Maryland
2007-07-31,26,54,4.0,1.0,24033,24,Maryland
2007-08-01,31,87,16.0,2.0,24033,24,Maryland
2007-08-02,34,122,9.0,2.0,24033,24,Maryland
2007-08-03,20,104,7.0,1.0,24033,24,Maryland
2007-08-04,24,116,11.0,3.0,24033,24,Maryland
2007-08-05,20,58,16.0,2.0,24033,24,Maryland
2007-08-06,18,50,9.0,2.0,24033,24,Maryland
2007-08-07,23,135,16.0,2.0,24033,24,Maryland
2007-08-08,18,49,10.0,2.0,24033,24,Maryland
2007-08-09,17,49,11.0,1.0,24033,24,Maryland
2007-08-10,17,47,16.0,2.0,24033,24,Maryland
2007-08-11,15,45,9.0,1.0,24033,24,Maryland
2007-08-12,24,58,4.0,2.0,24033,24,Maryland
2007-08-13,19,46,16.0,1.0,24033,24,Maryland
2007-08-14,19,50,16.0,1.0,24033,24,Maryland
2007-08-15,30,97,9.0,2.0,24033,24,Maryland
2007-08-16,34,58,16.0,3.0,24033,24,Maryland
2007-08-17,17,74,14.0,2.0,24033,24,Maryland
2007-08-18,9,29,6.0,0.0,24033,24,Maryland
2007-08-19,17,27,14.0,1.0,24033,24,Maryland
2007-08-20,17,18,40.0,1.0,24033,24,Maryland
2007-08-21,16,8,13.0,1.0,24033,24,Maryland
2007-08-22,22,8,51.0,1.0,24033,24,Maryland
2007-08-23,15,25,9.0,1.0,24033,24,Maryland
2007-08-24,12,67,7.0,1.0,24033,24,Maryland
2007-08-25,14,93,4.0,2.0,24033,24,Maryland
2007-08-26,8,37,9.0,1.0,24033,24,Maryland
2007-08-27,23,42,7.0,1.0,24033,24,Maryland
2007-08-28,22,45,7.0,2.0,24033,24,Maryland
2007-08-29,19,48,3.0,1.0,24033,24,Maryland
2007-08-30,29,87,7.0,2.0,24033,24,Maryland
2007-08-31,27,41,14.0,1.0,24033,24,Maryland
2007-09-01,15,34,14.0,0.0,24033,24,Maryland
2007-09-02,18,43,20.0,0.0,24033,24,Maryland
2007-09-03,22,74,3.0,0.0,24033,24,Maryland
2007-09-04,24,45,6.0,1.0,24033,24,Maryland
2007-09-05,24,84,7.0,0.0,24033,24,Maryland
2007-09-06,8,64,11.0,0.0,24033,24,Maryland
2007-09-07,13,80,4.0,0.0,24033,24,Maryland
2007-09-17,15,33,10.0,0.0,24033,24,Maryland
2007-09-18,20,36,23.0,1.0,24033,24,Maryland
2007-09-19,17,34,26.0,1.0,24033,24,Maryland
2007-09-20,19,28,14.0,2.0,24033,24,Maryland
2007-09-21,22,43,33.0,5.0,24033,24,Maryland
2007-09-22,16,36,1.0,2.0,24033,24,Maryland
2007-09-23,15,40,17.0,3.0,24033,24,Maryland
2007-09-24,18,42,10.0,2.0,24033,24,Maryland
2007-09-25,30,77,4.0,5.0,24033,24,Maryland
2007-09-26,25,67,4.0,3.0,24033,24,Maryland
2007-09-27,24,45,17.0,3.0,24033,24,Maryland
2007-09-28,13,34,3.0,2.0,24033,24,Maryland
2007-09-29,17,31,3.0,2.0,24033,24,Maryland
2007-09-30,18,42,13.0,3.0,24033,24,Maryland
2007-10-01,13,35,0.0,2.0,24033,24,Maryland
2007-10-02,16,32,1.0,2.0,24033,24,Maryland
2007-10-03,12,28,19.0,2.0,24033,24,Maryland
2007-10-04,17,24,14.0,3.0,24033,24,Maryland
2007-10-05,8,24,3.0,2.0,24033,24,Maryland
2007-10-06,15,26,4.0,3.0,24033,24,Maryland
2007-10-07,12,42,11.0,6.0,24033,24,Maryland
2007-10-08,33,42,13.0,3.0,24033,24,Maryland
