Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-01,13,19,4.0,8.0,6013,6,California
2000-01-02,15,25,6.0,7.0,6013,6,California
2000-01-03,25,18,3.0,7.0,6013,6,California
2000-01-04,26,15,9.0,11.0,6013,6,California
2000-01-05,11,26,1.0,6.0,6013,6,California
2000-01-06,24,11,1.0,10.0,6013,6,California
2000-01-07,31,21,3.0,8.0,6013,6,California
2000-01-08,29,9,6.0,13.0,6013,6,California
2000-01-09,20,16,4.0,9.0,6013,6,California
2000-01-10,15,14,3.0,7.0,6013,6,California
2000-01-11,16,22,1.0,6.0,6013,6,California
2000-01-12,25,14,10.0,8.0,6013,6,California
2000-01-13,24,12,3.0,8.0,6013,6,California
2000-01-14,25,5,4.0,9.0,6013,6,California
2000-01-15,19,18,1.0,10.0,6013,6,California
2000-01-16,17,25,1.0,6.0,6013,6,California
2000-01-17,16,8,1.0,7.0,6013,6,California
2000-01-18,19,12,4.0,7.0,6013,6,California
2000-01-19,15,11,1.0,7.0,6013,6,California
2000-01-20,19,18,3.0,6.0,6013,6,California
2000-01-21,21,21,1.0,7.0,6013,6,California
2000-01-22,16,14,4.0,7.0,6013,6,California
2000-01-23,17,18,1.0,7.0,6013,6,California
2000-01-24,16,18,0.0,6.0,6013,6,California
2000-01-25,18,19,3.0,6.0,6013,6,California
2000-01-26,23,16,6.0,9.0,6013,6,California
2000-01-27,22,14,1.0,10.0,6013,6,California
2000-01-28,21,5,6.0,11.0,6013,6,California
2000-01-29,25,9,3.0,9.0,6013,6,California
2000-01-30,9,24,1.0,9.0,6013,6,California
2000-01-31,22,19,1.0,7.0,6013,6,California
2000-02-01,21,18,1.0,5.0,6013,6,California
2000-02-02,24,9,1.0,8.0,6013,6,California
2000-02-03,21,25,4.0,8.0,6013,6,California
2000-02-04,16,15,1.0,6.0,6013,6,California
2000-02-05,17,19,3.0,7.0,6013,6,California
2000-02-06,18,20,1.0,8.0,6013,6,California
2000-02-07,23,12,3.0,8.0,6013,6,California
2000-02-08,31,12,10.0,9.0,6013,6,California
2000-02-09,22,11,6.0,9.0,6013,6,California
2000-02-10,15,19,1.0,6.0,6013,6,California
2000-02-11,14,28,3.0,5.0,6013,6,California
2000-02-12,8,26,0.0,3.0,6013,6,California
2000-02-13,5,23,1.0,3.0,6013,6,California
2000-02-14,4,29,1.0,3.0,6013,6,California
2000-02-23,14,28,4.0,3.0,6013,6,California
2000-02-24,15,25,3.0,5.0,6013,6,California
2000-02-25,18,25,1.0,6.0,6013,6,California
2000-02-26,12,31,1.0,6.0,6013,6,California
2000-02-27,6,34,1.0,3.0,6013,6,California
2000-02-28,11,31,3.0,3.0,6013,6,California
2000-02-29,19,36,3.0,3.0,6013,6,California
2000-03-01,15,32,6.0,5.0,6013,6,California
2000-03-02,13,25,3.0,5.0,6013,6,California
2000-03-03,18,30,4.0,6.0,6013,6,California
2000-03-04,20,27,3.0,6.0,6013,6,California
2000-03-05,10,25,1.0,5.0,6013,6,California
2000-03-06,16,33,3.0,5.0,6013,6,California
2000-03-07,15,25,1.0,5.0,6013,6,California
2000-03-08,9,30,3.0,5.0,6013,6,California
2000-03-09,14,32,1.0,3.0,6013,6,California
2000-03-10,15,34,3.0,5.0,6013,6,California
2000-03-11,15,32,6.0,5.0,6013,6,California
2000-03-12,21,34,7.0,3.0,6013,6,California
2000-03-13,15,27,10.0,6.0,6013,6,California
2000-03-14,22,31,7.0,3.0,6013,6,California
2000-03-15,23,36,10.0,5.0,6013,6,California
2000-03-16,16,33,3.0,2.0,6013,6,California
2000-03-17,15,31,10.0,3.0,6013,6,California
2000-03-18,18,36,11.0,3.0,6013,6,California
2000-03-19,11,31,6.0,3.0,6013,6,California
2000-03-20,3,39,0.0,3.0,6013,6,California
2000-03-21,6,38,0.0,2.0,6013,6,California
2000-03-22,12,39,4.0,3.0,6013,6,California
2000-03-23,15,31,3.0,3.0,6013,6,California
2000-03-24,18,31,6.0,5.0,6013,6,California
2000-03-25,10,36,4.0,3.0,6013,6,California
2000-03-26,13,36,6.0,5.0,6013,6,California
2000-03-27,10,35,1.0,3.0,6013,6,California
2000-03-28,14,34,3.0,5.0,6013,6,California
2000-03-29,16,41,3.0,6.0,6013,6,California
2000-03-30,17,42,4.0,5.0,6013,6,California
