Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2008-01-01,34,32,0.0,3.0,48029,48,Texas
2008-01-02,33,30,1.0,7.0,48029,48,Texas
2008-01-03,32,34,14.0,3.0,48029,48,Texas
2008-01-04,31,31,11.0,7.0,48029,48,Texas
2008-01-05,16,31,0.0,3.0,48029,48,Texas
2008-01-06,13,28,13.0,6.0,48029,48,Texas
2008-01-07,9,26,11.0,3.0,48029,48,Texas
2008-01-08,21,30,3.0,5.0,48029,48,Texas
2008-01-09,39,34,30.0,9.0,48029,48,Texas
2008-01-10,33,32,4.0,10.0,48029,48,Texas
2008-01-11,45,40,60.0,11.0,48029,48,Texas
2008-01-12,41,36,3.0,13.0,48029,48,Texas
2008-01-13,32,36,1.0,5.0,48029,48,Texas
2008-01-14,37,31,3.0,7.0,48029,48,Texas
2008-01-15,38,25,1.0,5.0,48029,48,Texas
2008-01-16,21,25,1.0,3.0,48029,48,Texas
2008-01-17,14,20,1.0,3.0,48029,48,Texas
2008-01-18,18,20,0.0,3.0,48029,48,Texas
2008-01-19,27,29,3.0,11.0,48029,48,Texas
2008-01-20,27,36,11.0,13.0,48029,48,Texas
2008-01-21,17,26,1.0,5.0,48029,48,Texas
2008-01-22,13,23,4.0,6.0,48029,48,Texas
2008-01-23,16,10,1.0,3.0,48029,48,Texas
2008-01-24,19,19,1.0,3.0,48029,48,Texas
2008-01-25,22,17,1.0,5.0,48029,48,Texas
2008-01-26,32,27,6.0,14.0,48029,48,Texas
2008-01-27,31,36,39.0,22.0,48029,48,Texas
2008-01-28,15,26,1.0,3.0,48029,48,Texas
2008-01-29,11,33,3.0,2.0,48029,48,Texas
2008-01-30,33,32,31.0,3.0,48029,48,Texas
2008-01-31,38,35,1.0,3.0,48029,48,Texas
2008-02-01,38,36,11.0,11.0,48029,48,Texas
2008-02-02,29,40,11.0,8.0,48029,48,Texas
2008-02-03,5,36,7.0,3.0,48029,48,Texas
2008-02-04,8,30,20.0,3.0,48029,48,Texas
2008-02-05,17,32,3.0,3.0,48029,48,Texas
2008-02-06,38,35,3.0,8.0,48029,48,Texas
2008-02-07,46,37,1.0,9.0,48029,48,Texas
2008-02-08,45,43,6.0,16.0,48029,48,Texas
2008-02-09,34,42,16.0,13.0,48029,48,Texas
2008-02-10,25,38,14.0,5.0,48029,48,Texas
2008-02-11,9,30,11.0,3.0,48029,48,Texas
2008-02-12,19,32,3.0,3.0,48029,48,Texas
2008-02-13,40,39,24.0,9.0,48029,48,Texas
2008-02-14,32,39,29.0,7.0,48029,48,Texas
2008-02-15,11,25,1.0,3.0,48029,48,Texas
2008-02-16,19,25,1.0,3.0,48029,48,Texas
2008-02-17,24,36,3.0,3.0,48029,48,Texas
2008-02-18,28,34,1.0,2.0,48029,48,Texas
2008-02-19,37,40,19.0,6.0,48029,48,Texas
2008-02-20,15,31,1.0,3.0,48029,48,Texas
2008-02-21,15,33,1.0,3.0,48029,48,Texas
2008-02-22,18,31,0.0,3.0,48029,48,Texas
2008-02-23,23,37,30.0,3.0,48029,48,Texas
2008-02-24,27,46,3.0,3.0,48029,48,Texas
2008-02-25,40,32,3.0,7.0,48029,48,Texas
2008-02-26,22,37,0.0,6.0,48029,48,Texas
2008-02-27,43,39,24.0,6.0,48029,48,Texas
2008-02-28,32,42,9.0,8.0,48029,48,Texas
2008-02-29,12,38,7.0,3.0,48029,48,Texas
2008-03-01,20,32,19.0,5.0,48029,48,Texas
2008-03-02,11,28,9.0,3.0,48029,48,Texas
2008-03-03,10,29,3.0,3.0,48029,48,Texas
2008-03-04,33,39,3.0,5.0,48029,48,Texas
2008-03-05,43,47,13.0,8.0,48029,48,Texas
2008-03-06,14,30,0.0,3.0,48029,48,Texas
2008-03-07,42,39,3.0,9.0,48029,48,Texas
2008-03-08,35,45,27.0,15.0,48029,48,Texas
2008-03-09,32,40,7.0,5.0,48029,48,Texas
2008-03-10,27,31,4.0,5.0,48029,48,Texas
2008-03-11,36,44,6.0,10.0,48029,48,Texas
2008-03-12,37,49,27.0,13.0,48029,48,Texas
2008-03-13,14,35,1.0,3.0,48029,48,Texas
2008-03-14,41,42,4.0,7.0,48029,48,Texas
2008-03-15,35,71,4.0,9.0,48029,48,Texas
2008-03-16,7,34,1.0,3.0,48029,48,Texas
2008-03-17,9,24,6.0,3.0,48029,48,Texas
2008-03-18,8,18,4.0,3.0,48029,48,Texas
2008-03-19,39,40,3.0,7.0,48029,48,Texas
2008-03-20,35,50,11.0,10.0,48029,48,Texas
2008-03-21,27,54,3.0,6.0,48029,48,Texas
2008-03-22,25,47,10.0,7.0,48029,48,Texas
2008-03-23,15,42,3.0,6.0,48029,48,Texas
2008-03-24,18,46,23.0,3.0,48029,48,Texas
2008-03-25,23,44,6.0,5.0,48029,48,Texas
2008-03-26,8,36,14.0,3.0,48029,48,Texas
2008-03-27,11,35,11.0,2.0,48029,48,Texas
2008-03-28,15,28,9.0,3.0,48029,48,Texas
2008-03-29,11,20,0.0,3.0,48029,48,Texas
