Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2013-12-01,37,24,1.0,6.0,1073,1,Alabama
2013-12-02,30,12,3.0,6.0,1073,1,Alabama
2013-12-03,21,11,3.0,3.0,1073,1,Alabama
2013-12-04,18,13,1.0,2.0,1073,1,Alabama
2013-12-05,15,13,1.0,2.0,1073,1,Alabama
2013-12-06,9,6,0.0,2.0,1073,1,Alabama
2013-12-07,8,9,0.0,2.0,1073,1,Alabama
2013-12-08,9,0,4.0,3.0,1073,1,Alabama
2013-12-09,8,7,0.0,3.0,1073,1,Alabama
2013-12-10,26,19,1.0,3.0,1073,1,Alabama
2013-12-11,26,17,17.0,5.0,1073,1,Alabama
2013-12-12,26,25,11.0,3.0,1073,1,Alabama
2013-12-13,33,18,17.0,6.0,1073,1,Alabama
2013-12-14,20,20,7.0,2.0,1073,1,Alabama
2013-12-15,8,20,0.0,1.0,1073,1,Alabama
2013-12-16,38,19,1.0,6.0,1073,1,Alabama
2013-12-17,33,30,1.0,7.0,1073,1,Alabama
2013-12-18,37,25,16.0,3.0,1073,1,Alabama
2013-12-19,28,28,4.0,9.0,1073,1,Alabama
2013-12-20,13,28,3.0,2.0,1073,1,Alabama
2013-12-21,8,24,0.0,1.0,1073,1,Alabama
2013-12-22,13,27,1.0,2.0,1073,1,Alabama
2013-12-23,7,18,0.0,2.0,1073,1,Alabama
2013-12-24,8,27,0.0,3.0,1073,1,Alabama
2013-12-25,22,26,7.0,6.0,1073,1,Alabama
2013-12-26,25,28,50.0,8.0,1073,1,Alabama
2013-12-27,27,26,27.0,6.0,1073,1,Alabama
2013-12-28,24,15,11.0,7.0,1073,1,Alabama
2013-12-29,24,22,0.0,5.0,1073,1,Alabama
2013-12-30,19,10,6.0,6.0,1073,1,Alabama
2013-12-31,43,19,11.0,6.0,1073,1,Alabama
2014-01-01,44,19,3.0,6.0,1073,1,Alabama
2014-01-02,7,26,0.0,2.0,1073,1,Alabama
2014-01-03,1,27,6.0,2.0,1073,1,Alabama
2014-01-06,8,29,0.0,1.0,1073,1,Alabama
2014-01-07,63,23,4.0,5.0,1073,1,Alabama
2014-01-08,82,18,19.0,10.0,1073,1,Alabama
2014-02-18,13,22,7.0,5.0,1073,1,Alabama
2014-02-19,24,19,1.0,3.0,1073,1,Alabama
2014-02-20,7,22,1.0,3.0,1073,1,Alabama
2014-02-21,32,33,9.0,5.0,1073,1,Alabama
2014-02-22,33,31,11.0,7.0,1073,1,Alabama
2014-02-23,33,36,11.0,6.0,1073,1,Alabama
2014-02-24,26,30,9.0,7.0,1073,1,Alabama
2014-02-25,28,23,27.0,3.0,1073,1,Alabama
2014-02-26,8,27,1.0,2.0,1073,1,Alabama
2014-02-27,23,34,1.0,6.0,1073,1,Alabama
2014-02-28,11,30,9.0,7.0,1073,1,Alabama
2014-03-03,5,28,0.0,1.0,1073,1,Alabama
2014-03-04,14,25,6.0,3.0,1073,1,Alabama
2014-03-05,9,6,3.0,5.0,1073,1,Alabama
2014-03-06,10,23,0.0,2.0,1073,1,Alabama
2014-03-07,37,29,19.0,5.0,1073,1,Alabama
2014-03-08,37,31,10.0,7.0,1073,1,Alabama
2014-03-09,36,35,0.0,8.0,1073,1,Alabama
2014-03-10,33,30,4.0,6.0,1073,1,Alabama
2014-03-11,30,33,10.0,8.0,1073,1,Alabama
2014-03-12,13,31,0.0,2.0,1073,1,Alabama
2014-03-13,34,36,1.0,5.0,1073,1,Alabama
2014-03-14,35,35,3.0,6.0,1073,1,Alabama
2014-03-15,13,34,6.0,3.0,1073,1,Alabama
2014-03-16,31,21,0.0,3.0,1073,1,Alabama
