Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2008-10-01,2,33,7.0,1.0,47009,47,Tennessee
2008-10-02,3,40,4.0,1.0,47009,47,Tennessee
2008-10-03,0,51,4.0,2.0,47009,47,Tennessee
2008-10-04,0,71,9.0,2.0,47009,47,Tennessee
2008-10-05,0,77,9.0,2.0,47009,47,Tennessee
2008-10-06,0,64,7.0,2.0,47009,47,Tennessee
2008-10-07,0,61,3.0,2.0,47009,47,Tennessee
2008-10-08,5,42,0.0,1.0,47009,47,Tennessee
2008-10-09,2,29,7.0,2.0,47009,47,Tennessee
2008-10-10,2,35,4.0,2.0,47009,47,Tennessee
2008-10-11,0,37,3.0,2.0,47009,47,Tennessee
2008-10-12,0,43,0.0,1.0,47009,47,Tennessee
2008-10-13,1,42,3.0,1.0,47009,47,Tennessee
2008-10-14,2,47,4.0,1.0,47009,47,Tennessee
2008-10-15,1,50,6.0,1.0,47009,47,Tennessee
2008-10-16,2,40,7.0,6.0,47009,47,Tennessee
2008-10-17,5,26,0.0,6.0,47009,47,Tennessee
2008-10-18,4,25,6.0,10.0,47009,47,Tennessee
2008-10-19,3,34,9.0,9.0,47009,47,Tennessee
2008-10-20,0,42,6.0,10.0,47009,47,Tennessee
2008-10-24,5,32,0.0,2.0,47009,47,Tennessee
2008-10-25,1,32,1.0,1.0,47009,47,Tennessee
2008-10-26,1,41,4.0,1.0,47009,47,Tennessee
2008-10-27,2,31,3.0,1.0,47009,47,Tennessee
2008-10-28,3,22,6.0,2.0,47009,47,Tennessee
2008-10-29,4,31,10.0,3.0,47009,47,Tennessee
2008-10-30,3,37,6.0,5.0,47009,47,Tennessee
2008-10-31,1,44,3.0,7.0,47009,47,Tennessee
2008-11-01,2,58,7.0,9.0,47009,47,Tennessee
2008-11-02,1,67,13.0,11.0,47009,47,Tennessee
2008-11-03,3,64,10.0,2.0,47009,47,Tennessee
2008-11-04,1,41,4.0,2.0,47009,47,Tennessee
2008-11-05,1,39,1.0,3.0,47009,47,Tennessee
2008-11-06,1,47,7.0,2.0,47009,47,Tennessee
2008-11-07,2,42,7.0,2.0,47009,47,Tennessee
2008-11-08,1,36,3.0,2.0,47009,47,Tennessee
2008-11-09,2,25,13.0,2.0,47009,47,Tennessee
2008-11-10,9,34,7.0,2.0,47009,47,Tennessee
2008-11-11,1,36,1.0,2.0,47009,47,Tennessee
2008-11-12,3,35,1.0,2.0,47009,47,Tennessee
2008-11-13,7,25,3.0,2.0,47009,47,Tennessee
2008-11-14,0,26,1.0,2.0,47009,47,Tennessee
2008-11-15,3,31,3.0,2.0,47009,47,Tennessee
2008-11-16,2,24,11.0,2.0,47009,47,Tennessee
