Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2001-04-01,22,25,27.0,1.0,25025,25,Massachusetts
2001-04-02,41,25,24.0,6.0,25025,25,Massachusetts
2001-04-03,44,29,24.0,5.0,25025,25,Massachusetts
2001-04-04,46,24,44.0,5.0,25025,25,Massachusetts
2001-04-05,56,32,30.0,6.0,25025,25,Massachusetts
2001-04-06,72,36,62.0,13.0,25025,25,Massachusetts
2001-04-07,24,34,13.0,2.0,25025,25,Massachusetts
2001-04-08,29,26,11.0,2.0,25025,25,Massachusetts
2001-04-09,32,23,14.0,2.0,25025,25,Massachusetts
2001-04-10,33,24,20.0,2.0,25025,25,Massachusetts
2001-04-11,36,23,17.0,3.0,25025,25,Massachusetts
2001-04-12,40,16,13.0,5.0,25025,25,Massachusetts
2001-04-13,34,25,17.0,6.0,25025,25,Massachusetts
2001-04-14,21,39,4.0,1.0,25025,25,Massachusetts
2001-04-15,54,39,10.0,3.0,25025,25,Massachusetts
2001-04-16,34,26,16.0,3.0,25025,25,Massachusetts
2001-04-17,42,26,19.0,3.0,25025,25,Massachusetts
2001-04-18,31,29,10.0,1.0,25025,25,Massachusetts
2001-04-19,47,29,17.0,5.0,25025,25,Massachusetts
2001-04-20,44,30,24.0,6.0,25025,25,Massachusetts
2001-04-21,32,42,17.0,5.0,25025,25,Massachusetts
2001-04-22,26,44,7.0,5.0,25025,25,Massachusetts
2001-04-23,40,29,11.0,6.0,25025,25,Massachusetts
2001-04-24,31,40,10.0,5.0,25025,25,Massachusetts
2001-04-25,46,27,14.0,7.0,25025,25,Massachusetts
2001-04-26,46,31,14.0,7.0,25025,25,Massachusetts
2001-04-27,60,25,20.0,10.0,25025,25,Massachusetts
2001-04-28,46,35,13.0,11.0,25025,25,Massachusetts
2001-04-29,39,37,10.0,3.0,25025,25,Massachusetts
2001-04-30,55,29,14.0,10.0,25025,25,Massachusetts
2001-05-01,72,35,24.0,11.0,25025,25,Massachusetts
2001-05-02,64,45,14.0,7.0,25025,25,Massachusetts
2001-05-03,61,50,11.0,6.0,25025,25,Massachusetts
2001-05-04,56,44,11.0,6.0,25025,25,Massachusetts
2001-05-05,21,33,9.0,6.0,25025,25,Massachusetts
2001-05-06,37,32,16.0,1.0,25025,25,Massachusetts
2001-05-07,41,25,19.0,3.0,25025,25,Massachusetts
2001-05-08,29,31,9.0,2.0,25025,25,Massachusetts
2001-05-09,31,28,13.0,3.0,25025,25,Massachusetts
2001-05-10,61,36,17.0,7.0,25025,25,Massachusetts
2001-05-11,44,46,9.0,7.0,25025,25,Massachusetts
2001-05-12,38,74,11.0,3.0,25025,25,Massachusetts
