Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2001-10-01,13,46,16.0,0.0,32003,32,Nevada
2001-10-02,17,48,0.0,0.0,32003,32,Nevada
2001-10-03,16,44,11.0,0.0,32003,32,Nevada
2001-10-04,16,46,10.0,0.0,32003,32,Nevada
2001-10-05,13,48,0.0,0.0,32003,32,Nevada
2001-10-06,9,35,0.0,0.0,32003,32,Nevada
2001-10-07,0,42,0.0,0.0,32003,32,Nevada
2001-10-08,16,42,7.0,0.0,32003,32,Nevada
2001-10-09,28,45,0.0,0.0,32003,32,Nevada
2001-10-10,5,37,0.0,0.0,32003,32,Nevada
2001-10-11,28,31,7.0,0.0,32003,32,Nevada
2001-10-12,9,36,0.0,0.0,32003,32,Nevada
2001-10-13,19,30,0.0,0.0,32003,32,Nevada
2001-10-14,8,36,0.0,0.0,32003,32,Nevada
2001-10-15,38,32,0.0,1.0,32003,32,Nevada
2001-10-16,29,32,0.0,2.0,32003,32,Nevada
2001-10-17,23,42,10.0,1.0,32003,32,Nevada
2001-10-18,25,44,9.0,0.0,32003,32,Nevada
2001-10-19,22,32,0.0,0.0,32003,32,Nevada
2001-10-20,26,36,16.0,0.0,32003,32,Nevada
2001-10-21,11,36,0.0,0.0,32003,32,Nevada
2001-10-22,15,30,0.0,0.0,32003,32,Nevada
2001-10-23,31,37,21.0,1.0,32003,32,Nevada
2001-10-24,11,33,0.0,0.0,32003,32,Nevada
2001-10-25,26,28,0.0,1.0,32003,32,Nevada
2001-10-26,25,32,0.0,1.0,32003,32,Nevada
2001-10-27,25,35,16.0,1.0,32003,32,Nevada
2001-10-28,8,42,0.0,0.0,32003,32,Nevada
2001-10-29,17,31,0.0,1.0,32003,32,Nevada
2001-10-30,19,26,13.0,0.0,32003,32,Nevada
2001-10-31,9,31,0.0,0.0,32003,32,Nevada
2001-11-01,19,31,0.0,0.0,32003,32,Nevada
2001-11-02,24,35,0.0,0.0,32003,32,Nevada
2001-11-03,12,38,0.0,0.0,32003,32,Nevada
2001-11-04,8,36,0.0,0.0,32003,32,Nevada
2001-11-05,9,31,0.0,0.0,32003,32,Nevada
2001-11-06,22,29,0.0,0.0,32003,32,Nevada
2001-11-07,17,32,13.0,0.0,32003,32,Nevada
2001-11-08,5,36,0.0,0.0,32003,32,Nevada
2001-11-09,16,33,0.0,0.0,32003,32,Nevada
2001-11-10,19,34,0.0,1.0,32003,32,Nevada
2001-11-11,8,36,10.0,0.0,32003,32,Nevada
2001-11-12,9,31,9.0,0.0,32003,32,Nevada
2001-11-13,11,32,0.0,0.0,32003,32,Nevada
2001-11-14,9,28,0.0,1.0,32003,32,Nevada
2001-11-15,16,27,0.0,1.0,32003,32,Nevada
2001-11-16,33,31,0.0,3.0,32003,32,Nevada
2001-11-17,24,36,14.0,2.0,32003,32,Nevada
2001-11-18,14,37,0.0,3.0,32003,32,Nevada
2001-11-19,14,37,0.0,0.0,32003,32,Nevada
2001-11-20,24,32,0.0,1.0,32003,32,Nevada
2001-11-21,38,28,34.0,1.0,32003,32,Nevada
2001-11-22,9,36,7.0,0.0,32003,32,Nevada
2001-11-23,5,35,0.0,0.0,32003,32,Nevada
2001-11-24,6,31,10.0,0.0,32003,32,Nevada
2001-11-25,6,31,0.0,0.0,32003,32,Nevada
2001-11-26,8,29,0.0,0.0,32003,32,Nevada
