Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-03-31,42,0,19.0,10.0,42017,42,Pennsylvania
2000-04-01,31,39,16.0,18.0,42017,42,Pennsylvania
2000-04-02,28,51,6.0,5.0,42017,42,Pennsylvania
2000-04-03,25,29,7.0,5.0,42017,42,Pennsylvania
2000-04-04,24,27,7.0,3.0,42017,42,Pennsylvania
2000-04-05,30,31,16.0,6.0,42017,42,Pennsylvania
2000-04-06,28,49,17.0,10.0,42017,42,Pennsylvania
2000-04-07,35,47,6.0,5.0,42017,42,Pennsylvania
2000-04-08,26,71,3.0,6.0,42017,42,Pennsylvania
2000-04-14,53,45,1.0,10.0,42017,42,Pennsylvania
2000-04-15,32,8,1.0,8.0,42017,42,Pennsylvania
2000-04-16,33,38,11.0,6.0,42017,42,Pennsylvania
2000-04-17,19,35,1.0,6.0,42017,42,Pennsylvania
2000-04-18,31,24,11.0,2.0,42017,42,Pennsylvania
2000-04-19,38,25,13.0,7.0,42017,42,Pennsylvania
2000-04-20,36,36,14.0,7.0,42017,42,Pennsylvania
2000-04-21,25,32,9.0,2.0,42017,42,Pennsylvania
2000-04-22,28,28,6.0,3.0,42017,42,Pennsylvania
2000-04-23,6,29,3.0,3.0,42017,42,Pennsylvania
2000-04-24,49,44,4.0,7.0,42017,42,Pennsylvania
2000-04-25,18,32,9.0,6.0,42017,42,Pennsylvania
2000-04-26,30,21,7.0,2.0,42017,42,Pennsylvania
2000-04-27,24,21,0.0,2.0,42017,42,Pennsylvania
2000-04-28,39,30,7.0,6.0,42017,42,Pennsylvania
2000-04-29,41,49,7.0,13.0,42017,42,Pennsylvania
2000-04-30,41,46,3.0,5.0,42017,42,Pennsylvania
2000-05-01,41,64,13.0,10.0,42017,42,Pennsylvania
2000-05-02,44,47,0.0,5.0,42017,42,Pennsylvania
2000-05-08,47,159,20.0,8.0,42017,42,Pennsylvania
2000-05-09,40,147,30.0,2.0,42017,42,Pennsylvania
2000-05-10,42,26,17.0,1.0,42017,42,Pennsylvania
2000-05-11,45,42,9.0,5.0,42017,42,Pennsylvania
2000-05-12,51,39,37.0,7.0,42017,42,Pennsylvania
2000-05-13,41,84,39.0,6.0,42017,42,Pennsylvania
2000-05-14,32,50,9.0,2.0,42017,42,Pennsylvania
2000-05-15,42,47,9.0,7.0,42017,42,Pennsylvania
2000-05-16,38,58,13.0,10.0,42017,42,Pennsylvania
2000-05-17,28,100,10.0,6.0,42017,42,Pennsylvania
2000-05-18,22,100,10.0,7.0,42017,42,Pennsylvania
2000-05-19,36,25,11.0,8.0,42017,42,Pennsylvania
2000-05-20,13,28,11.0,6.0,42017,42,Pennsylvania
2000-05-21,15,27,10.0,6.0,42017,42,Pennsylvania
2000-05-22,27,27,14.0,6.0,42017,42,Pennsylvania
2000-05-23,27,36,13.0,8.0,42017,42,Pennsylvania
2000-05-24,30,67,16.0,9.0,42017,42,Pennsylvania
2000-05-25,40,71,11.0,10.0,42017,42,Pennsylvania
2000-05-26,45,49,14.0,10.0,42017,42,Pennsylvania
2000-05-27,29,31,13.0,11.0,42017,42,Pennsylvania
2000-05-28,18,39,11.0,9.0,42017,42,Pennsylvania
2000-05-29,8,32,11.0,6.0,42017,42,Pennsylvania
2000-05-30,16,30,11.0,6.0,42017,42,Pennsylvania
2000-05-31,39,33,14.0,8.0,42017,42,Pennsylvania
2000-06-01,64,129,27.0,10.0,42017,42,Pennsylvania
2000-06-02,47,172,37.0,15.0,42017,42,Pennsylvania
2000-06-03,27,34,7.0,8.0,42017,42,Pennsylvania
2000-06-04,23,48,4.0,8.0,42017,42,Pennsylvania
2000-06-05,19,36,1.0,6.0,42017,42,Pennsylvania
2000-06-06,25,24,9.0,7.0,42017,42,Pennsylvania
2000-06-07,42,41,7.0,13.0,42017,42,Pennsylvania
2000-06-08,45,104,24.0,19.0,42017,42,Pennsylvania
2000-06-09,43,197,37.0,8.0,42017,42,Pennsylvania
2000-06-10,42,207,41.0,9.0,42017,42,Pennsylvania
2000-06-11,26,156,39.0,9.0,42017,42,Pennsylvania
2000-06-12,40,36,23.0,9.0,42017,42,Pennsylvania
2000-06-13,16,26,20.0,8.0,42017,42,Pennsylvania
2000-06-14,16,19,13.0,8.0,42017,42,Pennsylvania
2000-06-15,40,37,7.0,15.0,42017,42,Pennsylvania
2000-06-16,25,58,29.0,15.0,42017,42,Pennsylvania
2000-06-17,15,58,24.0,5.0,42017,42,Pennsylvania
2000-06-18,22,31,29.0,3.0,42017,42,Pennsylvania
2000-06-19,25,22,9.0,3.0,42017,42,Pennsylvania
2000-06-20,25,104,13.0,2.0,42017,42,Pennsylvania
2000-08-01,22,24,31.0,5.0,42017,42,Pennsylvania
2000-08-02,21,77,29.0,6.0,42017,42,Pennsylvania
2000-08-03,22,32,37.0,6.0,42017,42,Pennsylvania
2000-08-04,28,39,16.0,6.0,42017,42,Pennsylvania
2000-08-05,36,41,9.0,10.0,42017,42,Pennsylvania
2000-08-06,28,50,17.0,15.0,42017,42,Pennsylvania
2000-08-07,35,74,21.0,7.0,42017,42,Pennsylvania
2000-08-08,46,67,13.0,10.0,42017,42,Pennsylvania
2000-08-09,40,87,16.0,8.0,42017,42,Pennsylvania
2000-08-10,34,80,21.0,7.0,42017,42,Pennsylvania
2000-08-11,39,71,37.0,10.0,42017,42,Pennsylvania
2000-08-12,18,37,30.0,7.0,42017,42,Pennsylvania
2000-08-13,15,26,0.0,5.0,42017,42,Pennsylvania
2000-08-14,20,19,0.0,7.0,42017,42,Pennsylvania
2000-08-15,21,48,0.0,7.0,42017,42,Pennsylvania
2000-08-16,31,61,10.0,8.0,42017,42,Pennsylvania
2000-08-17,27,44,0.0,8.0,42017,42,Pennsylvania
2000-08-18,30,19,4.0,8.0,42017,42,Pennsylvania
2000-08-19,25,46,0.0,10.0,42017,42,Pennsylvania
2000-08-20,29,41,0.0,11.0,42017,42,Pennsylvania
2000-08-24,47,49,0.0,13.0,42017,42,Pennsylvania
2000-08-25,29,50,0.0,14.0,42017,42,Pennsylvania
2000-08-26,35,101,3.0,14.0,42017,42,Pennsylvania
2000-08-27,13,114,6.0,8.0,42017,42,Pennsylvania
2000-08-28,24,84,0.0,7.0,42017,42,Pennsylvania
2000-08-29,21,47,17.0,5.0,42017,42,Pennsylvania
2000-08-30,24,30,49.0,6.0,42017,42,Pennsylvania
2000-08-31,14,36,0.0,6.0,42017,42,Pennsylvania
2000-09-01,21,42,3.0,7.0,42017,42,Pennsylvania
2000-09-02,17,51,10.0,7.0,42017,42,Pennsylvania
2000-09-03,11,28,17.0,7.0,42017,42,Pennsylvania
2000-09-14,22,42,19.0,8.0,42017,42,Pennsylvania
2000-09-15,17,35,9.0,3.0,42017,42,Pennsylvania
2000-09-16,13,20,1.0,2.0,42017,42,Pennsylvania
2000-09-17,15,33,13.0,3.0,42017,42,Pennsylvania
2000-09-18,25,29,29.0,9.0,42017,42,Pennsylvania
2000-09-25,24,12,11.0,2.0,42017,42,Pennsylvania
2000-09-26,20,9,4.0,1.0,42017,42,Pennsylvania
2000-09-27,27,22,3.0,9.0,42017,42,Pennsylvania
2000-09-28,21,19,10.0,15.0,42017,42,Pennsylvania
2000-09-29,34,14,36.0,3.0,42017,42,Pennsylvania
2000-09-30,17,33,4.0,8.0,42017,42,Pennsylvania
2000-10-01,22,33,4.0,8.0,42017,42,Pennsylvania
2000-10-02,33,30,21.0,9.0,42017,42,Pennsylvania
2000-10-03,43,42,13.0,13.0,42017,42,Pennsylvania
2000-10-04,31,48,16.0,6.0,42017,42,Pennsylvania
2000-10-05,22,13,23.0,1.0,42017,42,Pennsylvania
2000-10-06,24,22,21.0,0.0,42017,42,Pennsylvania
2000-10-07,13,30,0.0,0.0,42017,42,Pennsylvania
2000-10-08,16,20,0.0,0.0,42017,42,Pennsylvania
2000-10-09,18,18,0.0,0.0,42017,42,Pennsylvania
2000-10-10,22,15,11.0,1.0,42017,42,Pennsylvania
2000-10-11,30,27,13.0,6.0,42017,42,Pennsylvania
2000-10-12,36,32,20.0,9.0,42017,42,Pennsylvania
2000-10-13,43,30,23.0,17.0,42017,42,Pennsylvania
2000-10-14,41,37,37.0,14.0,42017,42,Pennsylvania
2000-10-15,43,49,23.0,11.0,42017,42,Pennsylvania
2000-10-16,31,26,10.0,11.0,42017,42,Pennsylvania
2000-10-17,21,16,36.0,0.0,42017,42,Pennsylvania
2000-10-18,24,12,13.0,0.0,42017,42,Pennsylvania
2000-10-19,32,30,13.0,3.0,42017,42,Pennsylvania
2000-10-20,37,16,27.0,9.0,42017,42,Pennsylvania
2000-10-21,45,24,37.0,11.0,42017,42,Pennsylvania
2000-10-22,30,25,16.0,11.0,42017,42,Pennsylvania
2000-10-23,24,19,61.0,6.0,42017,42,Pennsylvania
2000-10-24,40,12,34.0,10.0,42017,42,Pennsylvania
2000-10-25,42,24,82.0,11.0,42017,42,Pennsylvania
2000-10-26,37,13,19.0,7.0,42017,42,Pennsylvania
2000-10-27,44,14,41.0,13.0,42017,42,Pennsylvania
2000-10-28,25,29,21.0,15.0,42017,42,Pennsylvania
2000-10-29,5,32,10.0,0.0,42017,42,Pennsylvania
2000-10-30,29,26,14.0,0.0,42017,42,Pennsylvania
2000-10-31,27,24,13.0,0.0,42017,42,Pennsylvania
2001-03-31,33,18,9.0,3.0,42017,42,Pennsylvania
2001-04-01,16,31,20.0,3.0,42017,42,Pennsylvania
2001-04-02,32,32,16.0,3.0,42017,42,Pennsylvania
2001-04-03,49,26,33.0,10.0,42017,42,Pennsylvania
2001-04-04,44,40,7.0,2.0,42017,42,Pennsylvania
2001-04-05,42,42,24.0,9.0,42017,42,Pennsylvania
2001-04-06,46,24,24.0,9.0,42017,42,Pennsylvania
2001-04-07,31,42,16.0,11.0,42017,42,Pennsylvania
2001-04-08,20,33,19.0,1.0,42017,42,Pennsylvania
2001-04-09,53,44,36.0,9.0,42017,42,Pennsylvania
2001-04-10,19,28,14.0,2.0,42017,42,Pennsylvania
2001-04-11,33,26,20.0,2.0,42017,42,Pennsylvania
2001-04-12,33,19,29.0,13.0,42017,42,Pennsylvania
2001-04-13,33,44,21.0,15.0,42017,42,Pennsylvania
2001-04-14,43,45,21.0,7.0,42017,42,Pennsylvania
2001-04-15,39,51,24.0,9.0,42017,42,Pennsylvania
2001-04-17,19,30,0.0,1.0,42017,42,Pennsylvania
2001-04-18,12,38,1.0,0.0,42017,42,Pennsylvania
2001-04-19,43,38,7.0,6.0,42017,42,Pennsylvania
2001-04-20,42,47,31.0,8.0,42017,42,Pennsylvania
2001-04-21,25,48,16.0,2.0,42017,42,Pennsylvania
2001-04-22,36,48,29.0,3.0,42017,42,Pennsylvania
2001-04-23,47,71,13.0,13.0,42017,42,Pennsylvania
2001-04-24,25,42,29.0,1.0,42017,42,Pennsylvania
2001-04-25,39,34,11.0,5.0,42017,42,Pennsylvania
2001-04-26,38,42,14.0,8.0,42017,42,Pennsylvania
2001-04-27,52,48,17.0,6.0,42017,42,Pennsylvania
2001-04-28,26,45,4.0,6.0,42017,42,Pennsylvania
2001-04-29,21,48,3.0,0.0,42017,42,Pennsylvania
2001-04-30,40,49,27.0,5.0,42017,42,Pennsylvania
2001-05-01,48,90,17.0,7.0,42017,42,Pennsylvania
2001-05-02,68,111,21.0,7.0,42017,42,Pennsylvania
2001-05-03,71,147,33.0,8.0,42017,42,Pennsylvania
2001-05-04,53,154,51.0,3.0,42017,42,Pennsylvania
2001-05-05,44,42,37.0,3.0,42017,42,Pennsylvania
2001-05-06,31,36,11.0,5.0,42017,42,Pennsylvania
2001-05-07,29,39,7.0,2.0,42017,42,Pennsylvania
2001-05-08,24,40,4.0,1.0,42017,42,Pennsylvania
2001-05-09,51,47,14.0,6.0,42017,42,Pennsylvania
2001-05-10,63,100,13.0,7.0,42017,42,Pennsylvania
2001-05-11,58,119,23.0,10.0,42017,42,Pennsylvania
2001-05-12,38,77,19.0,5.0,42017,42,Pennsylvania
2001-05-13,8,41,1.0,0.0,42017,42,Pennsylvania
2001-05-14,23,41,9.0,0.0,42017,42,Pennsylvania
2001-05-15,34,46,3.0,1.0,42017,42,Pennsylvania
2001-05-16,34,36,29.0,2.0,42017,42,Pennsylvania
2001-05-17,8,36,9.0,0.0,42017,42,Pennsylvania
2001-05-18,11,30,1.0,0.0,42017,42,Pennsylvania
2001-05-19,47,64,13.0,5.0,42017,42,Pennsylvania
2001-05-20,34,36,3.0,6.0,42017,42,Pennsylvania
2001-05-21,16,24,1.0,0.0,42017,42,Pennsylvania
2001-05-22,40,17,7.0,3.0,42017,42,Pennsylvania
2001-05-23,25,14,3.0,2.0,42017,42,Pennsylvania
2001-05-24,27,47,4.0,3.0,42017,42,Pennsylvania
2001-05-25,21,18,3.0,1.0,42017,42,Pennsylvania
2001-05-26,29,19,1.0,2.0,42017,42,Pennsylvania
2001-05-27,29,47,4.0,2.0,42017,42,Pennsylvania
2001-05-28,39,54,6.0,2.0,42017,42,Pennsylvania
2001-05-29,37,39,9.0,6.0,42017,42,Pennsylvania
2001-05-30,36,31,0.0,5.0,42017,42,Pennsylvania
2001-05-31,42,36,4.0,5.0,42017,42,Pennsylvania
2001-06-01,30,45,4.0,8.0,42017,42,Pennsylvania
2001-06-02,29,38,6.0,5.0,42017,42,Pennsylvania
2001-06-03,19,41,6.0,5.0,42017,42,Pennsylvania
2001-06-04,42,50,1.0,2.0,42017,42,Pennsylvania
2001-06-05,46,61,3.0,5.0,42017,42,Pennsylvania
2001-06-06,47,36,6.0,6.0,42017,42,Pennsylvania
2001-06-07,31,45,4.0,2.0,42017,42,Pennsylvania
2001-06-08,47,49,11.0,6.0,42017,42,Pennsylvania
2001-06-09,43,71,6.0,7.0,42017,42,Pennsylvania
2001-06-10,42,58,4.0,9.0,42017,42,Pennsylvania
2001-06-11,42,114,40.0,6.0,42017,42,Pennsylvania
2001-06-12,30,132,11.0,2.0,42017,42,Pennsylvania
2001-06-13,33,172,16.0,5.0,42017,42,Pennsylvania
2001-06-14,33,64,30.0,3.0,42017,42,Pennsylvania
2001-06-15,13,22,0.0,0.0,42017,42,Pennsylvania
2001-06-16,12,30,14.0,1.0,42017,42,Pennsylvania
2001-06-17,38,38,3.0,6.0,42017,42,Pennsylvania
2001-06-18,41,67,3.0,6.0,42017,42,Pennsylvania
2001-06-19,46,174,30.0,7.0,42017,42,Pennsylvania
2001-06-20,43,151,29.0,5.0,42017,42,Pennsylvania
2001-06-21,30,58,6.0,5.0,42017,42,Pennsylvania
2001-06-22,8,42,0.0,2.0,42017,42,Pennsylvania
2001-06-23,12,36,0.0,2.0,42017,42,Pennsylvania
2001-06-24,28,37,1.0,7.0,42017,42,Pennsylvania
2001-06-25,40,58,4.0,10.0,42017,42,Pennsylvania
2001-06-26,38,101,4.0,6.0,42017,42,Pennsylvania
2001-06-27,60,140,6.0,8.0,42017,42,Pennsylvania
2001-06-28,46,142,7.0,8.0,42017,42,Pennsylvania
2001-06-29,44,156,11.0,8.0,42017,42,Pennsylvania
2001-06-30,25,140,29.0,5.0,42017,42,Pennsylvania
2001-07-01,26,100,20.0,5.0,42017,42,Pennsylvania
2001-07-02,36,17,0.0,6.0,42017,42,Pennsylvania
2001-07-03,36,51,10.0,10.0,42017,42,Pennsylvania
2001-07-04,21,47,9.0,3.0,42017,42,Pennsylvania
2001-07-05,39,42,0.0,6.0,42017,42,Pennsylvania
2001-07-06,30,32,0.0,22.0,42017,42,Pennsylvania
2001-07-07,28,93,10.0,22.0,42017,42,Pennsylvania
2001-07-12,35,33,1.0,6.0,42017,42,Pennsylvania
2001-07-13,34,35,3.0,8.0,42017,42,Pennsylvania
2001-07-14,29,36,1.0,9.0,42017,42,Pennsylvania
2001-07-15,31,38,0.0,6.0,42017,42,Pennsylvania
2001-07-16,49,49,6.0,7.0,42017,42,Pennsylvania
2001-07-17,46,154,30.0,9.0,42017,42,Pennsylvania
2001-07-18,25,93,11.0,5.0,42017,42,Pennsylvania
2001-07-19,21,47,21.0,5.0,42017,42,Pennsylvania
2001-07-20,41,38,13.0,9.0,42017,42,Pennsylvania
2001-07-21,27,104,11.0,15.0,42017,42,Pennsylvania
2001-07-22,22,84,14.0,5.0,42017,42,Pennsylvania
2001-07-23,30,104,17.0,6.0,42017,42,Pennsylvania
2001-07-24,16,48,30.0,5.0,42017,42,Pennsylvania
2001-07-25,28,122,36.0,6.0,42017,42,Pennsylvania
2001-07-26,27,22,24.0,7.0,42017,42,Pennsylvania
2001-07-27,23,39,1.0,7.0,42017,42,Pennsylvania
2001-07-29,13,26,0.0,5.0,42017,42,Pennsylvania
2001-07-30,27,37,0.0,8.0,42017,42,Pennsylvania
2001-07-31,22,101,6.0,10.0,42017,42,Pennsylvania
2001-08-01,31,129,9.0,9.0,42017,42,Pennsylvania
2001-08-02,30,80,16.0,8.0,42017,42,Pennsylvania
2001-08-03,26,109,40.0,7.0,42017,42,Pennsylvania
2001-08-04,22,50,11.0,8.0,42017,42,Pennsylvania
2001-08-05,27,87,34.0,9.0,42017,42,Pennsylvania
2001-08-06,37,166,31.0,10.0,42017,42,Pennsylvania
2001-08-07,32,192,36.0,9.0,42017,42,Pennsylvania
2001-08-08,60,129,13.0,13.0,42017,42,Pennsylvania
2001-08-09,52,202,13.0,17.0,42017,42,Pennsylvania
2001-08-10,35,90,37.0,9.0,42017,42,Pennsylvania
2001-08-11,30,30,10.0,10.0,42017,42,Pennsylvania
2001-08-12,22,34,0.0,7.0,42017,42,Pennsylvania
2001-08-13,26,50,3.0,9.0,42017,42,Pennsylvania
2001-08-14,29,100,4.0,8.0,42017,42,Pennsylvania
2001-08-15,28,80,21.0,10.0,42017,42,Pennsylvania
2001-08-16,27,80,19.0,10.0,42017,42,Pennsylvania
2001-08-17,24,80,19.0,8.0,42017,42,Pennsylvania
2001-08-18,44,71,9.0,13.0,42017,42,Pennsylvania
2001-08-19,37,77,11.0,16.0,42017,42,Pennsylvania
2001-08-20,44,67,23.0,10.0,42017,42,Pennsylvania
2001-08-21,43,47,11.0,10.0,42017,42,Pennsylvania
2001-08-22,53,67,9.0,11.0,42017,42,Pennsylvania
2001-08-23,41,47,10.0,15.0,42017,42,Pennsylvania
2001-08-24,41,84,6.0,5.0,42017,42,Pennsylvania
2001-08-25,45,41,6.0,7.0,42017,42,Pennsylvania
2001-08-26,21,64,1.0,6.0,42017,42,Pennsylvania
2001-08-27,32,41,24.0,5.0,42017,42,Pennsylvania
2001-08-28,36,80,20.0,8.0,42017,42,Pennsylvania
2001-08-29,42,47,10.0,3.0,42017,42,Pennsylvania
2001-08-30,31,71,3.0,5.0,42017,42,Pennsylvania
2001-08-31,12,71,7.0,1.0,42017,42,Pennsylvania
2001-09-01,12,31,7.0,1.0,42017,42,Pennsylvania
2001-09-02,17,41,6.0,1.0,42017,42,Pennsylvania
2001-09-03,20,74,0.0,6.0,42017,42,Pennsylvania
2001-09-04,34,35,20.0,5.0,42017,42,Pennsylvania
2001-09-05,38,33,3.0,3.0,42017,42,Pennsylvania
2001-09-06,64,49,11.0,8.0,42017,42,Pennsylvania
2001-09-07,44,97,31.0,11.0,42017,42,Pennsylvania
2001-09-08,18,49,4.0,1.0,42017,42,Pennsylvania
2001-09-09,12,40,0.0,1.0,42017,42,Pennsylvania
2001-09-10,15,25,0.0,1.0,42017,42,Pennsylvania
2001-09-11,19,45,0.0,1.0,42017,42,Pennsylvania
2001-09-12,23,41,6.0,2.0,42017,42,Pennsylvania
2001-09-13,35,104,14.0,5.0,42017,42,Pennsylvania
2001-09-14,16,19,0.0,5.0,42017,42,Pennsylvania
2001-09-15,26,31,0.0,5.0,42017,42,Pennsylvania
2001-09-16,39,39,3.0,8.0,42017,42,Pennsylvania
2001-09-17,37,35,9.0,9.0,42017,42,Pennsylvania
2001-09-18,45,36,14.0,11.0,42017,42,Pennsylvania
2001-09-19,42,104,11.0,16.0,42017,42,Pennsylvania
2001-09-20,15,38,0.0,1.0,42017,42,Pennsylvania
2001-09-21,25,36,6.0,3.0,42017,42,Pennsylvania
2001-09-22,42,49,6.0,5.0,42017,42,Pennsylvania
2001-09-23,28,49,7.0,7.0,42017,42,Pennsylvania
2001-09-24,12,41,0.0,3.0,42017,42,Pennsylvania
2001-09-25,22,16,10.0,3.0,42017,42,Pennsylvania
2001-09-26,28,19,10.0,5.0,42017,42,Pennsylvania
2001-09-27,26,21,13.0,5.0,42017,42,Pennsylvania
2001-09-28,20,19,13.0,5.0,42017,42,Pennsylvania
2001-09-29,12,20,3.0,1.0,42017,42,Pennsylvania
2001-09-30,15,16,0.0,1.0,42017,42,Pennsylvania
2001-10-01,24,8,4.0,8.0,42017,42,Pennsylvania
2001-10-02,42,36,10.0,18.0,42017,42,Pennsylvania
2001-10-03,40,48,14.0,15.0,42017,42,Pennsylvania
2001-10-04,52,58,17.0,7.0,42017,42,Pennsylvania
2001-10-05,61,67,47.0,8.0,42017,42,Pennsylvania
2001-10-06,32,35,6.0,2.0,42017,42,Pennsylvania
2001-10-07,18,25,6.0,2.0,42017,42,Pennsylvania
2001-10-08,29,21,7.0,6.0,42017,42,Pennsylvania
2001-10-09,35,18,13.0,11.0,42017,42,Pennsylvania
2001-10-10,45,27,31.0,9.0,42017,42,Pennsylvania
2001-10-11,37,25,36.0,6.0,42017,42,Pennsylvania
2001-10-12,45,20,6.0,8.0,42017,42,Pennsylvania
2001-10-15,37,27,6.0,7.0,42017,42,Pennsylvania
2001-10-16,31,36,11.0,15.0,42017,42,Pennsylvania
2001-10-17,22,24,10.0,0.0,42017,42,Pennsylvania
2001-10-18,35,25,19.0,11.0,42017,42,Pennsylvania
2001-10-19,54,30,24.0,23.0,42017,42,Pennsylvania
2001-10-20,54,33,21.0,13.0,42017,42,Pennsylvania
2001-10-21,33,47,34.0,17.0,42017,42,Pennsylvania
2001-10-22,57,31,19.0,8.0,42017,42,Pennsylvania
2001-10-23,42,38,30.0,5.0,42017,42,Pennsylvania
2001-10-24,39,32,39.0,6.0,42017,42,Pennsylvania
2001-10-25,20,31,24.0,2.0,42017,42,Pennsylvania
