Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-01,39,24,0.0,34.0,6037,6,California
2000-01-02,30,34,0.0,9.0,6037,6,California
2000-01-03,71,19,3.0,42.0,6037,6,California
2000-01-04,68,11,4.0,50.0,6037,6,California
2000-01-05,109,27,6.0,39.0,6037,6,California
2000-01-06,64,12,4.0,33.0,6037,6,California
2000-01-07,105,6,7.0,58.0,6037,6,California
2000-01-08,78,12,4.0,67.0,6037,6,California
2000-01-09,83,9,11.0,48.0,6037,6,California
2000-01-10,94,9,4.0,41.0,6037,6,California
2000-01-11,72,10,3.0,36.0,6037,6,California
2000-01-12,78,11,7.0,32.0,6037,6,California
2000-01-13,91,11,6.0,45.0,6037,6,California
2000-01-14,101,9,9.0,47.0,6037,6,California
2000-01-15,82,11,10.0,49.0,6037,6,California
2000-01-16,65,8,7.0,27.0,6037,6,California
2000-01-17,52,3,6.0,50.0,6037,6,California
2000-01-18,40,15,4.0,49.0,6037,6,California
2000-01-19,56,14,6.0,34.0,6037,6,California
2000-01-20,58,8,7.0,26.0,6037,6,California
2000-01-21,38,12,4.0,18.0,6037,6,California
2000-01-22,47,10,4.0,24.0,6037,6,California
2000-01-23,48,8,4.0,31.0,6037,6,California
2000-01-24,70,9,4.0,30.0,6037,6,California
2000-01-25,32,8,3.0,19.0,6037,6,California
2000-01-26,39,25,4.0,23.0,6037,6,California
2000-01-27,62,13,6.0,39.0,6037,6,California
2000-01-28,78,17,7.0,51.0,6037,6,California
2000-01-29,57,19,9.0,44.0,6037,6,California
2000-01-30,42,20,4.0,11.0,6037,6,California
2000-01-31,47,13,4.0,20.0,6037,6,California
2000-02-01,57,19,9.0,38.0,6037,6,California
2000-02-02,55,21,6.0,48.0,6037,6,California
2000-02-03,76,28,7.0,39.0,6037,6,California
2000-02-04,51,17,6.0,22.0,6037,6,California
2000-02-05,56,24,4.0,30.0,6037,6,California
2000-02-06,57,33,3.0,18.0,6037,6,California
2000-02-07,82,20,6.0,35.0,6037,6,California
2000-02-08,78,6,6.0,39.0,6037,6,California
2000-02-09,51,22,9.0,25.0,6037,6,California
2000-02-10,40,19,3.0,11.0,6037,6,California
2000-02-11,43,21,3.0,13.0,6037,6,California
2000-02-12,36,31,1.0,8.0,6037,6,California
2000-02-13,34,17,1.0,10.0,6037,6,California
2000-02-14,27,14,1.0,10.0,6037,6,California
2000-02-15,46,12,4.0,25.0,6037,6,California
2000-02-16,42,14,6.0,30.0,6037,6,California
2000-02-17,52,19,3.0,20.0,6037,6,California
2000-02-18,48,22,4.0,30.0,6037,6,California
2000-02-19,62,35,6.0,36.0,6037,6,California
2000-02-20,36,36,1.0,14.0,6037,6,California
2000-02-21,42,30,1.0,15.0,6037,6,California
2000-02-22,45,12,7.0,23.0,6037,6,California
2000-02-23,42,18,4.0,20.0,6037,6,California
2000-02-24,42,32,3.0,20.0,6037,6,California
2000-02-25,44,18,3.0,16.0,6037,6,California
2000-02-26,62,31,3.0,30.0,6037,6,California
2000-02-27,43,19,3.0,38.0,6037,6,California
2000-02-28,43,31,3.0,19.0,6037,6,California
2000-02-29,44,22,4.0,30.0,6037,6,California
2000-03-01,49,27,3.0,18.0,6037,6,California
2000-03-02,62,27,4.0,33.0,6037,6,California
2000-03-03,42,24,3.0,14.0,6037,6,California
2000-03-04,38,34,1.0,11.0,6037,6,California
2000-03-05,40,35,1.0,7.0,6037,6,California
2000-03-06,43,31,4.0,22.0,6037,6,California
2000-03-07,47,20,7.0,36.0,6037,6,California
2000-03-08,39,26,3.0,13.0,6037,6,California
2000-03-09,40,35,6.0,25.0,6037,6,California
2000-03-10,58,35,6.0,28.0,6037,6,California
2000-03-11,57,38,4.0,36.0,6037,6,California
2000-03-12,76,45,6.0,26.0,6037,6,California
2000-03-13,67,29,4.0,22.0,6037,6,California
2000-03-14,102,39,6.0,31.0,6037,6,California
2000-03-15,85,41,13.0,34.0,6037,6,California
2000-03-16,73,37,4.0,19.0,6037,6,California
2000-03-17,81,40,4.0,26.0,6037,6,California
2000-03-18,101,67,4.0,28.0,6037,6,California
2000-03-19,95,104,6.0,30.0,6037,6,California
2000-03-20,41,58,4.0,9.0,6037,6,California
2000-03-21,52,51,1.0,11.0,6037,6,California
2000-03-22,63,46,10.0,22.0,6037,6,California
2000-03-23,56,43,4.0,17.0,6037,6,California
2000-03-24,67,39,3.0,18.0,6037,6,California
2000-03-25,44,49,3.0,16.0,6037,6,California
2000-03-26,49,74,3.0,17.0,6037,6,California
2000-03-27,48,37,4.0,13.0,6037,6,California
2000-03-28,45,42,3.0,8.0,6037,6,California
2000-03-29,48,44,7.0,10.0,6037,6,California
2000-03-30,58,45,0.0,16.0,6037,6,California
2000-03-31,52,58,0.0,18.0,6037,6,California
2000-04-01,55,90,0.0,8.0,6037,6,California
2000-04-02,56,93,1.0,20.0,6037,6,California
2000-04-03,71,67,0.0,17.0,6037,6,California
2000-04-04,101,51,3.0,30.0,6037,6,California
2000-04-05,57,32,1.0,18.0,6037,6,California
2000-04-06,47,42,0.0,11.0,6037,6,California
2000-04-07,71,44,0.0,15.0,6037,6,California
2000-04-08,66,101,1.0,24.0,6037,6,California
2000-04-09,45,49,1.0,13.0,6037,6,California
2000-04-10,64,38,0.0,19.0,6037,6,California
2000-04-11,91,45,3.0,24.0,6037,6,California
2000-04-12,99,74,0.0,26.0,6037,6,California
2000-04-13,94,39,1.0,22.0,6037,6,California
2000-04-14,37,36,0.0,7.0,6037,6,California
2000-04-15,34,39,0.0,9.0,6037,6,California
2000-04-16,28,44,0.0,6.0,6037,6,California
2000-04-17,42,21,0.0,13.0,6037,6,California
2000-04-18,40,48,0.0,11.0,6037,6,California
2000-04-19,54,42,0.0,15.0,6037,6,California
2000-04-20,72,77,0.0,25.0,6037,6,California
2000-04-21,57,41,0.0,15.0,6037,6,California
2000-04-22,41,49,0.0,8.0,6037,6,California
2000-04-23,42,80,0.0,13.0,6037,6,California
2000-04-24,69,54,0.0,15.0,6037,6,California
2000-04-25,90,106,0.0,23.0,6037,6,California
2000-04-26,102,154,0.0,24.0,6037,6,California
2000-04-27,88,101,10.0,23.0,6037,6,California
2000-04-28,44,42,1.0,9.0,6037,6,California
2000-04-29,68,74,0.0,16.0,6037,6,California
2000-04-30,74,116,0.0,24.0,6037,6,California
2000-05-01,89,101,1.0,22.0,6037,6,California
2000-05-02,81,80,1.0,22.0,6037,6,California
2000-05-03,71,87,3.0,16.0,6037,6,California
2000-05-04,54,101,1.0,15.0,6037,6,California
2000-05-05,55,67,0.0,13.0,6037,6,California
2000-05-06,52,109,1.0,10.0,6037,6,California
2000-05-07,54,71,1.0,10.0,6037,6,California
2000-05-08,33,35,1.0,10.0,6037,6,California
2000-05-09,47,33,1.0,13.0,6037,6,California
2000-05-10,49,42,11.0,11.0,6037,6,California
2000-05-11,45,48,1.0,8.0,6037,6,California
2000-05-12,62,48,3.0,16.0,6037,6,California
2000-05-13,65,49,1.0,18.0,6037,6,California
2000-05-14,50,45,1.0,15.0,6037,6,California
2000-05-15,42,26,0.0,13.0,6037,6,California
2000-05-16,42,26,0.0,7.0,6037,6,California
2000-05-17,53,34,4.0,10.0,6037,6,California
2000-05-18,66,40,4.0,16.0,6037,6,California
2000-05-19,96,44,3.0,20.0,6037,6,California
2000-05-20,87,132,4.0,17.0,6037,6,California
2000-05-21,57,132,1.0,14.0,6037,6,California
2000-05-22,82,38,13.0,17.0,6037,6,California
2000-05-23,53,26,0.0,10.0,6037,6,California
2000-05-24,42,19,1.0,9.0,6037,6,California
2000-05-25,42,25,0.0,9.0,6037,6,California
2000-05-26,62,37,3.0,13.0,6037,6,California
2000-05-27,62,154,1.0,22.0,6037,6,California
2000-05-28,57,202,0.0,18.0,6037,6,California
2000-05-29,42,135,0.0,13.0,6037,6,California
2000-05-30,45,44,0.0,11.0,6037,6,California
2000-05-31,51,46,0.0,9.0,6037,6,California
2000-06-01,72,61,0.0,13.0,6037,6,California
2000-06-02,73,77,0.0,13.0,6037,6,California
2000-06-03,52,106,0.0,13.0,6037,6,California
2000-06-04,56,132,0.0,17.0,6037,6,California
2000-06-05,68,28,0.0,14.0,6037,6,California
2000-06-06,71,44,1.0,16.0,6037,6,California
2000-06-07,69,37,1.0,14.0,6037,6,California
2000-06-08,40,19,7.0,9.0,6037,6,California
2000-06-09,38,33,1.0,11.0,6037,6,California
2000-06-10,46,54,1.0,10.0,6037,6,California
2000-06-11,50,84,1.0,13.0,6037,6,California
2000-06-12,60,54,1.0,15.0,6037,6,California
2000-06-13,77,49,1.0,16.0,6037,6,California
2000-06-14,74,35,3.0,16.0,6037,6,California
2000-06-15,64,45,3.0,15.0,6037,6,California
2000-06-16,42,27,0.0,8.0,6037,6,California
2000-06-17,32,36,0.0,7.0,6037,6,California
2000-06-18,26,36,0.0,6.0,6037,6,California
