Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-01,29,4,55.0,20.0,34007,34,New Jersey
2000-01-02,36,30,19.0,28.0,34007,34,New Jersey
2000-01-03,36,19,41.0,19.0,34007,34,New Jersey
2000-01-04,24,22,7.0,15.0,34007,34,New Jersey
2000-01-05,10,23,10.0,7.0,34007,34,New Jersey
2000-01-07,24,13,56.0,20.0,34007,34,New Jersey
2000-01-08,28,14,26.0,9.0,34007,34,New Jersey
2000-01-09,29,10,30.0,8.0,34007,34,New Jersey
2000-01-10,27,14,36.0,7.0,34007,34,New Jersey
2000-01-11,27,16,34.0,7.0,34007,34,New Jersey
2000-01-12,39,14,26.0,15.0,34007,34,New Jersey
2000-01-13,34,19,17.0,16.0,34007,34,New Jersey
2000-01-14,32,22,11.0,7.0,34007,34,New Jersey
2000-01-15,29,17,21.0,7.0,34007,34,New Jersey
2000-01-16,24,25,41.0,7.0,34007,34,New Jersey
2000-01-17,15,25,3.0,7.0,34007,34,New Jersey
2000-01-18,38,14,23.0,10.0,34007,34,New Jersey
2000-01-19,37,11,41.0,20.0,34007,34,New Jersey
2000-01-20,40,15,30.0,22.0,34007,34,New Jersey
2000-01-21,25,23,16.0,10.0,34007,34,New Jersey
2000-01-22,35,20,24.0,9.0,34007,34,New Jersey
2000-01-23,40,14,27.0,10.0,34007,34,New Jersey
2000-01-24,42,7,33.0,14.0,34007,34,New Jersey
2000-01-25,43,16,33.0,14.0,34007,34,New Jersey
2000-01-26,31,21,20.0,7.0,34007,34,New Jersey
2000-01-27,28,21,10.0,6.0,34007,34,New Jersey
2000-01-28,48,25,19.0,8.0,34007,34,New Jersey
2000-01-29,76,21,23.0,32.0,34007,34,New Jersey
2000-01-30,97,4,50.0,49.0,34007,34,New Jersey
2000-01-31,39,13,49.0,8.0,34007,34,New Jersey
2000-02-01,40,18,55.0,7.0,34007,34,New Jersey
2000-02-02,40,25,14.0,7.0,34007,34,New Jersey
2000-02-03,57,11,29.0,14.0,34007,34,New Jersey
2000-02-04,77,5,91.0,17.0,34007,34,New Jersey
2000-02-05,50,26,37.0,16.0,34007,34,New Jersey
2000-02-06,50,28,24.0,6.0,34007,34,New Jersey
2000-02-07,42,19,57.0,6.0,34007,34,New Jersey
2000-02-08,49,21,17.0,8.0,34007,34,New Jersey
2000-02-09,56,18,54.0,11.0,34007,34,New Jersey
2000-02-10,72,14,36.0,19.0,34007,34,New Jersey
2000-02-11,57,19,47.0,14.0,34007,34,New Jersey
2000-02-12,42,23,17.0,11.0,34007,34,New Jersey
2000-02-13,47,10,14.0,25.0,34007,34,New Jersey
2000-02-14,38,11,34.0,9.0,34007,34,New Jersey
2000-02-15,50,27,13.0,10.0,34007,34,New Jersey
2000-02-16,44,23,39.0,11.0,34007,34,New Jersey
2000-02-17,42,26,13.0,7.0,34007,34,New Jersey
2000-02-18,46,13,7.0,14.0,34007,34,New Jersey
2000-02-19,44,19,11.0,15.0,34007,34,New Jersey
2000-02-20,27,30,10.0,7.0,34007,34,New Jersey
2000-02-21,54,30,13.0,14.0,34007,34,New Jersey
2000-02-22,53,20,46.0,18.0,34007,34,New Jersey
2000-02-23,52,14,29.0,15.0,34007,34,New Jersey
2000-02-24,51,21,50.0,17.0,34007,34,New Jersey
2000-02-25,51,14,57.0,11.0,34007,34,New Jersey
2000-02-26,24,19,6.0,5.0,34007,34,New Jersey
2000-02-27,21,26,9.0,5.0,34007,34,New Jersey
2000-02-28,28,28,7.0,5.0,34007,34,New Jersey
2000-02-29,44,24,17.0,8.0,34007,34,New Jersey
2000-03-01,53,19,13.0,18.0,34007,34,New Jersey
2000-03-02,41,23,13.0,11.0,34007,34,New Jersey
2000-03-03,30,27,7.0,6.0,34007,34,New Jersey
2000-03-04,46,30,17.0,8.0,34007,34,New Jersey
2000-03-05,45,32,29.0,8.0,34007,34,New Jersey
2000-03-06,44,31,7.0,7.0,34007,34,New Jersey
2000-03-07,56,21,47.0,15.0,34007,34,New Jersey
2000-03-08,79,35,60.0,15.0,34007,34,New Jersey
2000-03-09,71,31,65.0,13.0,34007,34,New Jersey
2000-03-10,24,21,9.0,7.0,34007,34,New Jersey
2000-03-11,37,22,13.0,8.0,34007,34,New Jersey
