Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-01,2,33,1.0,2.0,6083,6,California
2000-01-02,1,35,1.0,2.0,6083,6,California
2000-01-03,5,36,0.0,1.0,6083,6,California
2000-01-04,7,35,1.0,1.0,6083,6,California
2000-01-05,3,38,0.0,2.0,6083,6,California
2000-01-06,16,35,6.0,2.0,6083,6,California
2000-01-07,8,35,1.0,3.0,6083,6,California
2000-01-08,8,37,3.0,2.0,6083,6,California
2000-01-09,9,35,3.0,2.0,6083,6,California
2000-01-10,4,34,0.0,2.0,6083,6,California
2000-01-11,2,29,1.0,1.0,6083,6,California
2000-01-12,10,24,1.0,2.0,6083,6,California
2000-01-13,14,34,4.0,3.0,6083,6,California
2000-01-14,12,30,3.0,3.0,6083,6,California
2000-01-15,52,26,4.0,7.0,6083,6,California
2000-01-16,36,25,4.0,8.0,6083,6,California
2000-01-17,19,20,3.0,3.0,6083,6,California
2000-01-18,2,25,1.0,3.0,6083,6,California
2000-01-25,8,33,0.0,2.0,6083,6,California
2000-01-26,2,33,0.0,2.0,6083,6,California
2000-01-27,8,34,1.0,2.0,6083,6,California
2000-01-28,16,32,1.0,5.0,6083,6,California
2000-01-29,8,35,1.0,3.0,6083,6,California
2000-01-30,7,33,1.0,3.0,6083,6,California
2000-01-31,5,30,1.0,2.0,6083,6,California
2000-02-01,8,41,3.0,2.0,6083,6,California
2000-02-02,8,45,1.0,2.0,6083,6,California
2000-02-03,17,42,4.0,3.0,6083,6,California
2000-02-04,12,36,1.0,3.0,6083,6,California
2000-02-05,8,38,1.0,5.0,6083,6,California
2000-02-06,4,35,3.0,2.0,6083,6,California
2000-02-07,10,42,4.0,3.0,6083,6,California
2000-02-08,14,36,4.0,2.0,6083,6,California
2000-02-09,7,34,3.0,2.0,6083,6,California
2000-02-10,2,40,1.0,1.0,6083,6,California
2000-02-11,4,36,1.0,2.0,6083,6,California
2000-02-12,2,35,1.0,2.0,6083,6,California
2000-02-13,3,34,0.0,2.0,6083,6,California
2000-02-14,5,34,1.0,2.0,6083,6,California
2000-02-15,7,31,3.0,2.0,6083,6,California
2000-02-16,3,36,1.0,2.0,6083,6,California
2000-02-17,2,36,1.0,1.0,6083,6,California
2000-02-18,10,37,1.0,3.0,6083,6,California
2000-02-19,8,42,1.0,3.0,6083,6,California
2000-02-20,7,42,1.0,2.0,6083,6,California
2000-02-21,3,38,1.0,1.0,6083,6,California
2000-02-22,14,35,1.0,2.0,6083,6,California
2000-02-23,2,38,1.0,2.0,6083,6,California
2000-02-24,1,37,1.0,2.0,6083,6,California
2000-02-25,7,32,1.0,2.0,6083,6,California
2000-02-26,4,37,1.0,2.0,6083,6,California
2000-02-27,1,38,1.0,2.0,6083,6,California
2000-02-28,2,36,1.0,2.0,6083,6,California
2000-02-29,4,36,1.0,2.0,6083,6,California
2000-03-01,4,41,1.0,1.0,6083,6,California
2000-03-02,7,39,1.0,2.0,6083,6,California
2000-03-03,8,27,1.0,2.0,6083,6,California
2000-03-04,4,34,1.0,2.0,6083,6,California
2000-03-05,1,38,1.0,1.0,6083,6,California
2000-03-06,7,39,1.0,2.0,6083,6,California
2000-03-07,10,37,1.0,2.0,6083,6,California
2000-03-08,3,39,1.0,1.0,6083,6,California
2000-03-09,3,41,1.0,2.0,6083,6,California
2000-03-10,3,39,0.0,2.0,6083,6,California
2000-03-11,6,38,4.0,1.0,6083,6,California
2000-03-12,5,42,3.0,2.0,6083,6,California
2000-03-13,7,42,3.0,2.0,6083,6,California
2000-03-14,13,44,3.0,2.0,6083,6,California
2000-03-15,15,38,3.0,5.0,6083,6,California
2000-03-16,8,47,1.0,6.0,6083,6,California
2000-03-17,8,47,3.0,2.0,6083,6,California
2000-03-18,12,48,3.0,3.0,6083,6,California
2000-03-19,3,36,1.0,2.0,6083,6,California
2000-03-20,3,43,1.0,2.0,6083,6,California
2000-03-21,6,46,1.0,2.0,6083,6,California
2000-03-22,8,51,1.0,2.0,6083,6,California
2000-03-23,8,46,3.0,2.0,6083,6,California
2000-03-24,6,43,1.0,2.0,6083,6,California
2000-03-25,5,44,1.0,2.0,6083,6,California
2000-03-26,5,43,1.0,2.0,6083,6,California
2000-03-27,3,39,1.0,2.0,6083,6,California
2000-03-28,3,37,1.0,2.0,6083,6,California
2000-03-29,4,43,1.0,2.0,6083,6,California
2000-03-30,10,46,3.0,2.0,6083,6,California
2000-03-31,10,51,3.0,2.0,6083,6,California
2000-04-01,8,74,1.0,2.0,6083,6,California
2000-04-02,8,77,4.0,3.0,6083,6,California
2000-04-03,8,51,3.0,3.0,6083,6,California
2000-04-04,8,41,1.0,3.0,6083,6,California
2000-04-05,9,41,1.0,3.0,6083,6,California
2000-04-06,5,38,1.0,2.0,6083,6,California
2000-04-07,4,48,0.0,3.0,6083,6,California
2000-04-08,6,48,4.0,2.0,6083,6,California
2000-04-09,2,37,3.0,1.0,6083,6,California
2000-04-10,4,44,1.0,2.0,6083,6,California
