Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2008-01-01,23,23,0.0,2.0,38017,38,North Dakota
2008-01-02,31,26,1.0,6.0,38017,38,North Dakota
2008-01-03,27,27,0.0,3.0,38017,38,North Dakota
2008-01-04,22,17,0.0,3.0,38017,38,North Dakota
2008-01-05,13,24,0.0,3.0,38017,38,North Dakota
2008-01-06,31,25,0.0,3.0,38017,38,North Dakota
2008-01-07,24,18,0.0,3.0,38017,38,North Dakota
2008-01-08,26,20,0.0,2.0,38017,38,North Dakota
2008-01-09,31,14,1.0,3.0,38017,38,North Dakota
2008-01-10,10,21,0.0,3.0,38017,38,North Dakota
2008-01-11,11,21,0.0,2.0,38017,38,North Dakota
2008-01-12,28,20,0.0,5.0,38017,38,North Dakota
2008-01-13,24,23,0.0,5.0,38017,38,North Dakota
2008-01-14,29,23,0.0,3.0,38017,38,North Dakota
2008-01-15,12,23,0.0,3.0,38017,38,North Dakota
2008-01-16,5,22,0.0,2.0,38017,38,North Dakota
2008-01-17,29,25,0.0,3.0,38017,38,North Dakota
2008-01-18,4,28,1.0,3.0,38017,38,North Dakota
2008-01-19,28,26,0.0,2.0,38017,38,North Dakota
2008-01-20,35,25,3.0,3.0,38017,38,North Dakota
2008-01-21,32,29,1.0,3.0,38017,38,North Dakota
2008-01-22,8,28,1.0,3.0,38017,38,North Dakota
2008-01-23,20,28,6.0,2.0,38017,38,North Dakota
2008-01-24,27,23,1.0,3.0,38017,38,North Dakota
2008-01-25,30,16,1.0,3.0,38017,38,North Dakota
2008-01-26,38,24,0.0,5.0,38017,38,North Dakota
2008-01-27,29,28,0.0,5.0,38017,38,North Dakota
2008-01-28,23,25,0.0,3.0,38017,38,North Dakota
2008-01-29,1,27,0.0,2.0,38017,38,North Dakota
2008-01-30,10,28,0.0,2.0,38017,38,North Dakota
2008-01-31,25,24,6.0,2.0,38017,38,North Dakota
2008-02-01,16,23,0.0,3.0,38017,38,North Dakota
2008-02-02,22,25,0.0,2.0,38017,38,North Dakota
2008-02-03,25,20,0.0,2.0,38017,38,North Dakota
2008-02-04,14,25,0.0,3.0,38017,38,North Dakota
2008-02-19,5,27,0.0,2.0,38017,38,North Dakota
2008-02-20,28,21,3.0,3.0,38017,38,North Dakota
2008-02-21,34,25,0.0,3.0,38017,38,North Dakota
2008-02-22,42,24,0.0,5.0,38017,38,North Dakota
2008-02-23,40,28,0.0,6.0,38017,38,North Dakota
2008-02-24,37,32,0.0,3.0,38017,38,North Dakota
2008-02-25,11,36,0.0,3.0,38017,38,North Dakota
2008-02-26,11,35,0.0,2.0,38017,38,North Dakota
2008-02-27,43,31,0.0,3.0,38017,38,North Dakota
2008-02-28,15,32,1.0,3.0,38017,38,North Dakota
2008-02-29,37,33,0.0,3.0,38017,38,North Dakota
2008-03-01,18,33,3.0,3.0,38017,38,North Dakota
2008-03-02,8,33,1.0,2.0,38017,38,North Dakota
2008-03-03,23,33,1.0,2.0,38017,38,North Dakota
2008-03-04,11,31,1.0,2.0,38017,38,North Dakota
2008-03-05,4,33,0.0,2.0,38017,38,North Dakota
2008-03-06,24,31,0.0,2.0,38017,38,North Dakota
2008-03-07,29,32,0.0,3.0,38017,38,North Dakota
2008-03-08,8,31,0.0,2.0,38017,38,North Dakota
2008-03-09,50,38,1.0,3.0,38017,38,North Dakota
2008-03-10,24,30,0.0,3.0,38017,38,North Dakota
2008-03-11,27,42,0.0,3.0,38017,38,North Dakota
2008-03-12,27,29,0.0,3.0,38017,38,North Dakota
2008-03-13,4,33,0.0,2.0,38017,38,North Dakota
2008-03-14,8,30,0.0,2.0,38017,38,North Dakota
2008-03-15,11,33,0.0,2.0,38017,38,North Dakota
2008-03-16,16,31,0.0,2.0,38017,38,North Dakota
2008-03-17,11,19,0.0,3.0,38017,38,North Dakota
2008-03-18,17,32,0.0,2.0,38017,38,North Dakota
2008-03-19,23,35,0.0,2.0,38017,38,North Dakota
2008-03-20,10,34,1.0,2.0,38017,38,North Dakota
2008-03-21,16,37,0.0,2.0,38017,38,North Dakota
