Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-03-31,34,0,20.0,8.0,42125,42,Pennsylvania
2000-04-01,34,40,61.0,11.0,42125,42,Pennsylvania
2000-04-02,36,37,10.0,6.0,42125,42,Pennsylvania
2000-04-03,24,30,21.0,1.0,42125,42,Pennsylvania
2000-04-04,13,33,27.0,1.0,42125,42,Pennsylvania
2000-04-05,29,37,21.0,1.0,42125,42,Pennsylvania
2000-04-06,25,54,17.0,1.0,42125,42,Pennsylvania
2000-04-07,34,9,40.0,5.0,42125,42,Pennsylvania
2000-04-08,26,31,23.0,6.0,42125,42,Pennsylvania
2000-04-09,16,32,20.0,1.0,42125,42,Pennsylvania
2000-04-10,30,33,27.0,5.0,42125,42,Pennsylvania
2000-04-11,34,18,31.0,3.0,42125,42,Pennsylvania
2000-04-12,30,32,21.0,2.0,42125,42,Pennsylvania
2000-04-13,35,40,29.0,7.0,42125,42,Pennsylvania
2000-04-14,36,42,49.0,8.0,42125,42,Pennsylvania
2000-04-15,26,32,75.0,2.0,42125,42,Pennsylvania
2000-04-16,22,61,19.0,2.0,42125,42,Pennsylvania
2000-04-17,29,33,20.0,2.0,42125,42,Pennsylvania
2000-04-18,14,27,7.0,1.0,42125,42,Pennsylvania
2000-04-19,25,19,34.0,2.0,42125,42,Pennsylvania
2000-04-20,34,36,55.0,5.0,42125,42,Pennsylvania
2000-04-21,15,32,14.0,3.0,42125,42,Pennsylvania
2000-04-22,12,19,24.0,1.0,42125,42,Pennsylvania
2000-04-23,12,37,17.0,1.0,42125,42,Pennsylvania
2000-04-24,32,44,37.0,2.0,42125,42,Pennsylvania
2000-04-25,18,49,29.0,2.0,42125,42,Pennsylvania
2000-04-26,23,46,29.0,2.0,42125,42,Pennsylvania
2000-04-27,34,46,37.0,3.0,42125,42,Pennsylvania
2000-04-28,33,54,26.0,5.0,42125,42,Pennsylvania
2000-04-29,38,58,36.0,6.0,42125,42,Pennsylvania
2000-04-30,32,44,20.0,1.0,42125,42,Pennsylvania
2000-05-01,32,109,13.0,3.0,42125,42,Pennsylvania
2000-05-02,29,39,13.0,1.0,42125,42,Pennsylvania
2000-05-03,31,80,52.0,6.0,42125,42,Pennsylvania
2000-05-04,32,58,24.0,5.0,42125,42,Pennsylvania
2000-05-05,26,61,24.0,2.0,42125,42,Pennsylvania
2000-05-06,24,64,21.0,3.0,42125,42,Pennsylvania
2000-05-07,29,97,16.0,3.0,42125,42,Pennsylvania
2000-05-08,27,48,17.0,3.0,42125,42,Pennsylvania
2000-05-09,25,47,13.0,2.0,42125,42,Pennsylvania
2000-05-10,30,37,14.0,2.0,42125,42,Pennsylvania
2000-05-11,40,45,69.0,2.0,42125,42,Pennsylvania
2000-05-12,36,61,19.0,2.0,42125,42,Pennsylvania
2000-05-13,26,39,27.0,2.0,42125,42,Pennsylvania
2000-05-14,6,44,16.0,1.0,42125,42,Pennsylvania
2000-05-15,30,47,29.0,1.0,42125,42,Pennsylvania
2000-05-16,28,49,23.0,2.0,42125,42,Pennsylvania
2000-05-17,29,109,52.0,1.0,42125,42,Pennsylvania
2000-05-18,32,87,29.0,1.0,42125,42,Pennsylvania
2000-05-19,24,45,50.0,1.0,42125,42,Pennsylvania
2000-05-20,18,35,43.0,2.0,42125,42,Pennsylvania
2000-05-21,22,34,17.0,2.0,42125,42,Pennsylvania
2000-05-22,34,58,24.0,3.0,42125,42,Pennsylvania
2000-05-23,25,38,20.0,1.0,42125,42,Pennsylvania
2000-05-24,21,54,20.0,1.0,42125,42,Pennsylvania
2000-05-25,16,46,19.0,1.0,42125,42,Pennsylvania
2000-05-26,31,49,29.0,2.0,42125,42,Pennsylvania
2000-05-27,29,30,7.0,2.0,42125,42,Pennsylvania
2000-05-28,14,22,6.0,1.0,42125,42,Pennsylvania
2000-05-29,14,35,4.0,0.0,42125,42,Pennsylvania
2000-05-30,18,41,6.0,1.0,42125,42,Pennsylvania
2000-05-31,25,87,14.0,2.0,42125,42,Pennsylvania
2000-06-01,30,80,36.0,2.0,42125,42,Pennsylvania
2000-06-02,27,111,30.0,2.0,42125,42,Pennsylvania
2000-06-03,14,31,16.0,1.0,42125,42,Pennsylvania
2000-06-04,14,54,36.0,2.0,42125,42,Pennsylvania
2000-06-05,16,34,23.0,1.0,42125,42,Pennsylvania
2000-06-06,19,22,17.0,1.0,42125,42,Pennsylvania
2000-06-07,32,43,20.0,2.0,42125,42,Pennsylvania
2000-06-08,24,109,14.0,1.0,42125,42,Pennsylvania
2000-06-09,35,169,27.0,1.0,42125,42,Pennsylvania
2000-06-10,30,159,17.0,2.0,42125,42,Pennsylvania
2000-06-11,19,100,20.0,2.0,42125,42,Pennsylvania
2000-06-12,15,31,20.0,1.0,42125,42,Pennsylvania
2000-06-13,25,97,37.0,1.0,42125,42,Pennsylvania
2000-06-14,21,84,57.0,2.0,42125,42,Pennsylvania
2000-06-15,21,38,40.0,1.0,42125,42,Pennsylvania
2000-06-16,18,36,13.0,0.0,42125,42,Pennsylvania
2000-06-17,14,31,19.0,1.0,42125,42,Pennsylvania
2000-06-18,11,23,11.0,1.0,42125,42,Pennsylvania
2000-06-19,21,42,79.0,0.0,42125,42,Pennsylvania
2000-06-20,25,44,87.0,2.0,42125,42,Pennsylvania
2000-06-21,23,31,10.0,1.0,42125,42,Pennsylvania
2000-06-22,17,48,33.0,0.0,42125,42,Pennsylvania
2000-06-23,21,45,17.0,1.0,42125,42,Pennsylvania
2000-06-24,25,104,41.0,2.0,42125,42,Pennsylvania
2000-06-25,29,50,14.0,2.0,42125,42,Pennsylvania
2000-06-26,19,67,26.0,0.0,42125,42,Pennsylvania
2000-06-27,16,25,24.0,0.0,42125,42,Pennsylvania
2000-06-28,20,45,67.0,1.0,42125,42,Pennsylvania
2000-06-29,25,47,51.0,2.0,42125,42,Pennsylvania
2000-06-30,21,47,14.0,0.0,42125,42,Pennsylvania
2000-07-01,25,64,14.0,2.0,42125,42,Pennsylvania
2000-07-02,21,93,17.0,1.0,42125,42,Pennsylvania
2000-07-03,21,25,36.0,1.0,42125,42,Pennsylvania
2000-07-04,16,48,21.0,1.0,42125,42,Pennsylvania
2000-07-05,28,54,26.0,1.0,42125,42,Pennsylvania
2000-07-06,21,67,34.0,1.0,42125,42,Pennsylvania
2000-07-07,18,43,31.0,0.0,42125,42,Pennsylvania
2000-07-08,22,54,29.0,0.0,42125,42,Pennsylvania
2000-07-09,24,147,49.0,1.0,42125,42,Pennsylvania
2000-07-10,17,49,49.0,0.0,42125,42,Pennsylvania
2000-07-11,16,47,66.0,0.0,42125,42,Pennsylvania
2000-07-12,23,49,23.0,0.0,42125,42,Pennsylvania
2000-07-13,28,104,66.0,1.0,42125,42,Pennsylvania
2000-07-14,29,97,31.0,1.0,42125,42,Pennsylvania
2000-07-15,12,32,30.0,0.0,42125,42,Pennsylvania
2000-07-16,16,31,11.0,0.0,42125,42,Pennsylvania
2000-07-17,19,46,24.0,1.0,42125,42,Pennsylvania
2000-07-18,17,54,27.0,1.0,42125,42,Pennsylvania
2000-07-19,19,14,44.0,0.0,42125,42,Pennsylvania
2000-07-20,20,45,50.0,0.0,42125,42,Pennsylvania
2000-07-21,23,42,20.0,0.0,42125,42,Pennsylvania
2000-07-22,21,33,17.0,1.0,42125,42,Pennsylvania
2000-07-23,18,40,16.0,0.0,42125,42,Pennsylvania
2000-07-24,13,43,9.0,0.0,42125,42,Pennsylvania
2000-07-25,16,47,3.0,0.0,42125,42,Pennsylvania
2000-07-26,25,44,7.0,0.0,42125,42,Pennsylvania
2000-07-27,28,58,52.0,1.0,42125,42,Pennsylvania
2000-07-28,26,71,16.0,1.0,42125,42,Pennsylvania
2000-07-29,24,22,13.0,1.0,42125,42,Pennsylvania
2000-07-30,15,61,67.0,1.0,42125,42,Pennsylvania
2000-07-31,23,43,34.0,0.0,42125,42,Pennsylvania
2000-08-01,19,49,33.0,0.0,42125,42,Pennsylvania
2000-08-02,21,67,16.0,0.0,42125,42,Pennsylvania
2000-08-03,24,33,24.0,0.0,42125,42,Pennsylvania
2000-08-04,18,31,19.0,0.0,42125,42,Pennsylvania
2000-08-05,25,54,17.0,0.0,42125,42,Pennsylvania
2000-08-06,20,31,16.0,0.0,42125,42,Pennsylvania
2000-08-07,17,47,24.0,0.0,42125,42,Pennsylvania
2000-08-08,21,36,16.0,0.0,42125,42,Pennsylvania
2000-08-09,18,25,10.0,0.0,42125,42,Pennsylvania
2000-08-10,24,42,13.0,0.0,42125,42,Pennsylvania
2000-08-11,25,38,10.0,0.0,42125,42,Pennsylvania
2000-08-12,18,32,31.0,0.0,42125,42,Pennsylvania
2000-08-13,22,43,20.0,0.0,42125,42,Pennsylvania
2000-08-14,25,40,24.0,0.0,42125,42,Pennsylvania
2000-08-15,26,58,56.0,0.0,42125,42,Pennsylvania
2000-08-16,30,42,34.0,0.0,42125,42,Pennsylvania
2000-08-17,25,6,13.0,0.0,42125,42,Pennsylvania
2000-08-18,24,13,34.0,0.0,42125,42,Pennsylvania
2000-08-19,18,31,27.0,0.0,42125,42,Pennsylvania
2000-08-20,15,34,29.0,0.0,42125,42,Pennsylvania
2000-08-21,29,43,31.0,3.0,42125,42,Pennsylvania
2000-08-22,26,71,17.0,3.0,42125,42,Pennsylvania
2000-08-23,25,32,23.0,3.0,42125,42,Pennsylvania
2000-08-24,22,31,26.0,5.0,42125,42,Pennsylvania
2000-08-25,26,41,21.0,7.0,42125,42,Pennsylvania
2000-08-26,25,61,43.0,5.0,42125,42,Pennsylvania
2000-08-27,20,33,44.0,5.0,42125,42,Pennsylvania
2000-08-28,21,39,4.0,3.0,42125,42,Pennsylvania
2000-08-29,28,37,6.0,3.0,42125,42,Pennsylvania
2000-08-30,17,36,4.0,3.0,42125,42,Pennsylvania
2000-08-31,16,23,3.0,2.0,42125,42,Pennsylvania
2000-09-01,21,42,16.0,5.0,42125,42,Pennsylvania
2000-09-02,15,45,10.0,5.0,42125,42,Pennsylvania
2000-09-03,15,49,20.0,3.0,42125,42,Pennsylvania
2000-09-04,18,40,33.0,3.0,42125,42,Pennsylvania
2000-09-05,25,26,24.0,1.0,42125,42,Pennsylvania
2000-09-06,21,38,4.0,1.0,42125,42,Pennsylvania
2000-09-07,33,36,79.0,2.0,42125,42,Pennsylvania
2000-09-08,19,36,17.0,3.0,42125,42,Pennsylvania
2000-09-09,19,28,27.0,2.0,42125,42,Pennsylvania
2000-09-10,17,33,101.0,5.0,42125,42,Pennsylvania
2000-09-11,17,36,17.0,2.0,42125,42,Pennsylvania
2000-09-12,21,46,14.0,2.0,42125,42,Pennsylvania
2000-09-13,25,31,30.0,2.0,42125,42,Pennsylvania
2000-09-14,21,42,23.0,3.0,42125,42,Pennsylvania
2000-09-15,11,23,16.0,2.0,42125,42,Pennsylvania
2000-09-16,8,19,10.0,1.0,42125,42,Pennsylvania
2000-09-17,17,36,9.0,1.0,42125,42,Pennsylvania
2000-09-18,28,32,110.0,3.0,42125,42,Pennsylvania
2000-09-19,20,14,13.0,3.0,42125,42,Pennsylvania
2000-09-20,33,84,34.0,2.0,42125,42,Pennsylvania
2000-09-21,14,26,4.0,1.0,42125,42,Pennsylvania
2000-09-22,21,31,16.0,2.0,42125,42,Pennsylvania
2000-09-23,20,25,7.0,3.0,42125,42,Pennsylvania
2000-09-24,15,21,51.0,2.0,42125,42,Pennsylvania
2000-09-25,16,13,23.0,1.0,42125,42,Pennsylvania
2000-09-26,16,11,27.0,3.0,42125,42,Pennsylvania
2000-09-27,20,26,43.0,3.0,42125,42,Pennsylvania
2000-09-28,21,9,20.0,3.0,42125,42,Pennsylvania
2000-09-29,20,24,24.0,2.0,42125,42,Pennsylvania
2000-09-30,20,34,30.0,5.0,42125,42,Pennsylvania
2000-10-01,21,35,49.0,3.0,42125,42,Pennsylvania
2000-10-02,29,38,9.0,3.0,42125,42,Pennsylvania
2000-10-03,29,43,37.0,3.0,42125,42,Pennsylvania
2000-10-04,22,45,29.0,5.0,42125,42,Pennsylvania
2000-10-05,28,25,16.0,5.0,42125,42,Pennsylvania
2000-10-06,14,21,33.0,5.0,42125,42,Pennsylvania
2000-10-07,8,25,19.0,0.0,42125,42,Pennsylvania
2000-10-08,9,14,7.0,0.0,42125,42,Pennsylvania
2000-10-09,15,18,13.0,0.0,42125,42,Pennsylvania
2000-10-10,12,26,19.0,3.0,42125,42,Pennsylvania
2000-10-11,26,29,33.0,3.0,42125,42,Pennsylvania
2000-10-12,30,26,49.0,3.0,42125,42,Pennsylvania
2000-10-13,26,31,40.0,6.0,42125,42,Pennsylvania
2000-10-14,31,61,23.0,7.0,42125,42,Pennsylvania
2000-10-15,43,41,91.0,2.0,42125,42,Pennsylvania
2000-10-16,35,25,34.0,5.0,42125,42,Pennsylvania
2000-10-17,32,5,13.0,6.0,42125,42,Pennsylvania
2000-10-18,28,29,33.0,3.0,42125,42,Pennsylvania
2000-10-19,26,22,34.0,5.0,42125,42,Pennsylvania
2000-10-20,30,31,100.0,7.0,42125,42,Pennsylvania
2000-10-21,29,54,14.0,9.0,42125,42,Pennsylvania
2000-10-22,30,32,40.0,6.0,42125,42,Pennsylvania
2000-10-23,35,20,60.0,5.0,42125,42,Pennsylvania
2000-10-24,34,5,31.0,6.0,42125,42,Pennsylvania
2000-10-25,24,20,33.0,3.0,42125,42,Pennsylvania
2000-10-26,26,31,69.0,7.0,42125,42,Pennsylvania
2000-10-27,32,41,34.0,8.0,42125,42,Pennsylvania
2000-10-28,19,25,14.0,5.0,42125,42,Pennsylvania
2000-10-29,22,27,11.0,1.0,42125,42,Pennsylvania
2000-10-30,31,19,21.0,3.0,42125,42,Pennsylvania
2000-10-31,31,10,64.0,9.0,42125,42,Pennsylvania
2001-03-31,21,0,30.0,1.0,42125,42,Pennsylvania
2001-04-01,20,29,40.0,3.0,42125,42,Pennsylvania
2001-04-02,28,39,24.0,1.0,42125,42,Pennsylvania
2001-04-03,29,35,37.0,5.0,42125,42,Pennsylvania
2001-04-04,32,42,40.0,1.0,42125,42,Pennsylvania
2001-04-05,34,46,70.0,5.0,42125,42,Pennsylvania
