Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-03-31,56,10,11.0,14.0,37119,37,North Carolina
2000-04-01,42,77,7.0,16.0,37119,37,North Carolina
2000-04-02,24,37,19.0,6.0,37119,37,North Carolina
2000-04-03,16,41,3.0,6.0,37119,37,North Carolina
2000-04-04,18,31,36.0,6.0,37119,37,North Carolina
2000-04-05,41,39,20.0,7.0,37119,37,North Carolina
2000-04-06,29,87,9.0,6.0,37119,37,North Carolina
2000-04-07,39,50,56.0,8.0,37119,37,North Carolina
2000-04-08,11,33,17.0,6.0,37119,37,North Carolina
2000-04-09,22,37,16.0,6.0,37119,37,North Carolina
2000-04-10,44,46,17.0,10.0,37119,37,North Carolina
2000-04-11,32,50,7.0,7.0,37119,37,North Carolina
2000-04-12,34,39,19.0,7.0,37119,37,North Carolina
2000-04-13,20,21,9.0,7.0,37119,37,North Carolina
2000-04-14,20,16,7.0,6.0,37119,37,North Carolina
2000-04-15,26,13,11.0,7.0,37119,37,North Carolina
2000-04-16,36,36,24.0,9.0,37119,37,North Carolina
2000-04-17,27,40,26.0,9.0,37119,37,North Carolina
2000-04-18,24,11,4.0,6.0,37119,37,North Carolina
2000-04-19,44,37,6.0,14.0,37119,37,North Carolina
2000-04-20,33,67,4.0,15.0,37119,37,North Carolina
2000-04-21,17,47,29.0,6.0,37119,37,North Carolina
2000-04-22,14,32,9.0,6.0,37119,37,North Carolina
2000-04-23,25,48,29.0,7.0,37119,37,North Carolina
2000-04-24,25,40,4.0,7.0,37119,37,North Carolina
2000-04-25,34,24,6.0,6.0,37119,37,North Carolina
2000-04-26,39,40,10.0,13.0,37119,37,North Carolina
2000-04-27,51,48,20.0,13.0,37119,37,North Carolina
2000-04-28,25,33,6.0,8.0,37119,37,North Carolina
2000-04-29,41,47,20.0,10.0,37119,37,North Carolina
2000-04-30,58,106,30.0,18.0,37119,37,North Carolina
2000-05-01,44,100,7.0,14.0,37119,37,North Carolina
2000-05-02,25,61,21.0,7.0,37119,37,North Carolina
