Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-01,19,36,4.0,9.0,6073,6,California
2000-01-02,33,34,3.0,10.0,6073,6,California
2000-01-03,42,19,4.0,20.0,6073,6,California
2000-01-04,55,18,7.0,22.0,6073,6,California
2000-01-05,47,23,6.0,24.0,6073,6,California
2000-01-06,48,20,6.0,24.0,6073,6,California
2000-01-07,41,21,17.0,19.0,6073,6,California
2000-01-08,45,15,9.0,24.0,6073,6,California
2000-01-09,54,25,7.0,26.0,6073,6,California
2000-01-10,47,31,6.0,20.0,6073,6,California
2000-01-11,57,29,9.0,32.0,6073,6,California
2000-01-12,43,18,9.0,25.0,6073,6,California
2000-01-13,65,8,7.0,32.0,6073,6,California
2000-01-14,67,12,7.0,33.0,6073,6,California
2000-01-15,50,21,52.0,26.0,6073,6,California
2000-01-16,34,8,6.0,22.0,6073,6,California
2000-01-17,35,4,6.0,19.0,6073,6,California
2000-01-18,42,18,16.0,19.0,6073,6,California
2000-01-19,36,15,6.0,17.0,6073,6,California
2000-01-20,38,17,7.0,17.0,6073,6,California
2000-01-21,34,25,4.0,15.0,6073,6,California
2000-01-22,28,33,4.0,15.0,6073,6,California
2000-01-23,45,19,9.0,15.0,6073,6,California
2000-01-24,56,8,11.0,18.0,6073,6,California
2000-01-25,33,23,19.0,24.0,6073,6,California
2000-01-26,31,28,4.0,16.0,6073,6,California
2000-01-27,34,25,4.0,17.0,6073,6,California
2000-01-28,47,22,6.0,20.0,6073,6,California
2000-01-29,35,38,4.0,25.0,6073,6,California
2000-01-30,32,36,4.0,11.0,6073,6,California
2000-01-31,34,31,9.0,13.0,6073,6,California
2000-02-01,46,22,6.0,16.0,6073,6,California
2000-02-02,48,39,4.0,15.0,6073,6,California
2000-02-03,45,38,20.0,16.0,6073,6,California
2000-02-04,37,33,20.0,17.0,6073,6,California
2000-02-05,26,28,3.0,13.0,6073,6,California
2000-02-06,34,35,4.0,14.0,6073,6,California
2000-02-07,62,29,6.0,27.0,6073,6,California
2000-02-08,53,12,6.0,27.0,6073,6,California
2000-02-09,61,35,6.0,19.0,6073,6,California
2000-02-10,25,31,13.0,9.0,6073,6,California
2000-02-11,35,32,4.0,13.0,6073,6,California
2000-02-12,34,36,13.0,17.0,6073,6,California
2000-02-13,29,34,11.0,15.0,6073,6,California
2000-02-14,22,19,7.0,10.0,6073,6,California
2000-02-15,17,3,3.0,13.0,6073,6,California
2000-02-16,17,37,20.0,6.0,6073,6,California
2000-02-17,34,38,3.0,8.0,6073,6,California
2000-02-18,38,27,10.0,13.0,6073,6,California
2000-02-19,38,40,7.0,10.0,6073,6,California
2000-02-20,13,37,9.0,10.0,6073,6,California
2000-02-21,17,37,7.0,6.0,6073,6,California
2000-02-22,35,38,4.0,13.0,6073,6,California
2000-02-23,21,38,7.0,9.0,6073,6,California
2000-02-24,36,38,3.0,6.0,6073,6,California
2000-02-25,39,34,4.0,15.0,6073,6,California
2000-02-26,56,32,4.0,16.0,6073,6,California
2000-02-27,39,39,4.0,20.0,6073,6,California
2000-02-28,32,39,4.0,8.0,6073,6,California
2000-02-29,26,36,4.0,11.0,6073,6,California
2000-03-01,39,42,4.0,5.0,6073,6,California
2000-03-11,51,36,6.0,17.0,6073,6,California
2000-03-12,40,41,49.0,20.0,6073,6,California
