Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-03-31,66,5,52.0,27.0,17031,17,Illinois
2000-04-01,51,18,44.0,27.0,17031,17,Illinois
2000-04-02,45,25,36.0,18.0,17031,17,Illinois
2000-04-03,44,31,24.0,19.0,17031,17,Illinois
2000-04-04,43,32,6.0,13.0,17031,17,Illinois
2000-04-05,42,37,24.0,18.0,17031,17,Illinois
2000-04-06,16,36,6.0,11.0,17031,17,Illinois
2000-04-09,17,30,34.0,17.0,17031,17,Illinois
2000-04-10,31,21,6.0,20.0,17031,17,Illinois
2000-04-11,46,17,1.0,14.0,17031,17,Illinois
2000-04-12,44,25,10.0,16.0,17031,17,Illinois
2000-04-13,49,29,36.0,10.0,17031,17,Illinois
2000-04-14,42,34,51.0,10.0,17031,17,Illinois
2000-04-15,26,24,34.0,9.0,17031,17,Illinois
2000-04-16,25,16,4.0,10.0,17031,17,Illinois
2000-04-17,25,12,1.0,9.0,17031,17,Illinois
2000-04-18,38,11,36.0,14.0,17031,17,Illinois
2000-04-19,39,3,17.0,16.0,17031,17,Illinois
2000-04-20,38,27,24.0,15.0,17031,17,Illinois
2000-04-21,50,29,1.0,15.0,17031,17,Illinois
2000-04-22,62,21,56.0,23.0,17031,17,Illinois
2000-04-23,57,32,9.0,25.0,17031,17,Illinois
2000-04-24,51,31,4.0,11.0,17031,17,Illinois
2000-04-25,52,36,13.0,11.0,17031,17,Illinois
2000-04-26,72,33,40.0,18.0,17031,17,Illinois
2000-04-27,77,32,51.0,32.0,17031,17,Illinois
2000-04-28,62,33,44.0,18.0,17031,17,Illinois
2000-04-29,35,21,1.0,10.0,17031,17,Illinois
2000-04-30,69,33,27.0,19.0,17031,17,Illinois
2000-05-01,66,18,65.0,20.0,17031,17,Illinois
2000-05-02,64,19,62.0,18.0,17031,17,Illinois
2000-05-03,72,42,13.0,11.0,17031,17,Illinois
2000-05-04,48,38,36.0,10.0,17031,17,Illinois
2000-05-05,34,41,46.0,8.0,17031,17,Illinois
2000-05-06,23,40,6.0,7.0,17031,17,Illinois
2000-05-07,33,32,21.0,8.0,17031,17,Illinois
2000-05-08,27,37,14.0,10.0,17031,17,Illinois
2000-05-09,32,20,1.0,11.0,17031,17,Illinois
2000-05-10,52,26,13.0,15.0,17031,17,Illinois
2000-05-11,45,17,11.0,15.0,17031,17,Illinois
2000-05-12,30,44,16.0,13.0,17031,17,Illinois
2000-05-13,27,26,0.0,11.0,17031,17,Illinois
2000-05-14,44,42,0.0,14.0,17031,17,Illinois
2000-05-15,61,15,20.0,14.0,17031,17,Illinois
2000-05-16,47,16,16.0,7.0,17031,17,Illinois
2000-05-17,55,15,20.0,11.0,17031,17,Illinois
2000-05-18,41,26,13.0,9.0,17031,17,Illinois
2000-05-19,30,18,3.0,8.0,17031,17,Illinois
2000-05-20,51,27,23.0,14.0,17031,17,Illinois
2000-05-21,42,43,24.0,16.0,17031,17,Illinois
2000-05-22,56,23,41.0,8.0,17031,17,Illinois
2000-05-23,44,40,14.0,8.0,17031,17,Illinois
2000-05-24,24,47,6.0,8.0,17031,17,Illinois
2000-05-25,66,38,13.0,15.0,17031,17,Illinois
2000-05-26,65,35,27.0,18.0,17031,17,Illinois
2000-05-27,13,31,9.0,13.0,17031,17,Illinois
2000-05-29,42,26,11.0,11.0,17031,17,Illinois
2000-05-30,42,33,14.0,11.0,17031,17,Illinois
2000-05-31,43,16,16.0,17.0,17031,17,Illinois
2000-06-01,36,42,30.0,25.0,17031,17,Illinois
2000-06-02,50,22,4.0,13.0,17031,17,Illinois
2000-06-03,45,26,4.0,13.0,17031,17,Illinois
2000-06-04,41,27,6.0,13.0,17031,17,Illinois
2000-06-05,43,23,4.0,13.0,17031,17,Illinois
2000-06-06,60,25,16.0,18.0,17031,17,Illinois
2000-06-07,67,42,41.0,22.0,17031,17,Illinois
2000-06-08,51,51,66.0,14.0,17031,17,Illinois
2000-06-09,54,87,57.0,14.0,17031,17,Illinois
2000-06-13,42,19,6.0,19.0,17031,17,Illinois
2000-06-14,66,26,0.0,14.0,17031,17,Illinois
2000-06-15,84,31,10.0,13.0,17031,17,Illinois
2000-06-16,42,23,16.0,11.0,17031,17,Illinois
2000-06-17,27,23,9.0,13.0,17031,17,Illinois
2000-06-18,51,28,23.0,19.0,17031,17,Illinois
2000-06-19,52,42,9.0,19.0,17031,17,Illinois
2000-06-20,31,18,6.0,13.0,17031,17,Illinois
2000-06-21,37,30,4.0,13.0,17031,17,Illinois
2000-06-22,45,27,6.0,15.0,17031,17,Illinois
2000-06-23,49,34,23.0,22.0,17031,17,Illinois
2000-06-24,30,16,57.0,13.0,17031,17,Illinois
