Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2010-09-01,4,97,4.0,2.0,9005,9,Connecticut
2010-09-02,6,119,7.0,3.0,9005,9,Connecticut
2010-09-03,6,41,0.0,3.0,9005,9,Connecticut
2010-09-04,0,34,0.0,1.0,9005,9,Connecticut
2010-09-05,0,27,0.0,1.0,9005,9,Connecticut
2010-09-06,2,42,0.0,2.0,9005,9,Connecticut
2010-09-07,4,80,1.0,2.0,9005,9,Connecticut
2010-09-08,4,38,1.0,2.0,9005,9,Connecticut
2010-09-09,0,18,0.0,1.0,9005,9,Connecticut
2010-09-10,0,16,0.0,1.0,9005,9,Connecticut
2010-09-11,2,25,0.0,2.0,9005,9,Connecticut
2010-09-12,0,21,1.0,2.0,9005,9,Connecticut
2010-09-13,4,29,1.0,2.0,9005,9,Connecticut
2010-09-14,4,32,0.0,2.0,9005,9,Connecticut
2010-09-15,0,27,0.0,1.0,9005,9,Connecticut
2010-09-16,2,30,0.0,2.0,9005,9,Connecticut
2010-09-17,2,26,0.0,2.0,9005,9,Connecticut
2010-09-18,0,27,0.0,2.0,9005,9,Connecticut
2010-09-19,2,36,0.0,2.0,9005,9,Connecticut
2010-09-20,0,26,0.0,2.0,9005,9,Connecticut
2010-09-21,8,33,0.0,2.0,9005,9,Connecticut
2010-09-22,4,74,4.0,2.0,9005,9,Connecticut
2010-09-23,2,36,1.0,2.0,9005,9,Connecticut
2010-09-24,15,50,1.0,3.0,9005,9,Connecticut
2010-09-25,6,43,4.0,3.0,9005,9,Connecticut
2010-09-26,2,31,0.0,1.0,9005,9,Connecticut
2010-09-27,4,18,0.0,2.0,9005,9,Connecticut
2010-09-28,2,21,0.0,2.0,9005,9,Connecticut
2010-09-29,6,35,0.0,2.0,9005,9,Connecticut
2010-09-30,11,25,0.0,2.0,9005,9,Connecticut
2010-10-01,1,30,0.0,1.0,9005,9,Connecticut
2010-10-02,1,28,1.0,1.0,9005,9,Connecticut
2010-10-05,3,19,0.0,1.0,9005,9,Connecticut
2010-10-06,3,28,0.0,3.0,9005,9,Connecticut
2010-10-07,2,32,0.0,1.0,9005,9,Connecticut
2010-10-08,1,34,1.0,1.0,9005,9,Connecticut
2010-10-09,2,32,3.0,1.0,9005,9,Connecticut
2010-10-10,2,36,4.0,1.0,9005,9,Connecticut
2010-10-11,2,36,1.0,2.0,9005,9,Connecticut
2010-10-12,1,29,3.0,2.0,9005,9,Connecticut
2010-10-28,2,37,3.0,1.0,9005,9,Connecticut
2010-10-29,1,25,0.0,1.0,9005,9,Connecticut
2010-10-30,6,30,3.0,2.0,9005,9,Connecticut
2010-10-31,4,29,4.0,2.0,9005,9,Connecticut
2010-11-01,1,24,3.0,1.0,9005,9,Connecticut
2010-11-02,2,25,3.0,1.0,9005,9,Connecticut
2010-11-03,20,26,1.0,2.0,9005,9,Connecticut
2010-11-04,4,29,0.0,2.0,9005,9,Connecticut
2010-11-05,3,24,0.0,2.0,9005,9,Connecticut
2010-11-06,1,19,0.0,2.0,9005,9,Connecticut
2010-11-07,1,27,0.0,1.0,9005,9,Connecticut
2010-11-08,2,28,1.0,1.0,9005,9,Connecticut
2010-11-09,1,18,0.0,1.0,9005,9,Connecticut
2010-11-10,1,23,0.0,1.0,9005,9,Connecticut
2010-11-11,2,35,0.0,1.0,9005,9,Connecticut
2010-11-12,1,38,1.0,1.0,9005,9,Connecticut
2010-11-13,1,37,0.0,1.0,9005,9,Connecticut
2010-11-14,6,33,1.0,2.0,9005,9,Connecticut
2010-11-15,6,22,0.0,2.0,9005,9,Connecticut
2010-11-16,18,30,0.0,2.0,9005,9,Connecticut
2010-11-17,4,34,0.0,6.0,9005,9,Connecticut
2010-11-18,1,30,0.0,1.0,9005,9,Connecticut
2010-11-19,1,25,0.0,1.0,9005,9,Connecticut
2010-11-20,13,26,4.0,2.0,9005,9,Connecticut
2010-11-21,3,25,1.0,2.0,9005,9,Connecticut
