Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-01,65,32,13.0,25.0,48113,48,Texas
2000-01-02,30,13,4.0,5.0,48113,48,Texas
2000-01-03,33,24,1.0,5.0,48113,48,Texas
2000-01-04,45,16,7.0,13.0,48113,48,Texas
2000-01-05,40,19,9.0,14.0,48113,48,Texas
2000-01-06,38,20,9.0,2.0,48113,48,Texas
2000-01-07,37,17,7.0,2.0,48113,48,Texas
2000-01-08,34,17,4.0,3.0,48113,48,Texas
2000-01-09,42,28,3.0,3.0,48113,48,Texas
2000-01-10,49,14,9.0,7.0,48113,48,Texas
2000-01-11,53,5,9.0,11.0,48113,48,Texas
2000-01-12,35,17,3.0,11.0,48113,48,Texas
2000-01-13,34,24,4.0,2.0,48113,48,Texas
2000-01-14,42,15,6.0,2.0,48113,48,Texas
2000-01-15,35,25,3.0,0.0,48113,48,Texas
2000-01-16,28,23,0.0,0.0,48113,48,Texas
2000-01-17,28,19,0.0,0.0,48113,48,Texas
2000-01-18,29,3,0.0,0.0,48113,48,Texas
2000-01-19,39,19,3.0,2.0,48113,48,Texas
2000-01-20,36,19,0.0,2.0,48113,48,Texas
2000-01-21,39,17,6.0,8.0,48113,48,Texas
2000-01-22,33,21,1.0,7.0,48113,48,Texas
2000-01-23,37,31,0.0,7.0,48113,48,Texas
2000-01-24,44,16,4.0,13.0,48113,48,Texas
2000-01-25,39,20,6.0,13.0,48113,48,Texas
2000-01-26,25,16,6.0,8.0,48113,48,Texas
2000-01-27,27,14,4.0,10.0,48113,48,Texas
2000-01-28,15,16,1.0,8.0,48113,48,Texas
2000-01-29,41,23,1.0,10.0,48113,48,Texas
2000-01-30,42,21,3.0,20.0,48113,48,Texas
2000-01-31,45,19,16.0,15.0,48113,48,Texas
2000-02-01,36,19,3.0,9.0,48113,48,Texas
2000-02-02,55,15,6.0,17.0,48113,48,Texas
2000-02-03,45,19,3.0,17.0,48113,48,Texas
2000-02-04,31,25,0.0,8.0,48113,48,Texas
2000-02-05,35,18,4.0,10.0,48113,48,Texas
2000-02-06,33,33,4.0,9.0,48113,48,Texas
2000-02-07,61,13,7.0,23.0,48113,48,Texas
2000-02-08,54,19,6.0,20.0,48113,48,Texas
