Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-02-29,14,37,23.0,0.0,21059,21,Kentucky
2000-03-01,25,34,10.0,0.0,21059,21,Kentucky
2000-03-02,21,24,29.0,0.0,21059,21,Kentucky
2000-03-03,20,14,30.0,0.0,21059,21,Kentucky
2000-03-04,42,26,60.0,5.0,21059,21,Kentucky
2000-03-05,34,31,26.0,6.0,21059,21,Kentucky
2000-03-06,39,35,39.0,0.0,21059,21,Kentucky
2000-03-07,35,46,16.0,0.0,21059,21,Kentucky
2000-03-08,30,54,20.0,0.0,21059,21,Kentucky
2000-03-09,14,35,19.0,0.0,21059,21,Kentucky
2000-03-10,16,18,30.0,0.0,21059,21,Kentucky
2000-03-11,21,18,30.0,0.0,21059,21,Kentucky
2000-03-12,22,34,13.0,0.0,21059,21,Kentucky
2000-03-13,30,30,7.0,0.0,21059,21,Kentucky
2000-03-14,45,31,46.0,1.0,21059,21,Kentucky
2000-03-15,20,43,16.0,0.0,21059,21,Kentucky
2000-03-16,13,31,0.0,0.0,21059,21,Kentucky
2000-03-17,19,29,34.0,0.0,21059,21,Kentucky
2000-03-18,6,31,3.0,0.0,21059,21,Kentucky
2000-03-19,10,29,9.0,0.0,21059,21,Kentucky
2000-03-20,15,11,9.0,0.0,21059,21,Kentucky
2000-03-21,21,8,54.0,0.0,21059,21,Kentucky
2000-03-22,25,30,20.0,0.0,21059,21,Kentucky
2000-03-23,23,36,14.0,0.0,21059,21,Kentucky
2000-03-24,25,67,11.0,0.0,21059,21,Kentucky
2000-03-25,33,37,26.0,0.0,21059,21,Kentucky
2000-03-26,37,45,41.0,0.0,21059,21,Kentucky
2000-03-27,30,34,29.0,0.0,21059,21,Kentucky
2000-03-28,25,28,17.0,0.0,21059,21,Kentucky
2000-03-29,31,31,10.0,0.0,21059,21,Kentucky
2000-03-30,24,31,31.0,0.0,21059,21,Kentucky
2000-03-31,33,27,39.0,1.0,21059,21,Kentucky
2000-04-01,33,43,11.0,1.0,21059,21,Kentucky
2000-04-02,12,26,6.0,0.0,21059,21,Kentucky
2000-04-03,39,17,62.0,0.0,21059,21,Kentucky
2000-04-04,21,33,14.0,0.0,21059,21,Kentucky
2000-04-05,21,40,9.0,0.0,21059,21,Kentucky
2000-04-06,46,37,41.0,0.0,21059,21,Kentucky
2000-04-07,22,34,13.0,0.0,21059,21,Kentucky
2000-04-08,15,36,10.0,0.0,21059,21,Kentucky
2000-04-09,17,42,11.0,0.0,21059,21,Kentucky
2000-04-10,21,42,3.0,0.0,21059,21,Kentucky
2000-04-11,22,31,14.0,0.0,21059,21,Kentucky
2000-04-12,15,39,11.0,0.0,21059,21,Kentucky
2000-04-13,10,33,10.0,0.0,21059,21,Kentucky
2000-04-14,24,26,9.0,0.0,21059,21,Kentucky
2000-04-15,18,31,3.0,0.0,21059,21,Kentucky
2000-04-16,16,36,7.0,0.0,21059,21,Kentucky
2000-04-17,12,16,57.0,0.0,21059,21,Kentucky
2000-04-18,24,20,31.0,0.0,21059,21,Kentucky
2000-04-19,19,46,6.0,0.0,21059,21,Kentucky
2000-04-20,16,38,13.0,0.0,21059,21,Kentucky
2000-04-21,19,22,17.0,0.0,21059,21,Kentucky
2000-04-22,32,43,66.0,1.0,21059,21,Kentucky
2000-04-23,28,49,21.0,1.0,21059,21,Kentucky
2000-04-24,42,28,60.0,0.0,21059,21,Kentucky
2000-04-25,16,44,16.0,0.0,21059,21,Kentucky
2000-04-26,35,47,31.0,1.0,21059,21,Kentucky
2000-04-27,40,47,6.0,0.0,21059,21,Kentucky
2000-04-28,45,54,4.0,2.0,21059,21,Kentucky
2000-04-29,41,54,17.0,2.0,21059,21,Kentucky
2000-04-30,27,84,19.0,0.0,21059,21,Kentucky
2000-05-01,24,77,31.0,0.0,21059,21,Kentucky
2000-05-02,25,46,9.0,0.0,21059,21,Kentucky
2000-05-03,19,31,19.0,0.0,21059,21,Kentucky
2000-05-04,15,36,19.0,0.0,21059,21,Kentucky
2000-05-05,9,45,6.0,0.0,21059,21,Kentucky
2000-05-06,9,39,14.0,0.0,21059,21,Kentucky
2000-05-07,9,38,16.0,0.0,21059,21,Kentucky
2000-05-08,10,33,3.0,0.0,21059,21,Kentucky
2000-05-09,11,34,6.0,0.0,21059,21,Kentucky
2000-05-10,21,42,56.0,0.0,21059,21,Kentucky
2000-05-11,17,40,11.0,0.0,21059,21,Kentucky
2000-05-12,14,31,6.0,0.0,21059,21,Kentucky
2000-05-13,11,40,24.0,0.0,21059,21,Kentucky
2000-05-14,15,45,11.0,0.0,21059,21,Kentucky
2000-05-15,26,54,9.0,0.0,21059,21,Kentucky
2000-05-16,22,64,11.0,0.0,21059,21,Kentucky
2000-05-18,12,44,3.0,0.0,21059,21,Kentucky
2000-05-19,29,28,108.0,0.0,21059,21,Kentucky
2000-05-20,20,32,31.0,0.0,21059,21,Kentucky
