Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2010-10-01,29,41,1.0,5.0,13089,13,Georgia
2010-10-02,43,45,11.0,6.0,13089,13,Georgia
2010-10-03,25,31,16.0,6.0,13089,13,Georgia
2010-10-04,18,23,9.0,2.0,13089,13,Georgia
2010-10-05,37,31,0.0,3.0,13089,13,Georgia
2010-10-06,48,34,1.0,6.0,13089,13,Georgia
2010-10-07,49,42,14.0,6.0,13089,13,Georgia
2010-10-08,42,58,1.0,7.0,13089,13,Georgia
2010-10-09,54,58,9.0,11.0,13089,13,Georgia
2010-10-10,48,58,1.0,13.0,13089,13,Georgia
2010-10-11,47,51,13.0,11.0,13089,13,Georgia
2010-10-12,40,46,1.0,5.0,13089,13,Georgia
2010-10-13,45,41,3.0,7.0,13089,13,Georgia
2010-10-14,38,33,0.0,6.0,13089,13,Georgia
2010-10-15,41,40,7.0,5.0,13089,13,Georgia
2010-10-16,44,40,14.0,7.0,13089,13,Georgia
2010-10-17,48,46,14.0,11.0,13089,13,Georgia
2010-10-18,42,49,10.0,11.0,13089,13,Georgia
2010-10-19,63,71,9.0,8.0,13089,13,Georgia
2010-10-20,44,36,13.0,8.0,13089,13,Georgia
2010-10-21,51,43,4.0,6.0,13089,13,Georgia
2010-10-22,46,34,1.0,8.0,13089,13,Georgia
2010-10-23,34,45,3.0,13.0,13089,13,Georgia
2010-10-24,25,38,0.0,6.0,13089,13,Georgia
2010-10-25,11,20,0.0,2.0,13089,13,Georgia
2010-10-26,7,16,0.0,2.0,13089,13,Georgia
2010-10-27,17,11,0.0,2.0,13089,13,Georgia
2010-10-28,32,20,14.0,5.0,13089,13,Georgia
2010-10-29,36,14,30.0,5.0,13089,13,Georgia
2010-10-30,32,37,0.0,8.0,13089,13,Georgia
2010-10-31,37,38,10.0,14.0,13089,13,Georgia
2010-11-01,30,40,1.0,9.0,13089,13,Georgia
2010-11-02,9,25,0.0,3.0,13089,13,Georgia
2010-11-03,17,13,0.0,2.0,13089,13,Georgia
2010-11-04,15,19,3.0,3.0,13089,13,Georgia
2010-11-05,21,17,3.0,3.0,13089,13,Georgia
2010-11-06,22,23,0.0,3.0,13089,13,Georgia
2010-11-07,34,22,6.0,7.0,13089,13,Georgia
2010-11-08,40,24,4.0,7.0,13089,13,Georgia
2010-11-09,42,25,3.0,7.0,13089,13,Georgia
2010-11-10,48,35,1.0,10.0,13089,13,Georgia
2010-11-11,53,38,1.0,15.0,13089,13,Georgia
2010-11-12,42,34,3.0,14.0,13089,13,Georgia
2010-11-13,36,33,6.0,15.0,13089,13,Georgia
2010-11-14,28,35,3.0,14.0,13089,13,Georgia
2010-11-15,21,18,0.0,5.0,13089,13,Georgia
2010-11-16,12,25,1.0,2.0,13089,13,Georgia
2010-11-17,32,24,6.0,6.0,13089,13,Georgia
2010-11-18,40,17,6.0,10.0,13089,13,Georgia
2010-11-19,35,27,1.0,11.0,13089,13,Georgia
2010-11-20,35,31,1.0,14.0,13089,13,Georgia
2010-11-21,27,29,1.0,14.0,13089,13,Georgia
2010-11-22,26,29,1.0,8.0,13089,13,Georgia
2010-11-23,18,21,0.0,8.0,13089,13,Georgia
2010-11-24,12,14,1.0,3.0,13089,13,Georgia
2010-11-25,7,26,0.0,2.0,13089,13,Georgia
2010-11-26,13,24,3.0,2.0,13089,13,Georgia
2010-11-27,27,25,1.0,6.0,13089,13,Georgia
2010-11-28,24,25,1.0,7.0,13089,13,Georgia
2010-11-29,12,21,1.0,2.0,13089,13,Georgia
2010-11-30,23,19,0.0,3.0,13089,13,Georgia
2010-12-01,36,23,0.0,5.0,13089,13,Georgia
2010-12-02,36,19,6.0,6.0,13089,13,Georgia
2010-12-03,38,26,3.0,13.0,13089,13,Georgia
2010-12-04,24,27,3.0,13.0,13089,13,Georgia
2010-12-05,8,25,3.0,2.0,13089,13,Georgia
2010-12-06,9,25,4.0,2.0,13089,13,Georgia
2010-12-07,31,21,11.0,3.0,13089,13,Georgia
2010-12-08,31,11,13.0,3.0,13089,13,Georgia
2010-12-09,41,24,3.0,7.0,13089,13,Georgia
2010-12-10,54,23,7.0,15.0,13089,13,Georgia
2010-12-11,39,25,11.0,14.0,13089,13,Georgia
2010-12-12,15,24,0.0,2.0,13089,13,Georgia
2010-12-13,10,24,4.0,2.0,13089,13,Georgia
2010-12-14,38,22,21.0,3.0,13089,13,Georgia
2010-12-15,32,10,16.0,3.0,13089,13,Georgia
2010-12-16,28,20,0.0,3.0,13089,13,Georgia
2010-12-17,27,14,11.0,6.0,13089,13,Georgia
2010-12-18,19,2,0.0,6.0,13089,13,Georgia
2010-12-19,32,19,0.0,6.0,13089,13,Georgia
2010-12-20,37,19,9.0,6.0,13089,13,Georgia
2010-12-21,31,9,1.0,10.0,13089,13,Georgia
2010-12-22,19,18,7.0,7.0,13089,13,Georgia
2010-12-23,15,19,3.0,3.0,13089,13,Georgia
2010-12-24,34,19,1.0,9.0,13089,13,Georgia
2010-12-25,25,16,1.0,17.0,13089,13,Georgia
2010-12-26,8,24,13.0,3.0,13089,13,Georgia
2010-12-27,18,25,6.0,2.0,13089,13,Georgia
2010-12-28,43,25,34.0,5.0,13089,13,Georgia
2010-12-29,42,18,7.0,7.0,13089,13,Georgia
2010-12-30,25,25,13.0,10.0,13089,13,Georgia
2010-12-31,9,32,6.0,2.0,13089,13,Georgia
2011-01-01,5,23,0.0,2.0,13089,13,Georgia
2011-01-02,9,25,10.0,2.0,13089,13,Georgia
2011-01-03,38,21,10.0,7.0,13089,13,Georgia
2011-01-04,45,24,7.0,14.0,13089,13,Georgia
2011-01-05,41,9,3.0,13.0,13089,13,Georgia
2011-01-06,36,25,4.0,3.0,13089,13,Georgia
2011-01-07,32,27,11.0,3.0,13089,13,Georgia
2011-01-08,13,28,1.0,2.0,13089,13,Georgia
2011-01-09,14,25,0.0,2.0,13089,13,Georgia
2011-01-10,7,25,0.0,2.0,13089,13,Georgia
2011-01-11,12,25,3.0,3.0,13089,13,Georgia
2011-01-12,12,24,14.0,2.0,13089,13,Georgia
2011-01-13,25,22,14.0,2.0,13089,13,Georgia
2011-01-14,47,19,13.0,7.0,13089,13,Georgia
2011-01-15,54,27,11.0,13.0,13089,13,Georgia
2011-01-16,42,26,26.0,9.0,13089,13,Georgia
2011-01-17,34,17,1.0,13.0,13089,13,Georgia
2011-01-18,19,7,0.0,5.0,13089,13,Georgia
2011-01-19,21,11,19.0,5.0,13089,13,Georgia
2011-01-20,45,8,6.0,6.0,13089,13,Georgia
2011-01-21,18,25,4.0,3.0,13089,13,Georgia
2011-01-22,32,26,23.0,3.0,13089,13,Georgia
2011-01-23,40,23,19.0,5.0,13089,13,Georgia
2011-01-24,48,31,7.0,8.0,13089,13,Georgia
2011-01-25,23,18,3.0,6.0,13089,13,Georgia
2011-01-26,25,24,3.0,3.0,13089,13,Georgia
2011-01-27,42,25,24.0,6.0,13089,13,Georgia
2011-01-28,38,27,3.0,9.0,13089,13,Georgia
2011-01-29,52,31,10.0,9.0,13089,13,Georgia
2011-01-30,35,42,9.0,10.0,13089,13,Georgia
2011-01-31,36,12,0.0,7.0,13089,13,Georgia
2011-02-01,11,11,0.0,3.0,13089,13,Georgia
2011-02-02,20,19,17.0,3.0,13089,13,Georgia
2011-02-03,29,17,14.0,6.0,13089,13,Georgia
2011-02-04,21,14,0.0,5.0,13089,13,Georgia
2011-02-05,16,21,1.0,3.0,13089,13,Georgia
2011-02-06,36,31,21.0,7.0,13089,13,Georgia
2011-02-07,35,21,3.0,15.0,13089,13,Georgia
2011-02-08,21,25,9.0,2.0,13089,13,Georgia
2011-02-09,34,29,3.0,3.0,13089,13,Georgia
2011-02-10,35,23,4.0,3.0,13089,13,Georgia
2011-02-11,36,30,6.0,6.0,13089,13,Georgia
2011-02-12,42,35,21.0,3.0,13089,13,Georgia
2011-02-13,42,39,9.0,8.0,13089,13,Georgia
2011-02-14,47,42,4.0,8.0,13089,13,Georgia
2011-02-15,47,41,3.0,6.0,13089,13,Georgia
2011-02-16,42,38,1.0,9.0,13089,13,Georgia
2011-02-17,49,54,1.0,8.0,13089,13,Georgia
2011-02-18,46,31,1.0,11.0,13089,13,Georgia
2011-02-19,38,33,6.0,8.0,13089,13,Georgia
2011-02-20,34,36,4.0,6.0,13089,13,Georgia
2011-02-21,32,26,1.0,7.0,13089,13,Georgia
2011-02-22,33,37,11.0,2.0,13089,13,Georgia
2011-02-23,41,37,0.0,5.0,13089,13,Georgia
2011-02-24,14,39,0.0,5.0,13089,13,Georgia
2011-02-25,21,30,9.0,3.0,13089,13,Georgia
2011-02-26,39,39,3.0,6.0,13089,13,Georgia
2011-02-27,30,22,9.0,11.0,13089,13,Georgia
2011-02-28,30,25,0.0,2.0,13089,13,Georgia
2011-03-01,29,33,0.0,3.0,13089,13,Georgia
2011-03-02,44,34,1.0,7.0,13089,13,Georgia
2011-03-03,32,47,4.0,11.0,13089,13,Georgia
2011-03-04,9,36,1.0,3.0,13089,13,Georgia
2011-03-05,8,25,0.0,3.0,13089,13,Georgia
2011-03-06,7,25,7.0,3.0,13089,13,Georgia
2011-03-07,20,30,0.0,3.0,13089,13,Georgia
2011-03-08,25,36,1.0,3.0,13089,13,Georgia
2011-03-09,17,27,3.0,3.0,13089,13,Georgia
2011-03-10,8,26,0.0,3.0,13089,13,Georgia
2011-03-11,42,36,10.0,3.0,13089,13,Georgia
2011-03-12,52,42,11.0,8.0,13089,13,Georgia
2011-03-13,42,44,3.0,8.0,13089,13,Georgia
2011-03-14,40,42,7.0,9.0,13089,13,Georgia
2011-03-15,15,24,1.0,5.0,13089,13,Georgia
2011-03-16,34,25,13.0,5.0,13089,13,Georgia
2011-03-17,50,40,4.0,8.0,13089,13,Georgia
2011-03-18,51,43,3.0,11.0,13089,13,Georgia
2011-03-19,37,47,4.0,7.0,13089,13,Georgia
2011-03-20,10,31,0.0,3.0,13089,13,Georgia
2011-03-21,54,42,10.0,3.0,13089,13,Georgia
2011-03-22,53,44,3.0,7.0,13089,13,Georgia
2011-03-23,44,35,11.0,3.0,13089,13,Georgia
2011-03-24,17,31,9.0,2.0,13089,13,Georgia
2011-03-25,44,34,4.0,5.0,13089,13,Georgia
2011-03-26,41,19,1.0,9.0,13089,13,Georgia
2011-03-27,11,12,0.0,5.0,13089,13,Georgia
2011-03-28,16,22,0.0,3.0,13089,13,Georgia
2011-03-29,6,25,0.0,3.0,13089,13,Georgia
2011-03-30,19,13,0.0,5.0,13089,13,Georgia
2011-03-31,18,25,16.0,5.0,13089,13,Georgia
2011-04-01,33,33,1.0,5.0,13089,13,Georgia
2011-04-02,39,42,0.0,6.0,13089,13,Georgia
2011-04-03,33,43,1.0,7.0,13089,13,Georgia
2011-04-04,30,32,1.0,3.0,13089,13,Georgia
2011-04-05,42,36,1.0,3.0,13089,13,Georgia
2011-04-06,40,45,20.0,7.0,13089,13,Georgia
2011-04-07,37,47,6.0,8.0,13089,13,Georgia
2011-04-08,33,19,3.0,7.0,13089,13,Georgia
2011-04-09,32,29,3.0,7.0,13089,13,Georgia
2011-04-10,24,26,10.0,9.0,13089,13,Georgia
2011-04-11,19,28,0.0,7.0,13089,13,Georgia
2011-04-12,38,37,6.0,2.0,13089,13,Georgia
2011-04-15,34,40,7.0,2.0,13089,13,Georgia
2011-04-16,9,36,4.0,2.0,13089,13,Georgia
2011-04-17,36,46,4.0,5.0,13089,13,Georgia
2011-04-18,27,47,1.0,9.0,13089,13,Georgia
2011-04-19,40,54,0.0,6.0,13089,13,Georgia
