Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2016-02-18,24,30,0.0,5.0,45079,45,South Carolina
2016-02-19,25,34,1.0,3.0,45079,45,South Carolina
2016-02-20,25,31,0.0,3.0,45079,45,South Carolina
2016-02-21,18,26,0.0,3.0,45079,45,South Carolina
2016-02-22,22,17,1.0,3.0,45079,45,South Carolina
2016-02-23,7,17,0.0,2.0,45079,45,South Carolina
2016-02-24,10,31,0.0,2.0,45079,45,South Carolina
2016-02-25,2,31,0.0,1.0,45079,45,South Carolina
2016-02-26,19,32,0.0,2.0,45079,45,South Carolina
2016-02-27,35,34,3.0,5.0,45079,45,South Carolina
2016-02-28,25,43,4.0,7.0,45079,45,South Carolina
2016-02-29,37,39,3.0,3.0,45079,45,South Carolina
2016-03-01,31,40,0.0,7.0,45079,45,South Carolina
2016-03-02,25,31,0.0,2.0,45079,45,South Carolina
2016-03-03,8,29,0.0,2.0,45079,45,South Carolina
2016-03-29,24,44,0.0,2.0,45079,45,South Carolina
2016-03-30,24,47,0.0,3.0,45079,45,South Carolina
2016-03-31,11,40,1.0,1.0,45079,45,South Carolina
2016-04-01,13,30,0.0,1.0,45079,45,South Carolina
2016-04-02,4,44,0.0,1.0,45079,45,South Carolina
2016-04-03,28,44,0.0,2.0,45079,45,South Carolina
2016-04-04,24,47,1.0,3.0,45079,45,South Carolina
2016-04-05,12,43,0.0,1.0,45079,45,South Carolina
2016-04-06,15,45,0.0,1.0,45079,45,South Carolina
2016-04-07,14,44,0.0,1.0,45079,45,South Carolina
2016-04-08,13,41,0.0,1.0,45079,45,South Carolina
2016-04-09,14,44,0.0,1.0,45079,45,South Carolina
2016-04-10,15,44,0.0,2.0,45079,45,South Carolina
2016-04-11,17,44,1.0,2.0,45079,45,South Carolina
