Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-03-31,57,2,34.0,24.0,26163,26,Michigan
2000-04-01,58,31,64.0,23.0,26163,26,Michigan
2000-04-02,52,31,17.0,11.0,26163,26,Michigan
2000-04-03,47,15,17.0,9.0,26163,26,Michigan
2000-04-04,30,23,1.0,8.0,26163,26,Michigan
2000-04-05,45,30,24.0,5.0,26163,26,Michigan
2000-04-06,49,29,24.0,6.0,26163,26,Michigan
2000-04-07,40,19,16.0,5.0,26163,26,Michigan
2000-04-08,34,29,4.0,0.0,26163,26,Michigan
2000-04-09,36,27,3.0,1.0,26163,26,Michigan
2000-04-10,39,29,9.0,1.0,26163,26,Michigan
2000-04-11,42,17,21.0,6.0,26163,26,Michigan
2000-04-12,47,32,4.0,9.0,26163,26,Michigan
2000-04-13,42,33,36.0,1.0,26163,26,Michigan
2000-04-14,50,21,102.0,36.0,26163,26,Michigan
2000-04-15,50,30,111.0,51.0,26163,26,Michigan
2000-04-16,16,22,14.0,43.0,26163,26,Michigan
2000-04-17,25,15,30.0,1.0,26163,26,Michigan
2000-04-18,40,10,55.0,6.0,26163,26,Michigan
2000-04-19,40,18,47.0,5.0,26163,26,Michigan
2000-04-20,30,12,9.0,2.0,26163,26,Michigan
2000-04-21,25,22,56.0,15.0,26163,26,Michigan
2000-04-22,35,31,39.0,1.0,26163,26,Michigan
2000-04-23,34,36,41.0,3.0,26163,26,Michigan
2000-04-24,31,36,17.0,1.0,26163,26,Michigan
2000-04-25,31,40,16.0,1.0,26163,26,Michigan
2000-04-26,43,34,17.0,3.0,26163,26,Michigan
2000-04-27,54,39,29.0,8.0,26163,26,Michigan
2000-04-28,61,43,14.0,7.0,26163,26,Michigan
2000-04-30,37,33,85.0,7.0,26163,26,Michigan
2000-05-01,48,19,19.0,11.0,26163,26,Michigan
2000-05-02,40,27,7.0,3.0,26163,26,Michigan
2000-05-03,42,37,110.0,9.0,26163,26,Michigan
2000-05-04,52,33,40.0,10.0,26163,26,Michigan
2000-05-05,64,42,6.0,8.0,26163,26,Michigan
