Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2007-03-31,26,10,7.0,5.0,9003,9,Connecticut
2007-04-01,27,39,7.0,6.0,9003,9,Connecticut
2007-04-02,15,31,1.0,5.0,9003,9,Connecticut
2007-04-03,21,33,1.0,6.0,9003,9,Connecticut
2007-04-04,10,31,3.0,5.0,9003,9,Connecticut
2007-04-05,21,25,1.0,5.0,9003,9,Connecticut
2007-04-06,19,25,3.0,5.0,9003,9,Connecticut
2007-04-07,24,31,6.0,6.0,9003,9,Connecticut
2007-04-08,10,21,3.0,5.0,9003,9,Connecticut
2007-04-09,29,32,3.0,5.0,9003,9,Connecticut
2007-04-10,27,34,3.0,6.0,9003,9,Connecticut
2007-04-11,45,36,11.0,8.0,9003,9,Connecticut
2007-04-12,11,35,1.0,5.0,9003,9,Connecticut
2007-04-13,35,32,3.0,7.0,9003,9,Connecticut
2007-04-14,19,38,3.0,5.0,9003,9,Connecticut
2007-04-15,20,44,3.0,6.0,9003,9,Connecticut
2007-04-16,9,42,0.0,5.0,9003,9,Connecticut
2007-04-17,5,36,0.0,5.0,9003,9,Connecticut
2007-04-18,11,34,0.0,5.0,9003,9,Connecticut
2007-04-19,26,45,1.0,6.0,9003,9,Connecticut
2007-04-20,29,46,6.0,6.0,9003,9,Connecticut
2007-04-21,33,48,7.0,6.0,9003,9,Connecticut
2007-04-22,31,50,7.0,8.0,9003,9,Connecticut
2007-04-23,62,77,6.0,7.0,9003,9,Connecticut
2007-04-24,47,45,3.0,6.0,9003,9,Connecticut
2007-04-25,25,31,4.0,5.0,9003,9,Connecticut
2007-04-26,17,39,1.0,2.0,9003,9,Connecticut
2007-04-27,21,30,0.0,3.0,9003,9,Connecticut
2007-04-28,22,31,1.0,3.0,9003,9,Connecticut
2007-04-29,18,25,0.0,3.0,9003,9,Connecticut
2007-04-30,25,42,3.0,3.0,9003,9,Connecticut
2007-05-01,19,36,3.0,2.0,9003,9,Connecticut
2007-05-02,22,38,3.0,2.0,9003,9,Connecticut
2007-05-03,31,40,4.0,2.0,9003,9,Connecticut
2007-05-04,30,38,6.0,3.0,9003,9,Connecticut
2007-05-05,26,40,9.0,5.0,9003,9,Connecticut
2007-05-06,10,36,1.0,1.0,9003,9,Connecticut
2007-05-07,21,36,4.0,2.0,9003,9,Connecticut
2007-05-08,24,36,4.0,2.0,9003,9,Connecticut
2007-05-09,21,40,6.0,3.0,9003,9,Connecticut
2007-05-10,14,31,3.0,2.0,9003,9,Connecticut
