Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-06,34,31,9.0,0.0,48141,48,Texas
2000-01-07,28,24,4.0,2.0,48141,48,Texas
2000-01-08,25,30,4.0,2.0,48141,48,Texas
2000-01-09,13,36,0.0,0.0,48141,48,Texas
2000-01-10,29,31,3.0,2.0,48141,48,Texas
2000-01-11,28,28,13.0,5.0,48141,48,Texas
2000-01-12,27,27,7.0,6.0,48141,48,Texas
2000-01-13,35,19,17.0,10.0,48141,48,Texas
2000-01-14,28,22,3.0,3.0,48141,48,Texas
2000-01-15,39,25,9.0,13.0,48141,48,Texas
2000-01-16,46,24,14.0,23.0,48141,48,Texas
2000-01-24,28,28,16.0,24.0,48141,48,Texas
2000-01-25,29,32,11.0,15.0,48141,48,Texas
2000-01-26,46,33,10.0,15.0,48141,48,Texas
2000-01-27,21,31,1.0,5.0,48141,48,Texas
2000-01-28,43,29,7.0,9.0,48141,48,Texas
2000-01-29,29,32,4.0,7.0,48141,48,Texas
2000-01-30,29,33,3.0,8.0,48141,48,Texas
2000-01-31,24,31,3.0,5.0,48141,48,Texas
2000-02-01,28,25,1.0,6.0,48141,48,Texas
2000-02-02,38,28,6.0,9.0,48141,48,Texas
2000-02-03,35,36,11.0,14.0,48141,48,Texas
2000-02-04,34,27,6.0,18.0,48141,48,Texas
2000-02-05,51,33,11.0,22.0,48141,48,Texas
2000-02-06,71,32,11.0,26.0,48141,48,Texas
2000-02-07,39,33,11.0,17.0,48141,48,Texas
2000-02-08,51,25,24.0,39.0,48141,48,Texas
2000-02-09,41,22,11.0,42.0,48141,48,Texas
2000-02-10,30,28,9.0,5.0,48141,48,Texas
2000-02-11,29,35,6.0,6.0,48141,48,Texas
2000-02-12,24,36,10.0,8.0,48141,48,Texas
2000-02-13,14,37,1.0,2.0,48141,48,Texas
2000-02-14,19,24,3.0,5.0,48141,48,Texas
2000-02-15,20,28,3.0,5.0,48141,48,Texas
2000-02-16,29,30,17.0,13.0,48141,48,Texas
2000-02-17,25,31,4.0,10.0,48141,48,Texas
2000-02-18,37,34,14.0,18.0,48141,48,Texas
2000-02-19,41,37,10.0,24.0,48141,48,Texas
2000-02-20,32,36,4.0,16.0,48141,48,Texas
2000-02-24,51,31,1.0,25.0,48141,48,Texas
2000-02-25,15,37,0.0,2.0,48141,48,Texas
2000-02-26,41,40,10.0,16.0,48141,48,Texas
2000-03-02,41,42,10.0,9.0,48141,48,Texas
2000-03-03,39,35,10.0,11.0,48141,48,Texas
2000-03-04,34,42,4.0,6.0,48141,48,Texas
2000-03-05,25,40,1.0,6.0,48141,48,Texas
2000-03-06,40,35,7.0,11.0,48141,48,Texas
2000-03-07,8,38,0.0,9.0,48141,48,Texas
2000-03-08,35,25,7.0,8.0,48141,48,Texas
2000-03-09,31,26,3.0,8.0,48141,48,Texas
2000-03-10,25,38,3.0,5.0,48141,48,Texas
2000-03-11,50,42,13.0,23.0,48141,48,Texas
2000-03-12,43,50,13.0,25.0,48141,48,Texas
2000-03-13,43,37,10.0,22.0,48141,48,Texas
2000-03-14,39,44,13.0,11.0,48141,48,Texas
2000-03-15,39,46,9.0,13.0,48141,48,Texas
2000-03-16,14,41,1.0,3.0,48141,48,Texas
2000-03-17,23,40,6.0,7.0,48141,48,Texas
2000-03-18,24,45,4.0,3.0,48141,48,Texas
2000-03-19,45,47,9.0,18.0,48141,48,Texas
2000-03-20,35,38,6.0,19.0,48141,48,Texas
2000-03-21,11,42,1.0,11.0,48141,48,Texas
2000-03-22,20,34,1.0,11.0,48141,48,Texas
2000-03-27,36,46,4.0,6.0,48141,48,Texas
2000-03-28,21,30,3.0,6.0,48141,48,Texas
2000-03-29,11,36,7.0,6.0,48141,48,Texas
2000-04-03,19,41,6.0,7.0,48141,48,Texas
2000-04-04,85,80,16.0,33.0,48141,48,Texas
2000-04-05,54,40,10.0,36.0,48141,48,Texas
2000-04-06,24,45,6.0,3.0,48141,48,Texas
2000-04-07,29,44,9.0,6.0,48141,48,Texas
