Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2005-03-31,10,30,31.0,3.0,42049,42,Pennsylvania
2005-04-01,30,38,50.0,3.0,42049,42,Pennsylvania
2005-04-02,28,36,66.0,3.0,42049,42,Pennsylvania
2005-04-03,8,37,27.0,3.0,42049,42,Pennsylvania
2005-04-04,54,35,33.0,8.0,42049,42,Pennsylvania
2005-04-05,53,44,30.0,10.0,42049,42,Pennsylvania
2005-04-06,51,42,29.0,9.0,42049,42,Pennsylvania
2005-04-07,50,26,51.0,10.0,42049,42,Pennsylvania
2005-04-08,43,42,74.0,6.0,42049,42,Pennsylvania
2005-04-09,40,42,20.0,8.0,42049,42,Pennsylvania
2005-04-10,46,47,23.0,6.0,42049,42,Pennsylvania
2005-04-11,36,39,109.0,5.0,42049,42,Pennsylvania
2005-04-12,31,38,77.0,5.0,42049,42,Pennsylvania
2005-04-13,41,36,49.0,6.0,42049,42,Pennsylvania
2005-04-14,42,42,55.0,10.0,42049,42,Pennsylvania
2005-04-15,39,41,61.0,6.0,42049,42,Pennsylvania
2005-04-16,49,45,47.0,9.0,42049,42,Pennsylvania
2005-04-17,43,43,40.0,10.0,42049,42,Pennsylvania
2005-04-18,51,71,23.0,8.0,42049,42,Pennsylvania
2005-04-19,42,97,24.0,8.0,42049,42,Pennsylvania
2005-04-20,24,44,49.0,5.0,42049,42,Pennsylvania
2005-04-21,34,37,54.0,5.0,42049,42,Pennsylvania
2005-04-22,43,30,102.0,5.0,42049,42,Pennsylvania
2005-04-23,11,25,37.0,5.0,42049,42,Pennsylvania
2005-04-24,11,27,13.0,3.0,42049,42,Pennsylvania
2005-04-25,21,36,13.0,3.0,42049,42,Pennsylvania
2005-04-26,24,47,30.0,3.0,42049,42,Pennsylvania
2005-04-27,17,29,16.0,3.0,42049,42,Pennsylvania
2005-04-28,37,32,14.0,5.0,42049,42,Pennsylvania
2005-04-29,40,27,19.0,6.0,42049,42,Pennsylvania
2005-04-30,23,31,19.0,5.0,42049,42,Pennsylvania
2005-05-01,11,42,14.0,3.0,42049,42,Pennsylvania
2005-05-02,26,25,17.0,3.0,42049,42,Pennsylvania
2005-05-03,33,27,17.0,5.0,42049,42,Pennsylvania
2005-05-04,41,35,21.0,6.0,42049,42,Pennsylvania
2005-05-05,43,47,62.0,6.0,42049,42,Pennsylvania
2005-05-06,60,67,50.0,6.0,42049,42,Pennsylvania
2005-05-07,51,77,24.0,8.0,42049,42,Pennsylvania
2005-05-08,57,100,29.0,9.0,42049,42,Pennsylvania
2005-05-09,61,77,31.0,9.0,42049,42,Pennsylvania
2005-05-10,34,58,59.0,8.0,42049,42,Pennsylvania
2005-05-11,33,42,67.0,5.0,42049,42,Pennsylvania
2005-05-12,23,36,89.0,3.0,42049,42,Pennsylvania
2005-05-13,34,40,39.0,3.0,42049,42,Pennsylvania
2005-05-14,19,40,26.0,3.0,42049,42,Pennsylvania
2005-05-16,32,34,26.0,3.0,42049,42,Pennsylvania
2005-05-17,42,43,14.0,5.0,42049,42,Pennsylvania
2005-05-18,41,42,75.0,6.0,42049,42,Pennsylvania
2005-05-19,38,46,44.0,6.0,42049,42,Pennsylvania
2005-05-20,41,43,39.0,5.0,42049,42,Pennsylvania
2005-05-21,40,43,21.0,8.0,42049,42,Pennsylvania
2005-05-22,33,33,52.0,6.0,42049,42,Pennsylvania
2005-05-23,18,22,72.0,3.0,42049,42,Pennsylvania
2005-05-24,15,27,44.0,2.0,42049,42,Pennsylvania
2005-05-25,33,43,21.0,5.0,42049,42,Pennsylvania
2005-05-26,42,49,21.0,6.0,42049,42,Pennsylvania
2005-05-27,17,46,26.0,5.0,42049,42,Pennsylvania
2005-05-28,19,45,21.0,3.0,42049,42,Pennsylvania
2005-05-29,19,43,19.0,3.0,42049,42,Pennsylvania
2005-05-30,18,58,21.0,5.0,42049,42,Pennsylvania
2005-05-31,34,34,31.0,5.0,42049,42,Pennsylvania
2005-06-01,42,46,40.0,5.0,42049,42,Pennsylvania
2005-06-02,13,71,14.0,3.0,42049,42,Pennsylvania
2005-06-03,13,36,9.0,3.0,42049,42,Pennsylvania
2005-06-04,25,42,27.0,5.0,42049,42,Pennsylvania
2005-06-05,8,74,30.0,3.0,42049,42,Pennsylvania
2005-06-06,18,84,17.0,3.0,42049,42,Pennsylvania
2005-06-07,30,122,19.0,5.0,42049,42,Pennsylvania
2005-06-08,38,114,30.0,5.0,42049,42,Pennsylvania
2005-06-09,18,74,40.0,11.0,42049,42,Pennsylvania
2005-06-10,14,51,20.0,3.0,42049,42,Pennsylvania
2005-06-11,31,77,27.0,2.0,42049,42,Pennsylvania
2005-06-12,20,58,14.0,2.0,42049,42,Pennsylvania
2005-06-13,10,36,14.0,2.0,42049,42,Pennsylvania
2005-06-14,17,54,21.0,1.0,42049,42,Pennsylvania
2005-06-15,12,44,14.0,3.0,42049,42,Pennsylvania
2005-06-16,4,31,13.0,5.0,42049,42,Pennsylvania
2005-06-17,4,25,11.0,6.0,42049,42,Pennsylvania
2005-06-18,11,25,51.0,5.0,42049,42,Pennsylvania
2005-06-19,16,26,60.0,6.0,42049,42,Pennsylvania
2005-06-20,29,41,14.0,6.0,42049,42,Pennsylvania
2005-06-21,25,127,21.0,7.0,42049,42,Pennsylvania
2005-06-22,44,36,30.0,7.0,42049,42,Pennsylvania
2005-06-23,41,80,23.0,8.0,42049,42,Pennsylvania
2005-06-24,15,137,29.0,7.0,42049,42,Pennsylvania
2005-06-25,25,169,33.0,8.0,42049,42,Pennsylvania
2005-06-26,31,106,30.0,8.0,42049,42,Pennsylvania
2005-06-27,24,151,24.0,7.0,42049,42,Pennsylvania
