Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2008-01-04,27,19,3.0,6.0,6071,6,California
2008-01-05,18,24,1.0,3.0,6071,6,California
2008-01-06,12,31,1.0,3.0,6071,6,California
2008-01-07,30,18,1.0,9.0,6071,6,California
2008-01-08,35,7,4.0,11.0,6071,6,California
2008-01-09,30,11,3.0,11.0,6071,6,California
2008-01-10,40,10,4.0,14.0,6071,6,California
2008-01-11,43,8,4.0,15.0,6071,6,California
2008-01-12,34,32,6.0,16.0,6071,6,California
2008-01-13,3,37,1.0,7.0,6071,6,California
2008-01-14,35,36,3.0,9.0,6071,6,California
2008-01-15,40,16,4.0,13.0,6071,6,California
2008-01-16,40,38,4.0,10.0,6071,6,California
2008-01-17,1,40,1.0,2.0,6071,6,California
2008-01-18,29,38,3.0,3.0,6071,6,California
2008-01-19,40,25,4.0,9.0,6071,6,California
2008-01-20,25,31,3.0,10.0,6071,6,California
2008-01-21,30,25,1.0,6.0,6071,6,California
2008-01-22,30,26,3.0,7.0,6071,6,California
2008-01-23,23,25,3.0,9.0,6071,6,California
2008-01-24,32,22,1.0,5.0,6071,6,California
2008-01-25,30,25,1.0,9.0,6071,6,California
2008-01-26,23,30,3.0,10.0,6071,6,California
2008-01-27,3,38,1.0,2.0,6071,6,California
2008-01-28,17,24,1.0,3.0,6071,6,California
2008-01-29,28,23,3.0,7.0,6071,6,California
2008-01-30,23,34,3.0,5.0,6071,6,California
2008-01-31,39,20,3.0,9.0,6071,6,California
2008-02-01,25,26,3.0,13.0,6071,6,California
2008-02-02,17,23,0.0,6.0,6071,6,California
2008-02-03,9,30,0.0,6.0,6071,6,California
2008-02-04,20,35,3.0,9.0,6071,6,California
2008-02-05,30,36,1.0,8.0,6071,6,California
2008-02-06,33,16,4.0,14.0,6071,6,California
2008-02-07,50,16,4.0,14.0,6071,6,California
2008-02-08,35,26,4.0,15.0,6071,6,California
2008-02-09,36,31,3.0,10.0,6071,6,California
2008-02-10,43,36,3.0,13.0,6071,6,California
2008-02-11,52,36,3.0,13.0,6071,6,California
2008-02-12,52,36,3.0,9.0,6071,6,California
2008-02-13,41,34,3.0,11.0,6071,6,California
2008-02-14,4,37,0.0,3.0,6071,6,California
2008-02-15,29,39,1.0,6.0,6071,6,California
2008-02-16,23,33,3.0,7.0,6071,6,California
2008-02-17,35,37,3.0,9.0,6071,6,California
2008-02-18,47,19,3.0,13.0,6071,6,California
2008-02-19,29,20,3.0,7.0,6071,6,California
2008-02-20,16,24,0.0,5.0,6071,6,California
2008-02-21,25,33,1.0,6.0,6071,6,California
2008-02-22,13,31,0.0,6.0,6071,6,California
2008-02-23,23,34,1.0,6.0,6071,6,California
2008-02-24,16,29,3.0,7.0,6071,6,California
2008-02-25,20,34,3.0,7.0,6071,6,California
2008-02-26,28,40,3.0,5.0,6071,6,California
2008-02-27,46,26,6.0,10.0,6071,6,California
2008-02-28,41,24,4.0,9.0,6071,6,California
2008-02-29,30,19,4.0,11.0,6071,6,California
2008-03-01,26,31,1.0,6.0,6071,6,California
2008-03-02,8,43,1.0,5.0,6071,6,California
2008-03-03,40,42,3.0,7.0,6071,6,California
2008-03-04,41,30,6.0,10.0,6071,6,California
2008-03-05,40,47,6.0,10.0,6071,6,California
2008-03-06,49,42,3.0,7.0,6071,6,California
2008-03-07,54,31,4.0,8.0,6071,6,California
2008-03-08,31,48,4.0,9.0,6071,6,California
2008-03-09,38,48,1.0,5.0,6071,6,California
2008-03-10,49,40,4.0,9.0,6071,6,California
2008-03-11,69,39,4.0,9.0,6071,6,California
2008-03-12,54,42,4.0,10.0,6071,6,California
2008-03-13,48,38,6.0,13.0,6071,6,California
2008-03-14,46,34,3.0,6.0,6071,6,California
2008-03-15,25,42,3.0,6.0,6071,6,California
2008-03-16,15,40,3.0,3.0,6071,6,California
2008-03-17,31,41,3.0,5.0,6071,6,California
2008-03-18,35,36,6.0,10.0,6071,6,California
2008-03-19,42,33,7.0,11.0,6071,6,California
2008-03-20,42,39,6.0,11.0,6071,6,California
2008-03-21,47,37,4.0,13.0,6071,6,California
2008-03-22,32,45,3.0,10.0,6071,6,California
2008-03-23,36,48,1.0,5.0,6071,6,California
2008-03-24,52,51,4.0,8.0,6071,6,California
2008-03-25,63,45,6.0,11.0,6071,6,California
2008-03-26,44,43,4.0,10.0,6071,6,California
2008-03-27,32,38,4.0,8.0,6071,6,California
2008-03-28,48,45,6.0,10.0,6071,6,California
2008-03-29,31,47,1.0,6.0,6071,6,California
2008-03-30,8,42,1.0,3.0,6071,6,California
2008-03-31,28,36,3.0,5.0,6071,6,California
2008-04-01,29,39,4.0,9.0,6071,6,California
2008-04-02,22,36,3.0,6.0,6071,6,California
2008-04-03,14,5,1.0,3.0,6071,6,California
2008-04-04,18,29,3.0,6.0,6071,6,California
2008-04-05,9,39,1.0,6.0,6071,6,California
2008-04-06,19,45,1.0,3.0,6071,6,California
2008-04-07,25,43,3.0,5.0,6071,6,California
2008-04-08,30,44,1.0,5.0,6071,6,California
2008-04-09,23,43,1.0,3.0,6071,6,California
2008-04-10,45,45,3.0,8.0,6071,6,California
2008-04-11,31,58,1.0,6.0,6071,6,California
2008-04-12,1,46,1.0,2.0,6071,6,California
2008-04-13,26,51,3.0,5.0,6071,6,California
2008-04-14,41,54,3.0,7.0,6071,6,California
2008-04-15,28,43,3.0,5.0,6071,6,California
2008-04-16,46,54,3.0,6.0,6071,6,California
2008-04-17,46,77,3.0,7.0,6071,6,California
2008-04-18,44,90,3.0,8.0,6071,6,California
2008-04-19,35,74,1.0,6.0,6071,6,California
2008-04-20,9,93,1.0,3.0,6071,6,California
2008-04-21,40,61,3.0,6.0,6071,6,California
2008-04-22,38,90,4.0,8.0,6071,6,California
2008-04-23,35,51,4.0,6.0,6071,6,California
2008-04-24,53,49,3.0,7.0,6071,6,California
2008-04-25,43,71,4.0,9.0,6071,6,California
2008-04-26,37,71,3.0,7.0,6071,6,California
2008-04-27,42,77,1.0,6.0,6071,6,California
2008-04-28,50,106,3.0,7.0,6071,6,California
2008-04-29,46,90,4.0,10.0,6071,6,California
2008-04-30,13,45,1.0,3.0,6071,6,California
2008-05-01,63,54,3.0,7.0,6071,6,California
2008-05-02,53,87,4.0,9.0,6071,6,California
2008-05-03,50,127,3.0,8.0,6071,6,California
2008-05-04,23,97,1.0,5.0,6071,6,California
2008-05-05,21,41,1.0,3.0,6071,6,California
2008-05-06,33,41,3.0,3.0,6071,6,California
2008-05-07,73,33,1.0,3.0,6071,6,California
2008-05-08,43,44,3.0,5.0,6071,6,California
2008-05-09,45,40,1.0,6.0,6071,6,California
2008-05-10,36,90,1.0,6.0,6071,6,California
2008-05-11,42,106,3.0,6.0,6071,6,California
2008-05-12,24,37,1.0,3.0,6071,6,California
2008-05-13,48,67,3.0,6.0,6071,6,California
2008-05-14,57,74,3.0,7.0,6071,6,California
2008-05-15,58,34,4.0,8.0,6071,6,California
2008-05-16,56,71,3.0,7.0,6071,6,California
2008-05-17,48,150,4.0,8.0,6071,6,California
2008-05-18,47,159,3.0,6.0,6071,6,California
2008-05-19,63,135,4.0,9.0,6071,6,California
2008-05-20,54,43,4.0,7.0,6071,6,California
2008-05-21,26,44,3.0,3.0,6071,6,California
2008-05-22,33,34,1.0,3.0,6071,6,California
2008-05-23,28,27,1.0,3.0,6071,6,California
2008-05-24,11,43,1.0,3.0,6071,6,California
2008-05-25,22,47,1.0,5.0,6071,6,California
2008-05-26,15,39,3.0,3.0,6071,6,California
2008-05-27,22,38,4.0,6.0,6071,6,California
2008-05-28,33,42,4.0,6.0,6071,6,California
2008-05-29,32,41,4.0,7.0,6071,6,California
2008-05-30,38,47,4.0,7.0,6071,6,California
2008-05-31,35,77,4.0,6.0,6071,6,California
2008-06-01,22,116,4.0,7.0,6071,6,California
2008-06-02,31,61,6.0,6.0,6071,6,California
2008-06-03,32,64,6.0,5.0,6071,6,California
2008-06-04,17,34,3.0,3.0,6071,6,California
2008-06-05,34,61,4.0,5.0,6071,6,California
2008-06-06,41,122,6.0,9.0,6071,6,California
2008-06-07,28,124,6.0,6.0,6071,6,California
2008-06-08,19,142,4.0,5.0,6071,6,California
2008-06-09,41,100,6.0,8.0,6071,6,California
2008-06-10,23,111,4.0,7.0,6071,6,California
2008-06-11,8,71,3.0,5.0,6071,6,California
2008-06-12,21,87,3.0,5.0,6071,6,California
