Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-03-31,36,1,14.0,5.0,42095,42,Pennsylvania
2000-04-01,39,47,26.0,6.0,42095,42,Pennsylvania
2000-04-02,19,77,26.0,2.0,42095,42,Pennsylvania
2000-04-03,36,31,20.0,26.0,42095,42,Pennsylvania
2000-04-04,20,34,11.0,26.0,42095,42,Pennsylvania
2000-04-05,30,36,10.0,1.0,42095,42,Pennsylvania
2000-04-06,31,64,26.0,2.0,42095,42,Pennsylvania
2000-04-07,28,50,11.0,3.0,42095,42,Pennsylvania
2000-04-08,23,87,10.0,2.0,42095,42,Pennsylvania
2000-04-09,8,42,7.0,0.0,42095,42,Pennsylvania
2000-04-10,28,43,13.0,1.0,42095,42,Pennsylvania
2000-04-11,27,25,19.0,1.0,42095,42,Pennsylvania
2000-04-12,28,42,9.0,1.0,42095,42,Pennsylvania
2000-04-13,27,45,20.0,6.0,42095,42,Pennsylvania
2000-04-14,29,37,29.0,2.0,42095,42,Pennsylvania
2000-04-15,31,18,17.0,5.0,42095,42,Pennsylvania
2000-04-16,25,41,19.0,5.0,42095,42,Pennsylvania
2000-04-17,22,36,33.0,2.0,42095,42,Pennsylvania
2000-04-18,14,36,29.0,0.0,42095,42,Pennsylvania
2000-04-19,32,42,34.0,2.0,42095,42,Pennsylvania
2000-04-20,32,41,17.0,3.0,42095,42,Pennsylvania
2000-04-21,16,35,9.0,0.0,42095,42,Pennsylvania
2000-04-22,15,31,16.0,1.0,42095,42,Pennsylvania
2000-04-23,13,32,6.0,0.0,42095,42,Pennsylvania
2000-04-24,16,51,10.0,0.0,42095,42,Pennsylvania
2000-04-25,18,36,30.0,0.0,42095,42,Pennsylvania
2000-04-26,26,29,21.0,2.0,42095,42,Pennsylvania
2000-04-27,19,12,11.0,0.0,42095,42,Pennsylvania
2000-05-01,32,54,16.0,3.0,42095,42,Pennsylvania
2000-05-02,25,44,7.0,0.0,42095,42,Pennsylvania
2000-05-03,25,51,11.0,2.0,42095,42,Pennsylvania
2000-05-04,28,87,14.0,1.0,42095,42,Pennsylvania
2000-05-05,36,54,23.0,2.0,42095,42,Pennsylvania
2000-05-06,26,104,19.0,3.0,42095,42,Pennsylvania
2000-05-07,25,109,19.0,6.0,42095,42,Pennsylvania
2000-05-08,35,132,20.0,3.0,42095,42,Pennsylvania
2000-05-09,41,116,17.0,2.0,42095,42,Pennsylvania
2000-05-10,32,14,13.0,2.0,42095,42,Pennsylvania
2000-05-11,38,42,10.0,2.0,42095,42,Pennsylvania
2000-05-12,34,41,11.0,2.0,42095,42,Pennsylvania
2000-05-15,40,47,11.0,0.0,42095,42,Pennsylvania
2000-05-16,40,51,21.0,2.0,42095,42,Pennsylvania
2000-05-17,38,97,16.0,0.0,42095,42,Pennsylvania
2000-05-18,20,84,6.0,0.0,42095,42,Pennsylvania
2000-05-19,20,18,30.0,0.0,42095,42,Pennsylvania
2000-05-20,19,22,1.0,0.0,42095,42,Pennsylvania
2000-05-21,14,28,6.0,0.0,42095,42,Pennsylvania
2000-05-22,25,26,3.0,3.0,42095,42,Pennsylvania
2000-05-23,22,31,10.0,5.0,42095,42,Pennsylvania
2000-05-24,28,48,6.0,5.0,42095,42,Pennsylvania
2000-05-25,29,51,6.0,5.0,42095,42,Pennsylvania
2000-05-26,27,45,10.0,5.0,42095,42,Pennsylvania
2000-05-27,25,35,9.0,6.0,42095,42,Pennsylvania
2000-05-28,21,42,13.0,6.0,42095,42,Pennsylvania
2000-05-29,18,31,1.0,2.0,42095,42,Pennsylvania
2000-05-30,18,30,10.0,2.0,42095,42,Pennsylvania
2000-05-31,39,37,4.0,3.0,42095,42,Pennsylvania
2000-06-01,41,101,23.0,7.0,42095,42,Pennsylvania
2000-06-02,30,150,16.0,7.0,42095,42,Pennsylvania
2000-06-03,25,36,4.0,3.0,42095,42,Pennsylvania
2000-06-04,19,74,17.0,5.0,42095,42,Pennsylvania
2000-06-05,23,31,9.0,2.0,42095,42,Pennsylvania
2000-06-06,18,22,10.0,2.0,42095,42,Pennsylvania
2000-06-07,33,40,4.0,5.0,42095,42,Pennsylvania
2000-06-08,32,87,10.0,8.0,42095,42,Pennsylvania
2000-06-09,33,177,13.0,3.0,42095,42,Pennsylvania
2000-06-10,23,201,17.0,5.0,42095,42,Pennsylvania
2000-06-11,11,142,13.0,3.0,42095,42,Pennsylvania
2000-06-12,29,25,4.0,5.0,42095,42,Pennsylvania
2000-06-13,26,20,0.0,5.0,42095,42,Pennsylvania
2000-06-14,16,16,0.0,2.0,42095,42,Pennsylvania
2000-06-15,29,18,4.0,7.0,42095,42,Pennsylvania
2000-06-16,25,49,6.0,8.0,42095,42,Pennsylvania
2000-06-17,20,42,9.0,3.0,42095,42,Pennsylvania
2000-06-18,19,22,3.0,5.0,42095,42,Pennsylvania
2000-06-19,29,30,9.0,5.0,42095,42,Pennsylvania
2000-06-20,34,106,17.0,6.0,42095,42,Pennsylvania
2000-06-21,22,49,10.0,3.0,42095,42,Pennsylvania
2000-06-22,15,67,9.0,2.0,42095,42,Pennsylvania
2000-06-23,32,40,10.0,3.0,42095,42,Pennsylvania
2000-06-24,20,111,13.0,5.0,42095,42,Pennsylvania
2000-06-25,13,97,10.0,3.0,42095,42,Pennsylvania
2000-06-26,29,58,9.0,6.0,42095,42,Pennsylvania
2000-06-27,25,37,13.0,6.0,42095,42,Pennsylvania
2000-06-28,25,47,20.0,5.0,42095,42,Pennsylvania
2000-06-29,29,43,14.0,6.0,42095,42,Pennsylvania
2000-06-30,30,42,4.0,6.0,42095,42,Pennsylvania
2000-07-01,24,50,13.0,6.0,42095,42,Pennsylvania
2000-07-02,26,77,9.0,8.0,42095,42,Pennsylvania
2000-07-03,25,80,10.0,6.0,42095,42,Pennsylvania
2000-07-04,20,47,9.0,5.0,42095,42,Pennsylvania
2000-07-05,25,40,6.0,5.0,42095,42,Pennsylvania
2000-07-06,24,41,19.0,3.0,42095,42,Pennsylvania
2000-07-07,21,31,11.0,3.0,42095,42,Pennsylvania
2000-07-08,23,35,10.0,3.0,42095,42,Pennsylvania
2000-07-09,19,116,14.0,8.0,42095,42,Pennsylvania
2000-07-10,15,48,10.0,5.0,42095,42,Pennsylvania
2000-07-11,24,38,14.0,3.0,42095,42,Pennsylvania
2000-07-12,38,42,21.0,5.0,42095,42,Pennsylvania
2000-07-13,40,124,16.0,6.0,42095,42,Pennsylvania
2000-07-14,31,43,11.0,5.0,42095,42,Pennsylvania
2000-07-15,10,51,6.0,3.0,42095,42,Pennsylvania
2000-07-16,23,49,6.0,5.0,42095,42,Pennsylvania
2000-07-17,41,80,6.0,5.0,42095,42,Pennsylvania
2000-07-18,31,80,16.0,6.0,42095,42,Pennsylvania
2000-07-19,21,12,7.0,3.0,42095,42,Pennsylvania
2000-07-20,34,48,16.0,5.0,42095,42,Pennsylvania
2000-07-21,32,77,10.0,8.0,42095,42,Pennsylvania
2000-07-22,25,42,14.0,5.0,42095,42,Pennsylvania
2000-07-23,28,41,39.0,6.0,42095,42,Pennsylvania
2000-07-24,25,14,26.0,8.0,42095,42,Pennsylvania
2000-07-25,21,34,7.0,8.0,42095,42,Pennsylvania
2000-07-26,17,14,14.0,3.0,42095,42,Pennsylvania
2000-07-27,15,19,29.0,3.0,42095,42,Pennsylvania
2000-07-28,16,42,24.0,5.0,42095,42,Pennsylvania
2000-07-29,6,42,7.0,5.0,42095,42,Pennsylvania
2000-07-30,16,40,4.0,3.0,42095,42,Pennsylvania
2000-07-31,30,30,9.0,6.0,42095,42,Pennsylvania
2000-08-01,35,20,3.0,7.0,42095,42,Pennsylvania
2000-08-02,25,77,11.0,9.0,42095,42,Pennsylvania
2000-08-03,28,36,20.0,7.0,42095,42,Pennsylvania
2000-08-04,25,37,21.0,7.0,42095,42,Pennsylvania
