Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-03,31,28,0.0,8.0,6083,6,California
2000-01-04,36,31,7.0,8.0,6083,6,California
2000-01-05,37,28,1.0,7.0,6083,6,California
2000-01-06,35,18,4.0,10.0,6083,6,California
2000-01-07,37,18,3.0,14.0,6083,6,California
2000-01-08,38,24,3.0,10.0,6083,6,California
2000-01-09,39,23,3.0,9.0,6083,6,California
2000-01-10,32,25,1.0,9.0,6083,6,California
2000-01-11,28,17,3.0,9.0,6083,6,California
2000-01-12,24,16,3.0,7.0,6083,6,California
2000-01-13,38,11,4.0,11.0,6083,6,California
2000-01-14,37,10,6.0,16.0,6083,6,California
2000-01-15,52,3,3.0,16.0,6083,6,California
2000-01-16,42,12,1.0,14.0,6083,6,California
2000-01-17,27,3,0.0,10.0,6083,6,California
2000-01-18,19,18,3.0,10.0,6083,6,California
2000-01-19,22,13,3.0,7.0,6083,6,California
2000-01-20,22,11,1.0,7.0,6083,6,California
2000-01-21,25,14,1.0,9.0,6083,6,California
2000-01-22,20,19,1.0,8.0,6083,6,California
2000-01-23,20,14,3.0,8.0,6083,6,California
2000-01-24,23,11,3.0,9.0,6083,6,California
2000-01-25,24,19,1.0,7.0,6083,6,California
2000-01-26,23,24,1.0,5.0,6083,6,California
2000-01-27,27,21,1.0,8.0,6083,6,California
2000-01-28,38,21,3.0,11.0,6083,6,California
2000-01-29,21,26,4.0,11.0,6083,6,California
2000-01-30,20,22,1.0,8.0,6083,6,California
2000-01-31,25,19,3.0,6.0,6083,6,California
2000-02-01,28,22,1.0,8.0,6083,6,California
2000-02-02,31,29,1.0,9.0,6083,6,California
2000-02-03,31,31,3.0,5.0,6083,6,California
2000-02-04,25,25,1.0,8.0,6083,6,California
2000-02-05,17,31,3.0,8.0,6083,6,California
2000-02-06,16,31,1.0,6.0,6083,6,California
2000-02-07,32,17,1.0,9.0,6083,6,California
2000-02-08,34,18,3.0,9.0,6083,6,California
2000-02-09,22,28,1.0,8.0,6083,6,California
2000-02-10,23,30,1.0,6.0,6083,6,California
2000-02-11,16,31,1.0,6.0,6083,6,California
2000-02-12,17,29,1.0,7.0,6083,6,California
2000-02-13,17,23,1.0,7.0,6083,6,California
2000-02-14,21,18,1.0,6.0,6083,6,California
2000-02-15,20,25,1.0,7.0,6083,6,California
2000-02-16,20,29,1.0,6.0,6083,6,California
2000-02-17,14,32,1.0,5.0,6083,6,California
2000-02-18,29,26,1.0,9.0,6083,6,California
2000-02-19,25,33,1.0,9.0,6083,6,California
2000-02-20,9,31,1.0,5.0,6083,6,California
2000-02-21,10,32,0.0,3.0,6083,6,California
2000-02-22,28,28,3.0,6.0,6083,6,California
2000-02-23,22,36,1.0,6.0,6083,6,California
2000-02-24,19,33,0.0,5.0,6083,6,California
2000-02-25,17,27,0.0,6.0,6083,6,California
2000-02-26,13,33,1.0,6.0,6083,6,California
2000-02-27,12,33,1.0,5.0,6083,6,California
2000-02-28,25,29,0.0,3.0,6083,6,California
2000-02-29,21,28,0.0,5.0,6083,6,California
2000-03-01,30,36,1.0,7.0,6083,6,California
2000-03-02,24,25,1.0,7.0,6083,6,California
2000-03-03,29,21,1.0,7.0,6083,6,California
2000-03-04,14,31,1.0,7.0,6083,6,California
2000-03-05,14,33,1.0,5.0,6083,6,California
2000-03-06,16,31,0.0,5.0,6083,6,California
2000-03-07,25,31,1.0,6.0,6083,6,California
2000-03-08,16,36,0.0,5.0,6083,6,California
2000-03-09,24,36,1.0,5.0,6083,6,California
2000-03-10,35,32,1.0,7.0,6083,6,California
2000-03-11,24,37,6.0,7.0,6083,6,California
2000-03-12,30,36,11.0,8.0,6083,6,California
2000-03-13,31,41,0.0,9.0,6083,6,California
2000-03-17,45,43,1.0,9.0,6083,6,California
2000-03-18,28,41,0.0,9.0,6083,6,California
