Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2010-06-23,11,84,9.0,0.0,51650,51,Virginia
2010-06-24,9,49,9.0,0.0,51650,51,Virginia
2010-06-25,8,67,6.0,1.0,51650,51,Virginia
2010-06-26,8,64,11.0,1.0,51650,51,Virginia
2010-06-27,6,54,3.0,1.0,51650,51,Virginia
2010-06-28,8,47,6.0,0.0,51650,51,Virginia
2010-06-29,8,50,23.0,0.0,51650,51,Virginia
2010-06-30,8,42,3.0,0.0,51650,51,Virginia
2010-07-01,8,44,3.0,0.0,51650,51,Virginia
2010-07-02,8,38,21.0,0.0,51650,51,Virginia
2010-07-07,4,140,6.0,1.0,51650,51,Virginia
2010-07-08,3,47,3.0,1.0,51650,51,Virginia
2010-07-09,7,36,4.0,0.0,51650,51,Virginia
2010-07-10,15,42,62.0,1.0,51650,51,Virginia
2010-07-11,10,64,26.0,0.0,51650,51,Virginia
2010-07-12,7,48,10.0,0.0,51650,51,Virginia
2010-07-13,6,43,4.0,0.0,51650,51,Virginia
2010-07-14,15,47,24.0,0.0,51650,51,Virginia
2010-07-15,12,84,39.0,0.0,51650,51,Virginia
2010-07-16,7,49,4.0,1.0,51650,51,Virginia
2010-07-17,6,46,6.0,1.0,51650,51,Virginia
2010-07-18,5,47,4.0,1.0,51650,51,Virginia
2010-07-19,10,31,4.0,1.0,51650,51,Virginia
2010-07-20,12,40,3.0,3.0,51650,51,Virginia
2010-07-21,14,42,14.0,3.0,51650,51,Virginia
2010-07-22,14,74,51.0,1.0,51650,51,Virginia
2010-07-23,8,61,7.0,1.0,51650,51,Virginia
2010-07-24,6,39,3.0,1.0,51650,51,Virginia
2010-07-25,5,39,6.0,1.0,51650,51,Virginia
2010-07-26,13,37,6.0,0.0,51650,51,Virginia
2010-07-27,18,45,52.0,1.0,51650,51,Virginia
2010-07-28,5,40,4.0,1.0,51650,51,Virginia
2010-07-29,8,48,6.0,1.0,51650,51,Virginia
2010-07-30,5,43,6.0,0.0,51650,51,Virginia
2010-07-31,5,61,1.0,1.0,51650,51,Virginia
2010-08-01,6,40,1.0,1.0,51650,51,Virginia
2010-08-02,5,39,3.0,1.0,51650,51,Virginia
2010-08-03,14,37,40.0,1.0,51650,51,Virginia
2010-08-04,5,41,3.0,1.0,51650,51,Virginia
2010-08-05,5,41,3.0,1.0,51650,51,Virginia
2010-08-06,15,47,4.0,1.0,51650,51,Virginia
2010-08-07,2,64,3.0,1.0,51650,51,Virginia
2010-08-08,8,47,6.0,1.0,51650,51,Virginia
2010-08-09,12,46,26.0,1.0,51650,51,Virginia
2010-08-10,7,51,4.0,1.0,51650,51,Virginia
2010-08-11,14,154,61.0,2.0,51650,51,Virginia
2010-08-12,9,77,4.0,3.0,51650,51,Virginia
2010-08-13,1,47,1.0,3.0,51650,51,Virginia
2010-08-14,2,25,3.0,0.0,51650,51,Virginia
2010-08-15,7,36,17.0,0.0,51650,51,Virginia
2010-08-16,11,36,26.0,0.0,51650,51,Virginia
2010-08-17,5,41,4.0,1.0,51650,51,Virginia
2010-08-18,11,26,24.0,1.0,51650,51,Virginia
2010-08-19,6,31,9.0,1.0,51650,51,Virginia
2010-08-20,10,74,6.0,2.0,51650,51,Virginia
2010-08-21,14,104,6.0,3.0,51650,51,Virginia
2010-08-22,8,33,7.0,1.0,51650,51,Virginia
2010-08-23,5,48,6.0,1.0,51650,51,Virginia
2010-08-24,2,33,3.0,0.0,51650,51,Virginia
2010-08-25,12,39,9.0,1.0,51650,51,Virginia
2010-08-26,9,71,1.0,1.0,51650,51,Virginia
2010-08-27,5,45,0.0,0.0,51650,51,Virginia
2010-08-28,9,51,1.0,0.0,51650,51,Virginia
2010-08-29,15,90,11.0,1.0,51650,51,Virginia
2010-08-30,14,74,31.0,1.0,51650,51,Virginia
2010-08-31,17,106,4.0,2.0,51650,51,Virginia
2010-09-01,23,100,10.0,2.0,51650,51,Virginia
2010-09-02,16,40,1.0,1.0,51650,51,Virginia
2010-09-03,8,45,17.0,1.0,51650,51,Virginia
2010-09-04,8,44,3.0,1.0,51650,51,Virginia
2010-09-05,8,42,13.0,1.0,51650,51,Virginia
2010-09-06,8,45,1.0,1.0,51650,51,Virginia
2010-09-07,16,46,6.0,1.0,51650,51,Virginia
2010-09-08,8,42,3.0,1.0,51650,51,Virginia
2010-09-09,7,71,23.0,1.0,51650,51,Virginia
2010-09-10,8,37,30.0,1.0,51650,51,Virginia
2010-09-11,7,34,3.0,1.0,51650,51,Virginia
2010-09-12,4,34,1.0,1.0,51650,51,Virginia
2010-09-13,20,44,43.0,1.0,51650,51,Virginia
2010-09-14,13,74,14.0,1.0,51650,51,Virginia
2010-09-15,12,71,29.0,2.0,51650,51,Virginia
2010-09-16,7,50,3.0,2.0,51650,51,Virginia
2010-09-17,5,54,11.0,2.0,51650,51,Virginia
2010-09-18,6,40,3.0,2.0,51650,51,Virginia
2010-09-19,7,47,1.0,2.0,51650,51,Virginia
2010-09-20,13,40,6.0,3.0,51650,51,Virginia
2010-09-21,13,47,9.0,3.0,51650,51,Virginia
2010-09-22,8,49,1.0,3.0,51650,51,Virginia
2010-09-23,9,90,9.0,3.0,51650,51,Virginia
2010-09-24,8,58,3.0,0.0,51650,51,Virginia
2010-09-25,6,42,3.0,0.0,51650,51,Virginia
2010-09-26,4,31,1.0,0.0,51650,51,Virginia
2010-09-27,8,21,1.0,0.0,51650,51,Virginia
2010-09-28,8,25,1.0,0.0,51650,51,Virginia
2010-09-29,6,24,0.0,0.0,51650,51,Virginia
2010-09-30,4,24,6.0,0.0,51650,51,Virginia
2010-10-01,7,32,29.0,0.0,51650,51,Virginia
2010-10-02,3,30,6.0,0.0,51650,51,Virginia
2010-10-03,1,30,0.0,0.0,51650,51,Virginia
2010-10-04,3,24,0.0,0.0,51650,51,Virginia
2010-10-05,17,27,3.0,1.0,51650,51,Virginia
2010-10-06,13,25,4.0,2.0,51650,51,Virginia
2010-10-07,14,50,3.0,0.0,51650,51,Virginia
2010-10-08,29,40,3.0,2.0,51650,51,Virginia
2010-10-09,23,64,3.0,3.0,51650,51,Virginia
2010-10-10,25,51,3.0,7.0,51650,51,Virginia
2010-10-11,13,64,6.0,2.0,51650,51,Virginia
2010-10-12,22,61,4.0,3.0,51650,51,Virginia
2010-10-13,4,39,1.0,3.0,51650,51,Virginia
2010-10-14,8,31,1.0,2.0,51650,51,Virginia
2010-10-15,14,31,4.0,2.0,51650,51,Virginia
2010-10-16,17,31,4.0,3.0,51650,51,Virginia
2010-10-17,13,36,7.0,5.0,51650,51,Virginia
