Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2002-05-01,1,43,1.0,11.0,47075,47,Tennessee
2002-05-02,5,29,1.0,11.0,47075,47,Tennessee
2002-05-03,10,15,10.0,11.0,47075,47,Tennessee
2002-05-04,8,27,4.0,11.0,47075,47,Tennessee
2002-05-05,1,32,1.0,11.0,47075,47,Tennessee
2002-05-06,1,31,1.0,11.0,47075,47,Tennessee
2002-05-07,1,29,1.0,11.0,47075,47,Tennessee
2002-05-08,1,33,1.0,11.0,47075,47,Tennessee
2002-05-09,3,36,1.0,11.0,47075,47,Tennessee
2002-05-10,10,29,3.0,11.0,47075,47,Tennessee
2002-05-11,2,32,3.0,11.0,47075,47,Tennessee
2002-05-12,1,33,1.0,11.0,47075,47,Tennessee
2002-05-13,3,35,1.0,11.0,47075,47,Tennessee
2002-05-14,8,51,1.0,11.0,47075,47,Tennessee
2002-05-15,2,54,6.0,11.0,47075,47,Tennessee
2002-05-16,1,51,1.0,11.0,47075,47,Tennessee
2002-05-17,4,30,1.0,11.0,47075,47,Tennessee
2002-05-18,2,37,1.0,11.0,47075,47,Tennessee
2002-05-19,4,47,3.0,11.0,47075,47,Tennessee
2002-05-20,3,49,1.0,11.0,47075,47,Tennessee
2002-05-21,8,48,4.0,11.0,47075,47,Tennessee
2002-05-22,2,50,6.0,11.0,47075,47,Tennessee
2002-05-23,2,74,1.0,11.0,47075,47,Tennessee
2002-05-24,2,104,1.0,11.0,47075,47,Tennessee
2002-05-25,5,50,1.0,11.0,47075,47,Tennessee
2002-05-26,2,30,1.0,11.0,47075,47,Tennessee
2002-05-27,1,43,1.0,11.0,47075,47,Tennessee
2002-05-28,5,39,7.0,11.0,47075,47,Tennessee
2002-05-29,1,28,1.0,11.0,47075,47,Tennessee
2002-05-30,1,40,3.0,11.0,47075,47,Tennessee
2002-05-31,2,36,1.0,11.0,47075,47,Tennessee
2002-06-01,17,48,7.0,11.0,47075,47,Tennessee
2002-06-02,7,49,1.0,11.0,47075,47,Tennessee
2002-06-03,4,44,1.0,11.0,47075,47,Tennessee
2002-06-04,2,45,1.0,11.0,47075,47,Tennessee
2002-06-05,8,38,1.0,11.0,47075,47,Tennessee
2002-06-06,6,42,1.0,11.0,47075,47,Tennessee
2002-06-07,8,54,3.0,11.0,47075,47,Tennessee
2002-06-08,3,46,3.0,11.0,47075,47,Tennessee
2002-06-09,1,31,1.0,11.0,47075,47,Tennessee
2002-06-10,1,26,1.0,11.0,47075,47,Tennessee
2002-06-11,1,37,1.0,11.0,47075,47,Tennessee
2002-06-12,5,64,1.0,11.0,47075,47,Tennessee
2002-06-13,5,46,1.0,11.0,47075,47,Tennessee
2002-06-14,6,44,3.0,11.0,47075,47,Tennessee
2002-06-15,7,50,1.0,11.0,47075,47,Tennessee
2002-06-16,5,47,1.0,11.0,47075,47,Tennessee
2002-06-17,7,74,1.0,11.0,47075,47,Tennessee
2002-06-18,1,71,4.0,11.0,47075,47,Tennessee
2002-06-19,2,64,1.0,11.0,47075,47,Tennessee
2002-06-20,1,50,3.0,11.0,47075,47,Tennessee
2002-06-21,1,104,6.0,11.0,47075,47,Tennessee
2002-06-22,6,93,1.0,11.0,47075,47,Tennessee
2002-06-23,2,34,3.0,11.0,47075,47,Tennessee
2002-06-24,1,35,1.0,11.0,47075,47,Tennessee
2002-06-25,1,37,1.0,11.0,47075,47,Tennessee
2002-06-26,1,42,1.0,11.0,47075,47,Tennessee
2002-06-27,1,31,1.0,11.0,47075,47,Tennessee
2002-06-28,1,29,1.0,11.0,47075,47,Tennessee
2002-06-29,2,31,1.0,11.0,47075,47,Tennessee
2002-06-30,5,38,1.0,11.0,47075,47,Tennessee
2002-07-01,7,50,1.0,11.0,47075,47,Tennessee
2002-07-02,1,49,1.0,11.0,47075,47,Tennessee
2002-07-03,4,100,1.0,11.0,47075,47,Tennessee
2002-07-04,4,111,7.0,11.0,47075,47,Tennessee
2002-07-05,2,80,3.0,11.0,47075,47,Tennessee
2002-07-06,4,101,3.0,11.0,47075,47,Tennessee
2002-07-07,1,124,13.0,11.0,47075,47,Tennessee
2002-07-08,1,77,1.0,11.0,47075,47,Tennessee
2002-07-09,1,129,3.0,11.0,47075,47,Tennessee
