Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-01,38,32,10.0,10.0,20209,20,Kansas
2000-01-02,19,29,7.0,13.0,20209,20,Kansas
2000-01-03,14,15,1.0,13.0,20209,20,Kansas
2000-01-04,17,19,11.0,18.0,20209,20,Kansas
2000-01-05,23,19,7.0,18.0,20209,20,Kansas
2000-01-06,21,15,27.0,18.0,20209,20,Kansas
2000-01-07,25,14,21.0,30.0,20209,20,Kansas
2000-01-08,24,12,9.0,17.0,20209,20,Kansas
2000-01-09,21,12,4.0,15.0,20209,20,Kansas
2000-01-10,20,30,7.0,15.0,20209,20,Kansas
2000-01-11,27,25,30.0,18.0,20209,20,Kansas
2000-01-12,24,14,30.0,18.0,20209,20,Kansas
2000-01-13,21,14,26.0,41.0,20209,20,Kansas
2000-01-14,32,17,30.0,57.0,20209,20,Kansas
2000-01-15,30,24,13.0,17.0,20209,20,Kansas
2000-01-16,24,19,9.0,18.0,20209,20,Kansas
2000-01-17,13,8,50.0,14.0,20209,20,Kansas
2000-01-18,28,9,41.0,23.0,20209,20,Kansas
2000-01-19,21,24,11.0,23.0,20209,20,Kansas
2000-01-20,37,22,20.0,19.0,20209,20,Kansas
2000-01-21,55,13,26.0,27.0,20209,20,Kansas
2000-01-22,35,19,19.0,25.0,20209,20,Kansas
2000-01-23,22,24,9.0,25.0,20209,20,Kansas
2000-01-24,44,18,7.0,17.0,20209,20,Kansas
2000-01-25,25,26,4.0,16.0,20209,20,Kansas
2000-01-26,29,19,50.0,13.0,20209,20,Kansas
2000-01-27,26,14,26.0,13.0,20209,20,Kansas
2000-01-28,28,13,16.0,13.0,20209,20,Kansas
2000-01-29,25,17,27.0,13.0,20209,20,Kansas
2000-01-30,16,27,9.0,11.0,20209,20,Kansas
2000-01-31,40,21,6.0,16.0,20209,20,Kansas
2000-02-01,36,21,31.0,18.0,20209,20,Kansas
2000-02-02,64,22,17.0,27.0,20209,20,Kansas
2000-02-03,26,27,11.0,15.0,20209,20,Kansas
2000-02-04,18,24,4.0,13.0,20209,20,Kansas
2000-02-05,38,20,3.0,17.0,20209,20,Kansas
2000-02-06,37,22,4.0,19.0,20209,20,Kansas
2000-02-07,42,23,20.0,32.0,20209,20,Kansas
2000-02-08,50,22,16.0,27.0,20209,20,Kansas
2000-02-09,54,23,27.0,36.0,20209,20,Kansas
2000-02-10,56,19,31.0,41.0,20209,20,Kansas
2000-02-11,16,19,0.0,13.0,20209,20,Kansas
2000-02-12,26,9,9.0,17.0,20209,20,Kansas
2000-02-13,20,11,1.0,16.0,20209,20,Kansas
2000-02-14,36,15,9.0,19.0,20209,20,Kansas
2000-02-15,40,25,6.0,18.0,20209,20,Kansas
2000-02-16,32,25,46.0,15.0,20209,20,Kansas
2000-02-17,27,11,43.0,16.0,20209,20,Kansas
2000-02-18,20,24,1.0,13.0,20209,20,Kansas
2000-02-19,36,25,6.0,17.0,20209,20,Kansas
2000-02-20,32,31,9.0,22.0,20209,20,Kansas
2000-02-21,33,35,7.0,15.0,20209,20,Kansas
2000-02-22,35,31,7.0,13.0,20209,20,Kansas
2000-02-23,22,32,4.0,13.0,20209,20,Kansas
2000-02-24,20,29,6.0,14.0,20209,20,Kansas
2000-02-25,30,35,4.0,15.0,20209,20,Kansas
2000-02-26,31,26,3.0,15.0,20209,20,Kansas
2000-02-27,51,35,10.0,19.0,20209,20,Kansas
2000-02-28,32,41,9.0,19.0,20209,20,Kansas
2000-02-29,23,36,6.0,14.0,20209,20,Kansas
2000-03-01,39,36,9.0,11.0,20209,20,Kansas
2000-03-02,33,23,21.0,10.0,20209,20,Kansas
2000-03-03,32,19,10.0,5.0,20209,20,Kansas
2000-03-06,25,42,7.0,5.0,20209,20,Kansas
2000-03-07,25,36,10.0,9.0,20209,20,Kansas
2000-03-08,12,34,3.0,10.0,20209,20,Kansas
2000-03-09,14,24,10.0,6.0,20209,20,Kansas
2000-03-10,15,21,0.0,6.0,20209,20,Kansas
2000-03-11,41,33,16.0,17.0,20209,20,Kansas
2000-03-12,43,35,20.0,25.0,20209,20,Kansas
2000-03-13,42,30,33.0,27.0,20209,20,Kansas
2000-03-14,46,19,36.0,33.0,20209,20,Kansas
2000-03-15,33,24,13.0,14.0,20209,20,Kansas
2000-03-16,25,28,0.0,14.0,20209,20,Kansas
2000-03-17,29,23,13.0,14.0,20209,20,Kansas
