Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2011-01-01,2,39,0.0,1.0,56021,56,Wyoming
2011-01-02,4,42,0.0,1.0,56021,56,Wyoming
2011-01-03,29,42,0.0,1.0,56021,56,Wyoming
2011-01-04,15,42,0.0,2.0,56021,56,Wyoming
2011-01-05,1,42,0.0,0.0,56021,56,Wyoming
2011-01-06,0,40,0.0,0.0,56021,56,Wyoming
2011-01-07,24,36,0.0,1.0,56021,56,Wyoming
2011-01-08,25,31,0.0,1.0,56021,56,Wyoming
2011-01-09,4,32,0.0,1.0,56021,56,Wyoming
2011-01-10,27,31,0.0,2.0,56021,56,Wyoming
2011-01-11,33,36,0.0,2.0,56021,56,Wyoming
2011-01-12,25,38,3.0,2.0,56021,56,Wyoming
2011-01-13,22,41,1.0,1.0,56021,56,Wyoming
2011-01-14,1,39,0.0,1.0,56021,56,Wyoming
2011-01-15,2,37,0.0,0.0,56021,56,Wyoming
2011-01-16,12,35,0.0,0.0,56021,56,Wyoming
2011-01-17,2,36,0.0,0.0,56021,56,Wyoming
2011-01-18,3,37,0.0,0.0,56021,56,Wyoming
2011-01-19,9,32,0.0,1.0,56021,56,Wyoming
2011-01-20,7,40,0.0,1.0,56021,56,Wyoming
2011-01-21,5,40,0.0,0.0,56021,56,Wyoming
2011-01-22,3,40,0.0,0.0,56021,56,Wyoming
2011-01-23,3,40,0.0,0.0,56021,56,Wyoming
2011-01-24,6,36,0.0,0.0,56021,56,Wyoming
2011-01-25,14,40,0.0,1.0,56021,56,Wyoming
2011-01-26,0,34,0.0,0.0,56021,56,Wyoming
2011-01-27,2,36,0.0,1.0,56021,56,Wyoming
2011-01-28,25,36,0.0,0.0,56021,56,Wyoming
2011-01-29,19,40,0.0,0.0,56021,56,Wyoming
2011-01-30,23,23,1.0,1.0,56021,56,Wyoming
2011-01-31,5,29,1.0,1.0,56021,56,Wyoming
2011-02-01,3,35,0.0,1.0,56021,56,Wyoming
2011-02-02,11,38,0.0,2.0,56021,56,Wyoming
2011-02-03,1,41,0.0,1.0,56021,56,Wyoming
2011-02-04,3,39,0.0,0.0,56021,56,Wyoming
2011-02-05,1,37,0.0,0.0,56021,56,Wyoming
2011-02-06,5,36,0.0,1.0,56021,56,Wyoming
2011-02-07,28,35,0.0,1.0,56021,56,Wyoming
2011-02-08,8,36,1.0,1.0,56021,56,Wyoming
2011-02-09,25,37,3.0,1.0,56021,56,Wyoming
2011-02-10,2,37,0.0,1.0,56021,56,Wyoming
2011-02-11,5,40,0.0,0.0,56021,56,Wyoming
2011-02-12,2,41,0.0,0.0,56021,56,Wyoming
2011-02-13,2,41,0.0,0.0,56021,56,Wyoming
2011-02-14,20,38,3.0,1.0,56021,56,Wyoming
2011-02-15,25,42,1.0,1.0,56021,56,Wyoming
2011-02-16,14,46,0.0,1.0,56021,56,Wyoming
2011-02-17,12,43,0.0,1.0,56021,56,Wyoming
2011-02-18,8,41,1.0,0.0,56021,56,Wyoming
2011-02-19,30,42,0.0,1.0,56021,56,Wyoming
2011-02-20,8,39,1.0,1.0,56021,56,Wyoming
2011-02-21,9,42,0.0,1.0,56021,56,Wyoming
2011-02-22,19,44,0.0,1.0,56021,56,Wyoming
2011-02-23,7,42,0.0,1.0,56021,56,Wyoming
2011-02-24,10,33,0.0,1.0,56021,56,Wyoming
2011-02-25,20,31,0.0,1.0,56021,56,Wyoming
2011-02-26,19,42,0.0,1.0,56021,56,Wyoming
2011-02-27,5,44,0.0,1.0,56021,56,Wyoming
2011-02-28,9,45,0.0,1.0,56021,56,Wyoming
2011-03-01,26,47,0.0,1.0,56021,56,Wyoming
2011-03-02,30,42,3.0,1.0,56021,56,Wyoming
2011-03-03,4,42,0.0,0.0,56021,56,Wyoming
2011-03-04,13,41,0.0,0.0,56021,56,Wyoming
2011-03-05,12,43,0.0,1.0,56021,56,Wyoming
