Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-03-21,23,8,41.0,9.0,21111,21,Kentucky
2000-03-22,34,25,14.0,15.0,21111,21,Kentucky
2000-03-23,31,25,33.0,10.0,21111,21,Kentucky
2000-03-24,25,64,16.0,11.0,21111,21,Kentucky
2000-03-25,17,40,11.0,7.0,21111,21,Kentucky
2000-03-26,44,43,39.0,7.0,21111,21,Kentucky
2000-03-27,29,36,19.0,6.0,21111,21,Kentucky
2000-03-28,42,26,10.0,6.0,21111,21,Kentucky
2000-03-29,34,19,86.0,8.0,21111,21,Kentucky
2000-03-30,35,30,55.0,8.0,21111,21,Kentucky
2000-03-31,43,28,52.0,16.0,21111,21,Kentucky
2000-04-01,41,42,17.0,15.0,21111,21,Kentucky
2000-04-02,19,25,23.0,8.0,21111,21,Kentucky
2000-04-03,19,25,23.0,7.0,21111,21,Kentucky
2000-04-04,13,32,16.0,6.0,21111,21,Kentucky
2000-04-05,33,37,92.0,7.0,21111,21,Kentucky
2000-04-06,46,42,55.0,6.0,21111,21,Kentucky
2000-04-07,42,32,112.0,11.0,21111,21,Kentucky
2000-04-08,10,32,24.0,8.0,21111,21,Kentucky
2000-04-09,26,41,34.0,7.0,21111,21,Kentucky
2000-04-10,31,44,37.0,10.0,21111,21,Kentucky
2000-04-11,25,27,17.0,7.0,21111,21,Kentucky
2000-04-12,19,28,29.0,8.0,21111,21,Kentucky
2000-04-13,23,28,17.0,9.0,21111,21,Kentucky
2000-04-14,32,28,24.0,17.0,21111,21,Kentucky
2000-04-15,25,34,11.0,17.0,21111,21,Kentucky
2000-04-16,25,36,24.0,13.0,21111,21,Kentucky
2000-04-17,22,22,24.0,10.0,21111,21,Kentucky
2000-04-18,25,14,24.0,10.0,21111,21,Kentucky
2000-04-19,27,39,91.0,11.0,21111,21,Kentucky
2000-04-20,17,38,24.0,11.0,21111,21,Kentucky
2000-04-21,7,25,24.0,8.0,21111,21,Kentucky
2000-04-22,42,43,7.0,11.0,21111,21,Kentucky
2000-04-23,28,49,24.0,14.0,21111,21,Kentucky
2000-04-24,31,31,24.0,9.0,21111,21,Kentucky
2000-04-25,45,47,85.0,10.0,21111,21,Kentucky
2000-04-26,50,47,27.0,15.0,21111,21,Kentucky
2000-04-27,35,47,39.0,11.0,21111,21,Kentucky
2000-04-28,54,64,117.0,13.0,21111,21,Kentucky
2000-04-29,52,64,30.0,13.0,21111,21,Kentucky
2000-04-30,54,101,51.0,14.0,21111,21,Kentucky
2000-05-01,36,64,26.0,11.0,21111,21,Kentucky
2000-05-02,41,46,7.0,10.0,21111,21,Kentucky
2000-05-03,34,35,13.0,11.0,21111,21,Kentucky
2000-05-04,28,47,29.0,11.0,21111,21,Kentucky
2000-05-05,33,44,14.0,14.0,21111,21,Kentucky
2000-05-06,28,45,21.0,16.0,21111,21,Kentucky
2000-05-07,35,47,9.0,13.0,21111,21,Kentucky
2000-05-08,10,40,10.0,9.0,21111,21,Kentucky
2000-05-09,17,39,29.0,8.0,21111,21,Kentucky
2000-05-10,32,45,19.0,9.0,21111,21,Kentucky
2000-05-11,23,47,10.0,9.0,21111,21,Kentucky
2000-05-12,16,36,74.0,9.0,21111,21,Kentucky
2000-05-13,8,44,13.0,9.0,21111,21,Kentucky
2000-05-14,25,43,9.0,7.0,21111,21,Kentucky
2000-05-15,37,49,19.0,10.0,21111,21,Kentucky
2000-05-16,36,61,62.0,10.0,21111,21,Kentucky
2000-05-17,34,97,9.0,9.0,21111,21,Kentucky
2000-05-18,33,47,113.0,7.0,21111,21,Kentucky
2000-05-19,25,40,19.0,8.0,21111,21,Kentucky
2000-05-20,16,32,11.0,7.0,21111,21,Kentucky
2000-05-21,26,43,17.0,8.0,21111,21,Kentucky
2000-05-22,22,41,113.0,8.0,21111,21,Kentucky
2000-05-23,19,28,6.0,8.0,21111,21,Kentucky
2000-05-24,25,101,52.0,9.0,21111,21,Kentucky
