Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2009-09-01,6,42,4.0,5.0,39103,39,Ohio
2009-09-02,12,46,4.0,6.0,39103,39,Ohio
2009-09-03,13,87,9.0,6.0,39103,39,Ohio
2009-09-04,5,58,17.0,6.0,39103,39,Ohio
2009-09-05,4,77,3.0,6.0,39103,39,Ohio
2009-09-06,3,71,13.0,6.0,39103,39,Ohio
2009-09-07,13,40,3.0,7.0,39103,39,Ohio
2009-09-08,9,38,10.0,6.0,39103,39,Ohio
2009-09-09,8,46,10.0,6.0,39103,39,Ohio
2009-09-10,11,42,14.0,6.0,39103,39,Ohio
2009-09-11,11,42,9.0,6.0,39103,39,Ohio
2009-09-12,6,39,1.0,8.0,39103,39,Ohio
2009-09-13,1,44,1.0,5.0,39103,39,Ohio
2009-09-14,19,42,3.0,6.0,39103,39,Ohio
2009-09-15,8,37,9.0,3.0,39103,39,Ohio
2009-09-16,8,30,10.0,3.0,39103,39,Ohio
2009-09-17,6,40,9.0,3.0,39103,39,Ohio
2009-09-18,7,45,30.0,3.0,39103,39,Ohio
2009-09-19,5,34,3.0,3.0,39103,39,Ohio
2009-09-20,8,36,23.0,5.0,39103,39,Ohio
2009-09-21,9,25,3.0,5.0,39103,39,Ohio
2009-09-22,26,23,7.0,3.0,39103,39,Ohio
2009-09-23,17,31,0.0,3.0,39103,39,Ohio
2009-09-24,8,29,6.0,3.0,39103,39,Ohio
2009-09-25,12,25,6.0,2.0,39103,39,Ohio
2009-09-26,8,14,20.0,2.0,39103,39,Ohio
2009-09-27,4,31,0.0,2.0,39103,39,Ohio
2009-09-28,1,25,0.0,2.0,39103,39,Ohio
2009-09-29,2,13,0.0,3.0,39103,39,Ohio
2009-09-30,11,19,3.0,3.0,39103,39,Ohio
2009-10-01,19,26,9.0,5.0,39103,39,Ohio
2009-10-02,13,21,4.0,5.0,39103,39,Ohio
2009-10-03,10,23,0.0,5.0,39103,39,Ohio
2009-10-04,4,14,0.0,6.0,39103,39,Ohio
2009-10-05,11,19,0.0,6.0,39103,39,Ohio
2009-10-06,14,24,26.0,1.0,39103,39,Ohio
2009-10-07,9,18,0.0,1.0,39103,39,Ohio
2009-10-08,13,17,11.0,1.0,39103,39,Ohio
2009-10-09,11,19,1.0,1.0,39103,39,Ohio
2009-10-10,4,23,0.0,1.0,39103,39,Ohio
2009-10-11,4,24,4.0,2.0,39103,39,Ohio
2009-10-12,20,19,7.0,3.0,39103,39,Ohio
2009-10-13,13,22,11.0,3.0,39103,39,Ohio
2009-10-14,8,15,1.0,2.0,39103,39,Ohio
2009-10-15,5,14,0.0,3.0,39103,39,Ohio
2009-10-16,7,18,14.0,3.0,39103,39,Ohio
2009-10-17,6,25,10.0,3.0,39103,39,Ohio
2009-10-18,20,30,14.0,5.0,39103,39,Ohio
2009-10-19,19,31,4.0,5.0,39103,39,Ohio
2009-10-20,29,29,4.0,5.0,39103,39,Ohio
2009-10-21,25,38,4.0,6.0,39103,39,Ohio
2009-10-22,26,36,7.0,6.0,39103,39,Ohio
2009-10-23,12,20,6.0,6.0,39103,39,Ohio
2009-10-24,3,17,0.0,5.0,39103,39,Ohio
2009-10-25,14,29,13.0,5.0,39103,39,Ohio
2009-10-26,27,29,64.0,5.0,39103,39,Ohio
2009-10-27,31,22,10.0,6.0,39103,39,Ohio
2009-10-28,18,25,9.0,6.0,39103,39,Ohio
2009-10-29,21,25,20.0,6.0,39103,39,Ohio
2009-10-30,17,26,20.0,5.0,39103,39,Ohio
2009-10-31,3,20,3.0,5.0,39103,39,Ohio
2009-11-01,5,24,1.0,3.0,39103,39,Ohio
2009-11-02,23,26,6.0,6.0,39103,39,Ohio
2009-11-03,16,19,3.0,6.0,39103,39,Ohio
2009-11-04,25,13,10.0,6.0,39103,39,Ohio
2009-11-05,22,21,7.0,7.0,39103,39,Ohio
2009-11-06,29,23,14.0,6.0,39103,39,Ohio
2009-11-07,22,36,16.0,7.0,39103,39,Ohio
2009-11-08,35,42,4.0,7.0,39103,39,Ohio
2009-11-09,34,29,4.0,8.0,39103,39,Ohio
2009-11-10,34,22,10.0,9.0,39103,39,Ohio
2009-11-11,8,23,4.0,7.0,39103,39,Ohio
2009-11-12,16,22,6.0,7.0,39103,39,Ohio
2009-11-13,26,22,23.0,8.0,39103,39,Ohio
2009-11-14,31,28,47.0,8.0,39103,39,Ohio
2009-11-15,25,22,6.0,8.0,39103,39,Ohio
2009-11-16,13,23,11.0,8.0,39103,39,Ohio
2009-11-17,10,23,10.0,7.0,39103,39,Ohio
2009-11-18,16,19,14.0,8.0,39103,39,Ohio
2009-11-19,9,19,4.0,7.0,39103,39,Ohio
2009-11-20,13,14,0.0,8.0,39103,39,Ohio
2009-11-21,16,18,4.0,8.0,39103,39,Ohio
2009-11-22,14,29,1.0,9.0,39103,39,Ohio
2009-11-23,17,15,10.0,9.0,39103,39,Ohio
2009-11-24,22,17,17.0,10.0,39103,39,Ohio
2009-11-25,17,19,9.0,8.0,39103,39,Ohio
2009-11-26,8,20,1.0,7.0,39103,39,Ohio
2009-11-27,2,20,0.0,7.0,39103,39,Ohio
2009-11-28,16,21,6.0,8.0,39103,39,Ohio
2009-11-29,22,28,3.0,9.0,39103,39,Ohio
2009-11-30,10,21,0.0,8.0,39103,39,Ohio
2009-12-01,14,15,3.0,7.0,39103,39,Ohio
2009-12-02,27,19,26.0,7.0,39103,39,Ohio
2009-12-03,4,17,0.0,3.0,39103,39,Ohio
2009-12-04,6,19,0.0,2.0,39103,39,Ohio
2009-12-05,5,18,0.0,3.0,39103,39,Ohio
2009-12-06,22,19,1.0,5.0,39103,39,Ohio
2009-12-07,21,12,11.0,5.0,39103,39,Ohio
2009-12-08,20,13,17.0,6.0,39103,39,Ohio
2009-12-09,8,14,1.0,6.0,39103,39,Ohio
2009-12-10,1,15,0.0,5.0,39103,39,Ohio
2009-12-11,12,19,0.0,6.0,39103,39,Ohio
2009-12-12,28,20,20.0,7.0,39103,39,Ohio
2009-12-13,15,18,17.0,7.0,39103,39,Ohio
2009-12-14,17,15,3.0,7.0,39103,39,Ohio
2009-12-15,10,25,0.0,6.0,39103,39,Ohio
2009-12-16,8,25,0.0,6.0,39103,39,Ohio
2010-01-14,10,30,16.0,3.0,39103,39,Ohio
2010-01-20,19,16,19.0,3.0,39103,39,Ohio
2010-01-21,11,21,17.0,5.0,39103,39,Ohio
2010-01-22,13,15,11.0,5.0,39103,39,Ohio
2010-01-23,17,19,43.0,5.0,39103,39,Ohio
2010-01-24,12,21,10.0,5.0,39103,39,Ohio
2010-01-25,14,14,1.0,3.0,39103,39,Ohio
2010-01-26,2,14,0.0,3.0,39103,39,Ohio
2010-01-31,6,25,9.0,6.0,39103,39,Ohio
2010-02-01,27,30,6.0,5.0,39103,39,Ohio
2010-02-02,35,22,46.0,6.0,39103,39,Ohio
2010-02-03,15,18,13.0,3.0,39103,39,Ohio
2010-02-04,18,26,13.0,5.0,39103,39,Ohio
2010-02-05,19,22,16.0,6.0,39103,39,Ohio
2010-02-06,0,31,6.0,7.0,39103,39,Ohio
2010-02-07,1,34,40.0,7.0,39103,39,Ohio
2010-02-08,44,31,17.0,10.0,39103,39,Ohio
2010-02-09,25,27,26.0,9.0,39103,39,Ohio
2010-02-10,4,29,11.0,8.0,39103,39,Ohio
2010-02-11,7,35,3.0,8.0,39103,39,Ohio
2010-02-12,8,36,4.0,2.0,39103,39,Ohio
2010-02-13,9,37,6.0,3.0,39103,39,Ohio
2010-02-14,8,41,3.0,3.0,39103,39,Ohio
2010-02-15,58,33,19.0,7.0,39103,39,Ohio
2010-02-16,9,32,3.0,5.0,39103,39,Ohio
2010-02-17,7,33,3.0,3.0,39103,39,Ohio
2010-02-18,7,36,7.0,5.0,39103,39,Ohio
2010-02-19,8,43,9.0,5.0,39103,39,Ohio
2010-02-20,49,45,7.0,6.0,39103,39,Ohio
2010-02-21,42,41,41.0,8.0,39103,39,Ohio
2010-02-22,23,32,24.0,8.0,39103,39,Ohio
2010-02-23,18,33,13.0,7.0,39103,39,Ohio
2010-02-24,41,42,1.0,8.0,39103,39,Ohio
2010-02-25,4,36,13.0,7.0,39103,39,Ohio
2010-02-26,3,33,3.0,7.0,39103,39,Ohio
2010-02-27,5,35,6.0,8.0,39103,39,Ohio
2010-02-28,3,36,6.0,8.0,39103,39,Ohio
2010-03-01,6,36,21.0,8.0,39103,39,Ohio
2010-03-02,8,35,16.0,8.0,39103,39,Ohio
2010-03-03,6,36,7.0,1.0,39103,39,Ohio
2010-03-04,5,39,3.0,1.0,39103,39,Ohio
2010-03-05,4,38,1.0,2.0,39103,39,Ohio
2010-03-06,28,46,6.0,2.0,39103,39,Ohio
2010-03-07,35,64,1.0,5.0,39103,39,Ohio
2010-03-08,46,74,14.0,5.0,39103,39,Ohio
2010-03-09,25,77,27.0,5.0,39103,39,Ohio
2010-03-10,32,42,36.0,5.0,39103,39,Ohio
2010-03-11,23,50,31.0,6.0,39103,39,Ohio
2010-03-12,15,36,14.0,6.0,39103,39,Ohio
2010-03-13,4,36,4.0,5.0,39103,39,Ohio
2010-03-14,8,32,1.0,6.0,39103,39,Ohio
2010-03-15,7,32,6.0,5.0,39103,39,Ohio
2010-03-16,13,39,20.0,5.0,39103,39,Ohio
2010-03-17,13,41,37.0,7.0,39103,39,Ohio
2010-03-18,46,47,10.0,7.0,39103,39,Ohio
2010-03-19,8,47,1.0,6.0,39103,39,Ohio
2010-03-20,10,26,11.0,6.0,39103,39,Ohio
2010-03-21,8,27,19.0,7.0,39103,39,Ohio
2010-03-22,18,31,7.0,8.0,39103,39,Ohio
2010-03-23,13,31,10.0,8.0,39103,39,Ohio
2010-03-24,9,39,23.0,2.0,39103,39,Ohio
2010-03-25,25,33,16.0,5.0,39103,39,Ohio
2010-03-26,11,31,9.0,2.0,39103,39,Ohio
2010-03-27,22,35,14.0,3.0,39103,39,Ohio
