Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2006-01-01,45,21,10.0,47.0,80002,80,Country Of Mexico
2006-01-02,27,30,4.0,47.0,80002,80,Country Of Mexico
2006-01-04,49,17,13.0,40.0,80002,80,Country Of Mexico
2006-01-05,51,24,17.0,34.0,80002,80,Country Of Mexico
2006-01-06,80,19,27.0,84.0,80002,80,Country Of Mexico
2006-01-07,85,8,27.0,143.0,80002,80,Country Of Mexico
2006-01-08,81,30,13.0,56.0,80002,80,Country Of Mexico
2006-01-09,57,26,11.0,50.0,80002,80,Country Of Mexico
2006-01-10,66,22,36.0,74.0,80002,80,Country Of Mexico
2006-01-11,73,20,34.0,78.0,80002,80,Country Of Mexico
2006-01-12,105,23,36.0,76.0,80002,80,Country Of Mexico
2006-01-13,80,19,37.0,91.0,80002,80,Country Of Mexico
2006-01-14,86,31,33.0,118.0,80002,80,Country Of Mexico
2006-01-15,19,32,3.0,3.0,80002,80,Country Of Mexico
2006-01-16,48,34,17.0,3.0,80002,80,Country Of Mexico
2006-01-17,85,23,29.0,69.0,80002,80,Country Of Mexico
2006-01-18,71,31,16.0,86.0,80002,80,Country Of Mexico
2006-01-19,46,31,10.0,22.0,80002,80,Country Of Mexico
2006-01-20,54,27,20.0,38.0,80002,80,Country Of Mexico
2006-01-21,48,28,37.0,42.0,80002,80,Country Of Mexico
2006-01-22,41,31,9.0,43.0,80002,80,Country Of Mexico
2006-01-23,47,31,9.0,18.0,80002,80,Country Of Mexico
2006-01-24,60,31,14.0,23.0,80002,80,Country Of Mexico
2006-01-25,102,22,16.0,28.0,80002,80,Country Of Mexico
2006-01-26,81,29,11.0,33.0,80002,80,Country Of Mexico
2006-01-27,68,31,20.0,52.0,80002,80,Country Of Mexico
2006-01-28,82,28,11.0,59.0,80002,80,Country Of Mexico
2006-01-29,67,44,10.0,27.0,80002,80,Country Of Mexico
2006-01-30,102,38,17.0,61.0,80002,80,Country Of Mexico
2006-01-31,83,25,26.0,76.0,80002,80,Country Of Mexico
2006-02-01,102,10,23.0,52.0,80002,80,Country Of Mexico
2006-02-08,53,7,14.0,31.0,80002,80,Country Of Mexico
2006-02-09,56,25,23.0,27.0,80002,80,Country Of Mexico
2006-02-10,105,31,26.0,55.0,80002,80,Country Of Mexico
2006-02-11,62,35,31.0,55.0,80002,80,Country Of Mexico
2006-02-12,61,40,41.0,70.0,80002,80,Country Of Mexico
2006-02-13,67,27,59.0,88.0,80002,80,Country Of Mexico
2006-02-14,72,24,31.0,106.0,80002,80,Country Of Mexico
2006-02-15,46,32,20.0,14.0,80002,80,Country Of Mexico
2006-02-16,58,39,49.0,35.0,80002,80,Country Of Mexico
2006-02-17,53,36,13.0,41.0,80002,80,Country Of Mexico
2006-02-18,40,30,10.0,10.0,80002,80,Country Of Mexico
2006-02-19,23,33,6.0,6.0,80002,80,Country Of Mexico
2006-02-20,62,42,17.0,28.0,80002,80,Country Of Mexico
2006-02-21,49,39,4.0,28.0,80002,80,Country Of Mexico
2006-02-22,57,38,39.0,44.0,80002,80,Country Of Mexico
2006-02-23,66,36,37.0,72.0,80002,80,Country Of Mexico
2006-02-24,83,35,16.0,80.0,80002,80,Country Of Mexico
2006-02-25,67,42,27.0,47.0,80002,80,Country Of Mexico
2006-02-26,61,77,13.0,54.0,80002,80,Country Of Mexico
2006-02-27,55,42,16.0,20.0,80002,80,Country Of Mexico
2006-02-28,28,31,10.0,11.0,80002,80,Country Of Mexico
2006-03-01,42,42,4.0,8.0,80002,80,Country Of Mexico
2006-03-02,66,47,17.0,31.0,80002,80,Country Of Mexico
2006-03-03,64,32,16.0,33.0,80002,80,Country Of Mexico
2006-03-04,60,47,11.0,20.0,80002,80,Country Of Mexico
2006-03-05,63,61,10.0,32.0,80002,80,Country Of Mexico
2006-03-06,58,28,23.0,38.0,80002,80,Country Of Mexico
2006-03-07,31,36,9.0,10.0,80002,80,Country Of Mexico
2006-03-08,55,38,19.0,19.0,80002,80,Country Of Mexico
2006-03-09,49,36,16.0,22.0,80002,80,Country Of Mexico
2006-03-10,37,34,3.0,7.0,80002,80,Country Of Mexico
2006-03-11,33,30,3.0,8.0,80002,80,Country Of Mexico
2006-03-12,26,32,1.0,6.0,80002,80,Country Of Mexico
2006-03-13,54,36,6.0,22.0,80002,80,Country Of Mexico
2006-03-14,62,38,11.0,25.0,80002,80,Country Of Mexico
2006-03-15,62,46,14.0,35.0,80002,80,Country Of Mexico
2006-03-16,69,42,20.0,42.0,80002,80,Country Of Mexico
2006-03-17,46,39,9.0,27.0,80002,80,Country Of Mexico
2006-03-18,22,35,1.0,6.0,80002,80,Country Of Mexico
2006-03-19,28,41,4.0,6.0,80002,80,Country Of Mexico
2006-03-20,26,36,9.0,6.0,80002,80,Country Of Mexico
2006-03-21,31,37,4.0,7.0,80002,80,Country Of Mexico
2006-03-22,64,42,20.0,51.0,80002,80,Country Of Mexico
2006-03-23,61,42,9.0,56.0,80002,80,Country Of Mexico
2006-03-24,73,45,27.0,52.0,80002,80,Country Of Mexico
2006-03-25,61,49,19.0,54.0,80002,80,Country Of Mexico
2006-03-26,56,45,9.0,18.0,80002,80,Country Of Mexico
2006-03-27,45,32,10.0,31.0,80002,80,Country Of Mexico
2006-03-28,38,34,6.0,8.0,80002,80,Country Of Mexico
2006-03-29,19,35,6.0,5.0,80002,80,Country Of Mexico
2006-03-30,42,38,11.0,9.0,80002,80,Country Of Mexico
2006-03-31,36,34,3.0,10.0,80002,80,Country Of Mexico
2006-04-01,25,33,1.0,8.0,80002,80,Country Of Mexico
2006-04-02,56,51,10.0,18.0,80002,80,Country Of Mexico
2006-04-03,53,35,9.0,28.0,80002,80,Country Of Mexico
2006-04-04,39,30,13.0,16.0,80002,80,Country Of Mexico
2006-04-05,35,33,1.0,5.0,80002,80,Country Of Mexico
2006-04-14,25,36,7.0,3.0,80002,80,Country Of Mexico
2006-04-15,30,36,9.0,6.0,80002,80,Country Of Mexico
2006-04-16,26,45,4.0,6.0,80002,80,Country Of Mexico
2006-04-17,30,47,1.0,6.0,80002,80,Country Of Mexico
2006-04-18,56,39,7.0,16.0,80002,80,Country Of Mexico
2006-04-19,65,58,66.0,18.0,80002,80,Country Of Mexico
2006-04-20,70,114,16.0,18.0,80002,80,Country Of Mexico
2006-04-21,40,41,10.0,9.0,80002,80,Country Of Mexico
2006-04-22,24,36,6.0,5.0,80002,80,Country Of Mexico
2006-04-23,15,42,1.0,5.0,80002,80,Country Of Mexico
2006-04-24,69,49,9.0,10.0,80002,80,Country Of Mexico
2006-04-25,54,46,13.0,16.0,80002,80,Country Of Mexico
