Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2006-04-04,42,28,14.0,2.0,9009,9,Connecticut
2006-04-05,51,31,20.0,2.0,9009,9,Connecticut
2006-04-06,48,26,21.0,5.0,9009,9,Connecticut
2006-04-07,53,28,21.0,10.0,9009,9,Connecticut
2006-04-08,36,26,6.0,5.0,9009,9,Connecticut
2006-04-09,44,32,70.0,3.0,9009,9,Connecticut
2006-04-10,52,25,17.0,5.0,9009,9,Connecticut
2006-04-11,57,26,29.0,9.0,9009,9,Connecticut
2006-04-12,41,34,11.0,3.0,9009,9,Connecticut
2006-04-13,40,31,19.0,5.0,9009,9,Connecticut
2006-04-14,51,21,10.0,6.0,9009,9,Connecticut
2006-04-15,43,43,7.0,7.0,9009,9,Connecticut
2006-04-16,8,41,1.0,3.0,9009,9,Connecticut
2006-04-17,29,29,9.0,3.0,9009,9,Connecticut
2006-04-18,21,35,10.0,5.0,9009,9,Connecticut
2006-04-19,40,41,14.0,6.0,9009,9,Connecticut
2006-04-20,19,40,11.0,6.0,9009,9,Connecticut
2006-04-21,18,36,3.0,5.0,9009,9,Connecticut
2006-04-22,8,38,3.0,3.0,9009,9,Connecticut
2006-04-23,14,36,1.0,5.0,9009,9,Connecticut
2006-04-24,43,21,9.0,8.0,9009,9,Connecticut
2006-04-25,51,31,11.0,13.0,9009,9,Connecticut
2006-04-26,24,31,11.0,6.0,9009,9,Connecticut
2006-04-27,47,40,17.0,9.0,9009,9,Connecticut
2006-04-28,36,41,4.0,7.0,9009,9,Connecticut
2006-04-29,42,31,10.0,8.0,9009,9,Connecticut
2006-04-30,44,39,7.0,9.0,9009,9,Connecticut
2006-05-01,46,39,6.0,9.0,9009,9,Connecticut
2006-05-02,12,31,3.0,8.0,9009,9,Connecticut
2006-05-03,11,18,1.0,9.0,9009,9,Connecticut
2006-05-04,41,29,11.0,10.0,9009,9,Connecticut
2006-05-05,52,38,21.0,13.0,9009,9,Connecticut
2006-05-06,34,38,16.0,5.0,9009,9,Connecticut
2006-05-07,32,25,14.0,3.0,9009,9,Connecticut
2006-05-08,42,39,6.0,5.0,9009,9,Connecticut
2006-05-09,38,31,4.0,5.0,9009,9,Connecticut
2006-05-10,14,29,1.0,6.0,9009,9,Connecticut
2006-05-11,16,37,1.0,5.0,9009,9,Connecticut
2006-05-12,5,39,1.0,2.0,9009,9,Connecticut
2006-05-13,16,34,14.0,3.0,9009,9,Connecticut
2006-05-14,11,30,0.0,3.0,9009,9,Connecticut
2006-05-15,22,37,1.0,3.0,9009,9,Connecticut
2006-05-16,42,19,16.0,5.0,9009,9,Connecticut
2006-05-17,37,30,52.0,6.0,9009,9,Connecticut
2006-05-18,40,42,31.0,6.0,9009,9,Connecticut
2006-05-19,29,33,7.0,5.0,9009,9,Connecticut
2006-05-20,37,30,43.0,5.0,9009,9,Connecticut
2006-05-21,19,34,24.0,5.0,9009,9,Connecticut
2006-05-22,24,27,36.0,3.0,9009,9,Connecticut
2006-05-23,32,26,24.0,5.0,9009,9,Connecticut
2006-05-24,47,39,14.0,6.0,9009,9,Connecticut
2006-05-25,46,41,20.0,8.0,9009,9,Connecticut
2006-05-26,27,41,3.0,6.0,9009,9,Connecticut
2006-05-27,46,37,3.0,8.0,9009,9,Connecticut
2006-05-28,30,42,11.0,8.0,9009,9,Connecticut
2006-05-29,47,106,85.0,9.0,9009,9,Connecticut
2006-05-30,31,77,4.0,8.0,9009,9,Connecticut
2006-05-31,24,31,43.0,7.0,9009,9,Connecticut
2006-06-01,38,32,56.0,8.0,9009,9,Connecticut
2006-06-02,55,23,23.0,9.0,9009,9,Connecticut
2006-06-03,14,23,1.0,7.0,9009,9,Connecticut
2006-06-04,26,23,7.0,6.0,9009,9,Connecticut
2006-06-05,31,19,11.0,8.0,9009,9,Connecticut
2006-06-06,29,33,6.0,8.0,9009,9,Connecticut
2006-06-07,13,26,1.0,7.0,9009,9,Connecticut
2006-06-08,32,19,14.0,7.0,9009,9,Connecticut
2006-06-09,37,22,23.0,7.0,9009,9,Connecticut
2006-06-10,10,24,19.0,7.0,9009,9,Connecticut
2006-06-11,11,22,19.0,6.0,9009,9,Connecticut
2006-06-12,47,21,6.0,8.0,9009,9,Connecticut
2006-06-13,52,26,7.0,9.0,9009,9,Connecticut
2006-06-14,49,45,9.0,10.0,9009,9,Connecticut
2006-06-15,15,32,27.0,7.0,9009,9,Connecticut
2006-06-21,26,50,10.0,5.0,9009,9,Connecticut
2006-06-22,60,54,7.0,7.0,9009,9,Connecticut
2006-06-23,42,43,14.0,7.0,9009,9,Connecticut
2006-06-24,26,14,14.0,6.0,9009,9,Connecticut
2006-06-25,12,19,3.0,6.0,9009,9,Connecticut
2006-06-26,11,13,1.0,5.0,9009,9,Connecticut
2006-06-27,8,12,4.0,5.0,9009,9,Connecticut
2006-06-28,43,25,1.0,5.0,9009,9,Connecticut
2006-06-29,36,38,3.0,6.0,9009,9,Connecticut
2006-06-30,38,42,47.0,6.0,9009,9,Connecticut
2006-07-01,46,71,41.0,7.0,9009,9,Connecticut
