Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-01,36,3,37.0,13.0,36081,36,New York
2000-01-02,42,10,41.0,18.0,36081,36,New York
2000-01-03,39,14,27.0,8.0,36081,36,New York
2000-01-04,39,14,17.0,6.0,36081,36,New York
2000-01-05,22,21,7.0,2.0,36081,36,New York
2000-01-06,42,17,20.0,5.0,36081,36,New York
2000-01-07,46,14,39.0,10.0,36081,36,New York
2000-01-08,35,14,31.0,7.0,36081,36,New York
2000-01-09,42,7,31.0,8.0,36081,36,New York
2000-01-10,34,14,19.0,8.0,36081,36,New York
2000-01-11,38,13,14.0,3.0,36081,36,New York
2000-01-12,39,16,14.0,8.0,36081,36,New York
2000-01-13,34,20,13.0,8.0,36081,36,New York
2000-01-14,18,23,9.0,5.0,36081,36,New York
2000-01-15,43,14,24.0,10.0,36081,36,New York
2000-01-16,27,26,24.0,9.0,36081,36,New York
2000-01-17,22,25,11.0,6.0,36081,36,New York
2000-01-18,35,16,51.0,6.0,36081,36,New York
2000-01-19,42,14,61.0,9.0,36081,36,New York
2000-01-20,47,12,52.0,11.0,36081,36,New York
2000-01-21,27,22,20.0,7.0,36081,36,New York
2000-01-22,33,23,24.0,5.0,36081,36,New York
2000-01-23,41,11,59.0,9.0,36081,36,New York
2000-01-24,40,12,41.0,16.0,36081,36,New York
2000-01-25,25,22,14.0,15.0,36081,36,New York
2000-01-26,27,19,13.0,8.0,36081,36,New York
2000-01-27,24,20,10.0,7.0,36081,36,New York
2000-01-28,28,22,11.0,6.0,36081,36,New York
2000-01-29,45,19,40.0,9.0,36081,36,New York
2000-01-30,61,18,101.0,10.0,36081,36,New York
2000-01-31,36,14,55.0,7.0,36081,36,New York
2000-02-01,40,17,54.0,7.0,36081,36,New York
2000-02-02,30,23,14.0,6.0,36081,36,New York
2000-02-03,48,8,66.0,10.0,36081,36,New York
2000-02-04,41,4,40.0,14.0,36081,36,New York
2000-02-05,43,23,46.0,16.0,36081,36,New York
2000-02-06,46,21,36.0,9.0,36081,36,New York
2000-02-07,44,25,43.0,9.0,36081,36,New York
2000-02-08,50,25,30.0,11.0,36081,36,New York
2000-02-09,53,11,47.0,14.0,36081,36,New York
2000-02-10,55,13,59.0,17.0,36081,36,New York
2000-02-11,53,20,41.0,17.0,36081,36,New York
2000-02-12,45,25,30.0,17.0,36081,36,New York
2000-02-13,43,25,33.0,20.0,36081,36,New York
2000-02-14,36,16,26.0,14.0,36081,36,New York
2000-02-15,48,27,23.0,13.0,36081,36,New York
2000-02-16,51,23,44.0,17.0,36081,36,New York
2000-02-17,44,26,26.0,13.0,36081,36,New York
2000-02-18,43,20,23.0,15.0,36081,36,New York
2000-02-19,34,14,20.0,6.0,36081,36,New York
2000-02-20,37,30,26.0,6.0,36081,36,New York
2000-02-21,55,28,37.0,8.0,36081,36,New York
2000-02-22,57,19,52.0,16.0,36081,36,New York
2000-02-23,60,20,56.0,13.0,36081,36,New York
2000-02-24,56,4,39.0,14.0,36081,36,New York
2000-02-25,50,24,16.0,11.0,36081,36,New York
2000-02-26,28,24,17.0,5.0,36081,36,New York
2000-02-27,33,23,11.0,7.0,36081,36,New York
2000-02-28,26,24,9.0,5.0,36081,36,New York
2000-02-29,43,27,11.0,6.0,36081,36,New York
2000-03-01,42,17,13.0,7.0,36081,36,New York
2000-03-02,40,24,16.0,8.0,36081,36,New York
2000-03-03,23,29,6.0,3.0,36081,36,New York
2000-03-04,43,30,16.0,6.0,36081,36,New York
2000-03-05,49,25,24.0,8.0,36081,36,New York
2000-03-06,39,32,14.0,5.0,36081,36,New York
2000-03-07,64,15,59.0,16.0,36081,36,New York
2000-03-08,47,21,24.0,17.0,36081,36,New York
2000-03-09,81,15,26.0,15.0,36081,36,New York
2000-03-10,36,24,9.0,10.0,36081,36,New York
2000-03-11,25,22,4.0,5.0,36081,36,New York
2000-03-12,24,24,14.0,7.0,36081,36,New York
2000-03-13,45,29,17.0,8.0,36081,36,New York
2000-03-14,42,29,29.0,11.0,36081,36,New York
2000-03-15,49,30,23.0,10.0,36081,36,New York
2000-03-16,56,13,23.0,10.0,36081,36,New York
2000-03-17,35,28,4.0,9.0,36081,36,New York
2000-03-18,41,31,10.0,6.0,36081,36,New York
2000-03-19,43,29,14.0,7.0,36081,36,New York
2000-03-20,42,27,11.0,7.0,36081,36,New York
2000-03-21,18,24,9.0,5.0,36081,36,New York
2000-03-22,42,23,13.0,9.0,36081,36,New York
2000-03-23,64,17,24.0,17.0,36081,36,New York
2000-03-24,61,31,30.0,20.0,36081,36,New York
2000-03-25,64,36,29.0,9.0,36081,36,New York
2000-03-26,53,28,19.0,13.0,36081,36,New York
2000-03-27,39,8,16.0,7.0,36081,36,New York
2000-03-31,38,28,21.0,5.0,36081,36,New York
2000-04-01,50,30,21.0,10.0,36081,36,New York
2000-04-02,44,25,19.0,6.0,36081,36,New York
2000-04-03,40,22,16.0,10.0,36081,36,New York
2000-04-04,32,23,6.0,6.0,36081,36,New York
2000-04-05,42,25,16.0,6.0,36081,36,New York
2000-04-06,46,24,39.0,11.0,36081,36,New York
2000-04-07,38,39,13.0,6.0,36081,36,New York
2000-04-08,23,45,6.0,5.0,36081,36,New York
2000-04-09,30,29,9.0,3.0,36081,36,New York
2000-04-10,38,28,21.0,6.0,36081,36,New York
2000-04-11,39,14,10.0,6.0,36081,36,New York
2000-04-12,36,31,19.0,6.0,36081,36,New York
2000-04-13,37,31,11.0,3.0,36081,36,New York
2000-04-14,54,36,31.0,9.0,36081,36,New York
2000-04-15,49,5,13.0,9.0,36081,36,New York
2000-04-16,43,23,7.0,8.0,36081,36,New York
2000-04-17,25,32,4.0,7.0,36081,36,New York
2000-04-18,12,30,4.0,5.0,36081,36,New York
2000-04-19,17,31,7.0,5.0,36081,36,New York
2000-04-20,31,31,6.0,7.0,36081,36,New York
2000-04-21,20,32,3.0,5.0,36081,36,New York
2000-04-22,25,31,3.0,5.0,36081,36,New York
2000-04-23,20,20,6.0,5.0,36081,36,New York
2000-04-24,40,40,10.0,6.0,36081,36,New York
2000-04-25,25,31,11.0,6.0,36081,36,New York
2000-04-26,19,27,6.0,5.0,36081,36,New York
2000-04-27,45,20,27.0,7.0,36081,36,New York
2000-04-28,60,19,19.0,9.0,36081,36,New York
2000-04-29,57,35,16.0,13.0,36081,36,New York
2000-04-30,51,41,17.0,8.0,36081,36,New York
2000-05-01,54,36,41.0,9.0,36081,36,New York
2000-05-02,58,37,14.0,8.0,36081,36,New York
2000-05-03,47,45,7.0,7.0,36081,36,New York
2000-05-04,43,40,10.0,6.0,36081,36,New York
2000-05-05,72,31,37.0,13.0,36081,36,New York
2000-05-06,81,104,37.0,24.0,36081,36,New York
2000-05-07,55,93,30.0,15.0,36081,36,New York
2000-05-08,86,50,37.0,15.0,36081,36,New York
2000-05-09,84,84,27.0,14.0,36081,36,New York
2000-05-10,38,24,9.0,8.0,36081,36,New York
2000-05-11,43,36,14.0,7.0,36081,36,New York
2000-05-12,47,36,11.0,9.0,36081,36,New York
2000-05-13,36,31,9.0,9.0,36081,36,New York
2000-05-14,46,41,11.0,9.0,36081,36,New York
2000-05-15,53,38,21.0,7.0,36081,36,New York
2000-05-16,61,39,54.0,11.0,36081,36,New York
2000-05-17,60,51,24.0,8.0,36081,36,New York
2000-05-18,57,40,14.0,10.0,36081,36,New York
2000-05-19,37,24,20.0,10.0,36081,36,New York
2000-05-20,32,25,11.0,7.0,36081,36,New York
2000-05-21,40,26,7.0,9.0,36081,36,New York
2000-05-22,35,21,17.0,9.0,36081,36,New York
2000-05-23,50,36,60.0,11.0,36081,36,New York
2000-05-24,62,38,21.0,9.0,36081,36,New York
2000-05-25,60,42,24.0,9.0,36081,36,New York
2000-05-26,39,35,10.0,7.0,36081,36,New York
2000-05-27,44,29,16.0,8.0,36081,36,New York
2000-05-28,30,33,6.0,8.0,36081,36,New York
2000-05-29,22,26,7.0,6.0,36081,36,New York
2000-05-30,30,30,7.0,5.0,36081,36,New York
2000-05-31,54,25,9.0,9.0,36081,36,New York
2000-06-01,101,58,33.0,18.0,36081,36,New York
2000-06-02,71,116,33.0,18.0,36081,36,New York
2000-06-03,42,32,14.0,8.0,36081,36,New York
2000-06-04,49,37,16.0,11.0,36081,36,New York
2000-06-05,32,29,13.0,9.0,36081,36,New York
2000-06-06,28,27,7.0,7.0,36081,36,New York
2000-06-07,54,33,26.0,9.0,36081,36,New York
2000-06-08,69,42,33.0,17.0,36081,36,New York
2000-06-09,67,132,36.0,9.0,36081,36,New York
2000-06-10,53,201,24.0,10.0,36081,36,New York
2000-06-11,34,109,23.0,9.0,36005,36,New York
2000-06-12,29,17,7.0,7.0,36005,36,New York
2000-06-13,27,19,7.0,6.0,36081,36,New York
2000-06-14,27,19,4.0,6.0,36081,36,New York
2000-06-15,53,23,11.0,13.0,36081,36,New York
2000-06-16,62,44,33.0,14.0,36081,36,New York
2000-06-17,39,58,26.0,10.0,36081,36,New York
2000-06-18,38,32,9.0,7.0,36081,36,New York
2000-06-19,44,29,20.0,10.0,36081,36,New York
2000-06-20,41,67,14.0,14.0,36081,36,New York
2000-06-21,47,42,47.0,8.0,36081,36,New York
2000-06-22,39,41,26.0,8.0,36081,36,New York
2000-06-23,47,41,17.0,7.0,36081,36,New York
2000-06-24,47,87,11.0,13.0,36081,36,New York
2000-06-25,36,39,10.0,8.0,36081,36,New York
2000-06-26,53,49,37.0,8.0,36081,36,New York
2000-06-27,39,42,24.0,8.0,36081,36,New York
2000-06-28,45,48,11.0,7.0,36081,36,New York
2000-06-29,47,40,10.0,36.0,36081,36,New York
2000-06-30,46,41,17.0,38.0,36081,36,New York
2000-07-01,73,46,17.0,22.0,36081,36,New York
2000-07-02,78,97,29.0,13.0,36081,36,New York
2000-07-03,67,84,27.0,10.0,36081,36,New York
2000-07-04,61,47,17.0,23.0,36081,36,New York
2000-07-05,35,42,9.0,23.0,36081,36,New York
2000-07-06,42,45,11.0,17.0,36081,36,New York
2000-07-07,23,30,11.0,16.0,36081,36,New York
2000-07-08,41,32,10.0,11.0,36081,36,New York
2000-07-09,42,48,21.0,15.0,36081,36,New York
2000-07-10,37,49,23.0,8.0,36081,36,New York
2000-07-11,56,44,11.0,8.0,36081,36,New York
2000-07-12,72,48,26.0,8.0,36081,36,New York
2000-07-13,56,54,29.0,9.0,36081,36,New York
2000-07-14,42,33,24.0,8.0,36081,36,New York
