Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2001-08-16,49,33,6.0,7.0,34013,34,New Jersey
2001-08-17,42,67,20.0,3.0,34013,34,New Jersey
2001-08-18,51,51,21.0,5.0,34013,34,New Jersey
2001-08-19,48,67,33.0,7.0,34013,34,New Jersey
2001-08-20,44,42,89.0,5.0,34013,34,New Jersey
2001-08-21,51,45,29.0,3.0,34013,34,New Jersey
2001-08-22,58,61,10.0,5.0,34013,34,New Jersey
2001-08-24,35,46,3.0,5.0,34013,34,New Jersey
2001-08-25,31,27,30.0,3.0,34013,34,New Jersey
2001-08-26,26,34,13.0,3.0,34013,34,New Jersey
2001-08-27,52,40,16.0,6.0,34013,34,New Jersey
2001-08-28,46,46,11.0,7.0,34013,34,New Jersey
2001-08-29,32,33,1.0,5.0,34013,34,New Jersey
2001-08-30,39,36,7.0,6.0,34013,34,New Jersey
2001-08-31,41,25,4.0,6.0,34013,34,New Jersey
2001-09-01,16,22,1.0,5.0,34013,34,New Jersey
2001-09-02,35,30,14.0,3.0,34013,34,New Jersey
2001-09-03,32,10,1.0,7.0,34013,34,New Jersey
2001-09-04,42,20,6.0,8.0,34013,34,New Jersey
2001-09-05,46,25,3.0,7.0,34013,34,New Jersey
2001-09-06,45,20,13.0,7.0,34013,34,New Jersey
2001-09-07,54,48,9.0,8.0,34013,34,New Jersey
2001-09-08,25,41,4.0,6.0,34013,34,New Jersey
2001-09-09,25,28,3.0,5.0,34013,34,New Jersey
2001-09-10,34,14,13.0,7.0,34013,34,New Jersey
2001-09-11,24,30,1.0,6.0,34013,34,New Jersey
2001-09-12,26,23,13.0,5.0,34013,34,New Jersey
2001-09-13,53,61,10.0,8.0,34013,34,New Jersey
2001-09-14,22,17,1.0,9.0,34013,34,New Jersey
2001-09-15,36,26,7.0,9.0,34013,34,New Jersey
2001-09-16,42,37,9.0,13.0,34013,34,New Jersey
2001-09-17,42,27,17.0,15.0,34013,34,New Jersey
2001-09-18,63,34,16.0,11.0,34013,34,New Jersey
2001-09-19,49,51,46.0,14.0,34013,34,New Jersey
2001-09-20,38,39,6.0,7.0,34013,34,New Jersey
2001-09-21,50,16,13.0,11.0,34013,34,New Jersey
2001-09-22,47,32,9.0,11.0,34013,34,New Jersey
2001-09-23,40,35,9.0,11.0,34013,34,New Jersey
2001-09-24,51,20,9.0,8.0,34013,34,New Jersey
2001-09-25,41,8,7.0,10.0,34013,34,New Jersey
2001-09-26,35,17,13.0,9.0,34013,34,New Jersey
2001-09-27,42,13,14.0,11.0,34013,34,New Jersey
2001-09-28,33,13,7.0,7.0,34013,34,New Jersey
2001-09-29,18,16,4.0,6.0,34013,34,New Jersey
2001-09-30,19,21,1.0,3.0,34013,34,New Jersey
2001-10-01,35,17,4.0,17.0,34013,34,New Jersey
2001-10-02,99,31,14.0,34.0,34013,34,New Jersey
2001-10-03,69,46,16.0,22.0,34013,34,New Jersey
2001-10-04,69,50,13.0,13.0,34013,34,New Jersey
2001-10-05,61,44,11.0,14.0,34013,34,New Jersey
2001-10-12,48,17,14.0,13.0,34013,34,New Jersey
2001-10-13,100,29,141.0,16.0,34013,34,New Jersey
2001-10-14,27,25,60.0,7.0,34013,34,New Jersey
2001-10-15,36,23,4.0,9.0,34013,34,New Jersey
2001-10-16,41,23,27.0,14.0,34013,34,New Jersey
2001-10-17,20,20,4.0,7.0,34013,34,New Jersey
2001-10-18,57,21,19.0,19.0,34013,34,New Jersey
2001-10-19,60,14,24.0,26.0,34013,34,New Jersey
2001-10-20,68,29,20.0,19.0,34013,34,New Jersey
2001-10-21,79,39,26.0,22.0,34013,34,New Jersey
2001-10-22,47,18,60.0,15.0,34013,34,New Jersey
2001-10-23,46,23,64.0,9.0,34013,34,New Jersey
2001-10-24,50,19,19.0,14.0,34013,34,New Jersey
2001-10-25,39,25,16.0,10.0,34013,34,New Jersey
2001-10-26,40,23,3.0,6.0,34013,34,New Jersey
2001-10-27,22,16,6.0,6.0,34013,34,New Jersey
2001-10-28,26,25,1.0,6.0,34013,34,New Jersey
2001-10-29,44,14,24.0,13.0,34013,34,New Jersey
2001-10-30,42,21,24.0,8.0,34013,34,New Jersey
2001-10-31,52,8,21.0,24.0,34013,34,New Jersey
2001-11-01,72,20,17.0,19.0,34013,34,New Jersey
2001-11-02,50,19,7.0,11.0,34013,34,New Jersey
2001-11-03,49,20,3.0,10.0,34013,34,New Jersey
2001-11-04,51,26,4.0,9.0,34013,34,New Jersey
2001-11-05,19,18,1.0,8.0,34013,34,New Jersey
2001-11-06,21,19,1.0,8.0,34013,34,New Jersey
2001-11-07,29,18,6.0,7.0,34013,34,New Jersey
2001-11-08,56,9,13.0,10.0,34013,34,New Jersey
2001-11-09,40,22,7.0,10.0,34013,34,New Jersey
2001-11-10,65,14,23.0,20.0,34013,34,New Jersey
2001-11-11,28,23,10.0,20.0,34013,34,New Jersey
2001-11-12,42,18,10.0,8.0,34013,34,New Jersey
2001-11-13,73,9,26.0,10.0,34013,34,New Jersey
2001-11-14,52,10,29.0,13.0,34013,34,New Jersey
2001-11-15,63,15,20.0,15.0,34013,34,New Jersey
2001-11-16,55,21,14.0,11.0,34013,34,New Jersey
2001-11-17,41,11,36.0,11.0,34013,34,New Jersey
2001-11-18,46,16,7.0,14.0,34013,34,New Jersey
2001-11-19,54,6,11.0,14.0,34013,34,New Jersey
2001-11-20,40,15,11.0,9.0,34013,34,New Jersey
2001-11-26,44,11,9.0,14.0,34013,34,New Jersey
2001-11-27,34,3,16.0,13.0,34013,34,New Jersey
2001-11-28,42,8,27.0,13.0,34013,34,New Jersey
2001-11-29,32,3,11.0,15.0,34013,34,New Jersey
2001-11-30,45,4,14.0,19.0,34013,34,New Jersey
2001-12-01,26,16,19.0,8.0,34013,34,New Jersey
2001-12-02,28,11,7.0,13.0,34013,34,New Jersey
2001-12-03,60,5,49.0,20.0,34013,34,New Jersey
2001-12-04,85,8,37.0,30.0,34013,34,New Jersey
2001-12-05,70,8,36.0,22.0,34013,34,New Jersey
2001-12-06,49,17,21.0,22.0,34013,34,New Jersey
2001-12-13,53,3,10.0,18.0,34013,34,New Jersey
2001-12-14,101,11,70.0,33.0,34013,34,New Jersey
2001-12-19,39,8,10.0,10.0,34013,34,New Jersey
2001-12-20,41,14,11.0,16.0,34013,34,New Jersey
2001-12-21,18,21,3.0,6.0,34013,34,New Jersey
2001-12-22,47,20,7.0,17.0,34013,34,New Jersey
2001-12-23,62,10,33.0,18.0,34013,34,New Jersey
2001-12-24,36,13,10.0,10.0,34013,34,New Jersey
2001-12-25,27,19,10.0,8.0,34013,34,New Jersey
2001-12-26,35,12,11.0,10.0,34013,34,New Jersey
2001-12-27,41,12,26.0,9.0,34013,34,New Jersey
2001-12-28,51,11,14.0,11.0,34013,34,New Jersey
2001-12-29,40,11,11.0,10.0,34013,34,New Jersey
2001-12-30,24,17,10.0,7.0,34013,34,New Jersey
2001-12-31,31,14,10.0,9.0,34013,34,New Jersey
2002-01-01,32,19,10.0,8.0,34013,34,New Jersey
2002-01-02,41,15,9.0,13.0,34013,34,New Jersey
2002-01-03,44,14,19.0,13.0,34013,34,New Jersey
2002-01-04,42,19,9.0,13.0,34013,34,New Jersey
2002-01-05,42,9,26.0,13.0,34013,34,New Jersey
2002-01-06,66,15,61.0,20.0,34013,34,New Jersey
2002-01-07,34,16,6.0,15.0,34013,34,New Jersey
2002-01-08,39,16,10.0,8.0,34013,34,New Jersey
2002-01-09,39,2,20.0,10.0,34013,34,New Jersey
2002-01-10,53,7,10.0,25.0,34013,34,New Jersey
2002-01-11,70,14,13.0,33.0,34013,34,New Jersey
2002-01-13,32,21,1.0,8.0,34013,34,New Jersey
2002-01-14,46,8,99.0,10.0,34013,34,New Jersey
2002-01-15,44,9,4.0,15.0,34013,34,New Jersey
2002-01-17,42,11,20.0,8.0,34013,34,New Jersey
2002-01-19,45,13,11.0,9.0,34013,34,New Jersey
2002-01-20,43,16,9.0,8.0,34013,34,New Jersey
2002-01-21,71,1,37.0,17.0,34013,34,New Jersey
2002-01-22,56,15,14.0,14.0,34013,34,New Jersey
2002-01-23,56,6,14.0,15.0,34013,34,New Jersey
2002-01-24,40,10,11.0,13.0,34013,34,New Jersey
2002-01-25,39,18,3.0,9.0,34013,34,New Jersey
2002-01-26,45,17,11.0,10.0,34013,34,New Jersey
2002-01-27,60,14,23.0,14.0,34013,34,New Jersey
2002-01-28,60,11,20.0,17.0,34013,34,New Jersey
2002-01-29,62,8,20.0,18.0,34013,34,New Jersey
2002-01-30,42,12,3.0,15.0,34013,34,New Jersey
2002-01-31,44,7,11.0,10.0,34013,34,New Jersey
2002-02-01,44,28,9.0,16.0,34013,34,New Jersey
2002-02-02,40,29,1.0,7.0,34013,34,New Jersey
2002-02-03,54,19,13.0,13.0,34013,34,New Jersey
2002-02-04,44,25,19.0,14.0,34013,34,New Jersey
2002-02-05,42,24,14.0,7.0,34013,34,New Jersey
2002-02-06,42,14,21.0,8.0,34013,34,New Jersey
2002-02-07,61,10,39.0,14.0,34013,34,New Jersey
2002-02-08,53,21,20.0,13.0,34013,34,New Jersey
2002-02-09,40,18,13.0,9.0,34013,34,New Jersey
2002-02-10,44,22,80.0,6.0,34013,34,New Jersey
2002-02-11,26,25,4.0,6.0,34013,34,New Jersey
2002-02-12,58,11,20.0,9.0,34013,34,New Jersey
2002-02-13,44,25,11.0,8.0,34013,34,New Jersey
