Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2011-01-26,30,32,4.0,5.0,40109,40,Oklahoma
2011-01-27,32,31,6.0,6.0,40109,40,Oklahoma
2011-01-28,31,31,3.0,7.0,40109,40,Oklahoma
2011-01-29,29,42,1.0,5.0,40109,40,Oklahoma
2011-01-30,10,23,1.0,5.0,40109,40,Oklahoma
2011-01-31,7,22,0.0,3.0,40109,40,Oklahoma
2011-02-01,4,33,1.0,3.0,40109,40,Oklahoma
2011-02-02,11,36,1.0,3.0,40109,40,Oklahoma
2011-02-03,11,35,7.0,5.0,40109,40,Oklahoma
2011-02-04,29,33,1.0,5.0,40109,40,Oklahoma
2011-02-05,24,28,1.0,6.0,40109,40,Oklahoma
2011-02-06,26,27,3.0,6.0,40109,40,Oklahoma
2011-02-07,26,31,0.0,6.0,40109,40,Oklahoma
2011-02-08,8,32,3.0,6.0,40109,40,Oklahoma
2011-02-09,12,36,4.0,5.0,40109,40,Oklahoma
2011-02-10,37,33,1.0,8.0,40109,40,Oklahoma
2011-02-11,34,36,6.0,8.0,40109,40,Oklahoma
2011-02-12,33,40,1.0,7.0,40109,40,Oklahoma
2011-02-13,21,39,1.0,6.0,40109,40,Oklahoma
2011-02-14,16,38,1.0,6.0,40109,40,Oklahoma
2011-02-15,45,44,1.0,10.0,40109,40,Oklahoma
2011-02-16,28,41,3.0,10.0,40109,40,Oklahoma
2011-02-17,11,35,0.0,6.0,40109,40,Oklahoma
2011-02-18,15,39,0.0,6.0,40109,40,Oklahoma
2011-02-19,8,37,0.0,7.0,40109,40,Oklahoma
2011-02-20,5,26,0.0,6.0,40109,40,Oklahoma
2011-02-21,8,30,0.0,6.0,40109,40,Oklahoma
2011-02-22,14,33,1.0,6.0,40109,40,Oklahoma
2011-02-23,10,33,1.0,7.0,40109,40,Oklahoma
2011-02-24,8,21,0.0,7.0,40109,40,Oklahoma
2011-02-25,7,22,0.0,6.0,40109,40,Oklahoma
2011-02-26,24,28,0.0,7.0,40109,40,Oklahoma
2011-02-27,6,32,0.0,7.0,40109,40,Oklahoma
