Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-01,25,16,6.0,19.0,6013,6,California
2000-01-02,16,19,11.0,7.0,6013,6,California
2000-01-03,36,11,17.0,17.0,6013,6,California
2000-01-04,35,13,13.0,18.0,6013,6,California
2000-01-05,26,22,1.0,14.0,6013,6,California
2000-01-06,33,8,3.0,16.0,6013,6,California
2000-01-07,41,13,11.0,19.0,6013,6,California
2000-01-08,35,8,7.0,18.0,6013,6,California
2000-01-09,22,16,7.0,24.0,6013,6,California
2000-01-10,29,13,3.0,9.0,6013,6,California
2000-01-11,13,17,3.0,8.0,6013,6,California
2000-01-12,33,8,16.0,17.0,6013,6,California
2000-01-13,28,5,14.0,20.0,6013,6,California
2000-01-14,30,7,16.0,17.0,6013,6,California
2000-01-15,25,19,3.0,19.0,6013,6,California
2000-01-16,31,23,1.0,10.0,6013,6,California
2000-01-17,25,10,4.0,13.0,6013,6,California
2000-01-18,23,9,4.0,9.0,6013,6,California
2000-01-19,19,10,3.0,9.0,6013,6,California
2000-01-20,25,15,7.0,8.0,6013,6,California
2000-01-21,28,14,3.0,16.0,6013,6,California
2000-01-22,19,10,4.0,13.0,6013,6,California
2000-01-23,19,10,1.0,8.0,6013,6,California
2000-01-24,17,14,3.0,8.0,6013,6,California
2000-01-25,25,15,4.0,10.0,6013,6,California
2000-01-26,26,13,9.0,11.0,6013,6,California
2000-01-27,29,16,9.0,19.0,6013,6,California
2000-01-28,30,12,4.0,23.0,6013,6,California
2000-01-29,33,14,4.0,17.0,6013,6,California
2000-01-30,23,19,4.0,11.0,6013,6,California
2000-01-31,31,14,3.0,13.0,6013,6,California
2000-02-01,28,17,1.0,7.0,6013,6,California
2000-02-02,34,11,3.0,10.0,6013,6,California
2000-02-03,20,19,4.0,10.0,6013,6,California
2000-02-04,29,10,3.0,10.0,6013,6,California
2000-02-05,30,19,6.0,11.0,6013,6,California
2000-02-06,27,19,1.0,15.0,6013,6,California
2000-02-07,42,11,3.0,20.0,6013,6,California
2000-02-08,31,5,17.0,17.0,6013,6,California
2000-02-09,26,13,6.0,10.0,6013,6,California
2000-02-10,33,14,1.0,9.0,6013,6,California
2000-02-11,25,24,4.0,11.0,6013,6,California
2000-02-12,20,20,1.0,5.0,6013,6,California
2000-02-13,14,18,1.0,5.0,6013,6,California
2000-02-14,24,24,0.0,6.0,6013,6,California
2000-02-15,32,20,3.0,20.0,6013,6,California
2000-02-16,36,14,3.0,9.0,6013,6,California
2000-02-17,35,19,9.0,10.0,6013,6,California
2000-02-18,30,16,1.0,16.0,6013,6,California
2000-02-19,25,17,3.0,16.0,6013,6,California
2000-02-20,22,23,1.0,8.0,6013,6,California
2000-02-21,28,22,3.0,7.0,6013,6,California
2000-02-22,25,30,6.0,8.0,6013,6,California
2000-02-23,32,29,13.0,9.0,6013,6,California
2000-02-24,27,27,1.0,9.0,6013,6,California
2000-02-25,27,21,3.0,5.0,6013,6,California
2000-02-28,17,31,7.0,2.0,6013,6,California
2000-02-29,29,31,4.0,7.0,6013,6,California
2000-03-01,31,26,7.0,15.0,6013,6,California
2000-03-02,19,25,3.0,6.0,6013,6,California
2000-03-03,25,23,10.0,8.0,6013,6,California
2000-03-04,25,26,1.0,7.0,6013,6,California
2000-03-05,10,26,1.0,6.0,6013,6,California
2000-03-06,20,26,3.0,7.0,6013,6,California
2000-03-07,32,25,1.0,8.0,6013,6,California
2000-03-08,36,27,3.0,8.0,6013,6,California
2000-03-09,23,35,1.0,6.0,6013,6,California
2000-03-10,35,29,6.0,19.0,6013,6,California
2000-03-11,29,35,9.0,7.0,6013,6,California
2000-03-12,26,32,9.0,9.0,6013,6,California
2000-03-13,16,26,11.0,6.0,6013,6,California
2000-03-14,28,28,16.0,7.0,6013,6,California
2000-03-15,26,32,10.0,9.0,6013,6,California
2000-03-16,15,31,4.0,6.0,6013,6,California
2000-03-17,33,34,40.0,6.0,6013,6,California
2000-03-18,30,35,16.0,8.0,6013,6,California
2000-03-19,11,31,6.0,5.0,6013,6,California
2000-03-20,2,36,0.0,3.0,6013,6,California
2000-03-21,35,37,7.0,5.0,6013,6,California
2000-03-22,33,42,6.0,11.0,6013,6,California
2000-03-23,23,30,4.0,5.0,6013,6,California
2000-03-24,15,30,9.0,6.0,6013,6,California
2000-03-25,13,36,4.0,5.0,6013,6,California
2000-03-26,17,35,7.0,5.0,6013,6,California
2000-03-27,9,32,1.0,3.0,6013,6,California
2000-03-28,21,27,4.0,5.0,6013,6,California
2000-03-29,30,37,7.0,8.0,6013,6,California
2000-03-30,29,45,4.0,6.0,6013,6,California
2000-03-31,9,42,0.0,3.0,6013,6,California
2000-04-01,42,41,3.0,10.0,6013,6,California
2000-04-02,32,50,9.0,15.0,6013,6,California
2000-04-03,28,34,13.0,7.0,6013,6,California
2000-04-04,10,30,1.0,6.0,6013,6,California
2000-04-05,24,25,4.0,6.0,6013,6,California
2000-04-06,23,34,4.0,6.0,6013,6,California
2000-04-07,25,42,6.0,7.0,6013,6,California
