Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2010-12-22,38,11,1.0,11.0,32031,32,Nevada
2010-12-23,46,11,6.0,15.0,32031,32,Nevada
2010-12-24,40,10,1.0,5.0,32031,32,Nevada
2010-12-25,27,32,0.0,5.0,32031,32,Nevada
2010-12-26,24,35,0.0,1.0,32031,32,Nevada
2010-12-27,42,23,1.0,3.0,32031,32,Nevada
2010-12-28,42,33,4.0,10.0,32031,32,Nevada
2010-12-29,16,29,0.0,1.0,32031,32,Nevada
2010-12-30,42,28,0.0,5.0,32031,32,Nevada
2010-12-31,27,25,0.0,7.0,32031,32,Nevada
2011-01-01,25,22,0.0,3.0,32031,32,Nevada
2011-01-02,37,21,0.0,7.0,32031,32,Nevada
2011-01-03,39,19,1.0,8.0,32031,32,Nevada
2011-01-04,45,12,1.0,8.0,32031,32,Nevada
2011-01-05,42,10,1.0,10.0,32031,32,Nevada
2011-01-06,39,8,3.0,10.0,32031,32,Nevada
2011-01-07,44,8,3.0,13.0,32031,32,Nevada
2011-01-08,55,7,6.0,16.0,32031,32,Nevada
2011-01-09,40,26,0.0,10.0,32031,32,Nevada
2011-01-10,38,21,0.0,5.0,32031,32,Nevada
2011-01-11,37,10,0.0,6.0,32031,32,Nevada
2011-01-12,48,10,4.0,14.0,32031,32,Nevada
2011-01-13,54,23,6.0,15.0,32031,32,Nevada
2011-01-14,46,14,4.0,9.0,32031,32,Nevada
2011-01-15,41,12,4.0,11.0,32031,32,Nevada
2011-01-16,31,18,1.0,11.0,32031,32,Nevada
2011-01-17,38,23,6.0,10.0,32031,32,Nevada
2011-01-18,45,22,4.0,9.0,32031,32,Nevada
2011-01-19,37,25,1.0,5.0,32031,32,Nevada
2011-01-20,40,18,3.0,7.0,32031,32,Nevada
2011-01-21,47,12,6.0,9.0,32031,32,Nevada
2011-01-22,37,25,4.0,10.0,32031,32,Nevada
2011-01-23,35,20,1.0,8.0,32031,32,Nevada
2011-01-24,45,16,7.0,10.0,32031,32,Nevada
2011-01-25,46,20,9.0,13.0,32031,32,Nevada
2011-01-26,37,19,4.0,7.0,32031,32,Nevada
2011-01-27,46,15,6.0,9.0,32031,32,Nevada
2011-01-28,63,19,10.0,14.0,32031,32,Nevada
2011-01-29,48,34,4.0,13.0,32031,32,Nevada
2011-01-30,32,32,0.0,5.0,32031,32,Nevada
2011-01-31,37,27,1.0,6.0,32031,32,Nevada
2011-02-01,37,30,3.0,8.0,32031,32,Nevada
2011-02-02,43,22,3.0,8.0,32031,32,Nevada
2011-02-03,48,19,4.0,9.0,32031,32,Nevada
2011-02-04,42,13,4.0,8.0,32031,32,Nevada
2011-02-05,43,24,6.0,13.0,32031,32,Nevada
2011-02-06,32,26,3.0,7.0,32031,32,Nevada
2011-02-07,42,32,6.0,10.0,32031,32,Nevada
2011-02-08,42,27,4.0,7.0,32031,32,Nevada
2011-02-09,40,28,3.0,7.0,32031,32,Nevada
2011-02-10,45,21,3.0,8.0,32031,32,Nevada
2011-02-11,44,20,3.0,7.0,32031,32,Nevada
2011-02-12,37,29,1.0,7.0,32031,32,Nevada
2011-02-13,48,20,3.0,9.0,32031,32,Nevada
2011-02-14,43,36,1.0,8.0,32031,32,Nevada
