Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-01,35,33,4.0,17.0,6073,6,California
2000-01-02,37,31,4.0,20.0,6073,6,California
2000-01-03,52,20,11.0,30.0,6073,6,California
2000-01-04,62,20,10.0,34.0,6073,6,California
2000-01-05,66,21,11.0,41.0,6073,6,California
2000-01-06,52,22,9.0,39.0,6073,6,California
2000-01-07,57,22,14.0,40.0,6073,6,California
2000-01-08,52,17,13.0,33.0,6073,6,California
2000-01-09,65,26,27.0,41.0,6073,6,California
2000-01-10,80,26,9.0,42.0,6073,6,California
2000-01-11,58,19,14.0,34.0,6073,6,California
2000-01-12,60,15,4.0,31.0,6073,6,California
2000-01-13,101,11,17.0,61.0,6073,6,California
2000-01-14,100,16,17.0,65.0,6073,6,California
2000-01-15,52,19,19.0,44.0,6073,6,California
2000-01-16,52,8,7.0,47.0,6073,6,California
2000-01-17,41,3,7.0,28.0,6073,6,California
2000-01-18,62,19,30.0,36.0,6073,6,California
2000-01-19,79,14,11.0,38.0,6073,6,California
2000-01-20,54,14,9.0,23.0,6073,6,California
2000-01-21,34,23,4.0,19.0,6073,6,California
2000-01-22,37,30,7.0,22.0,6073,6,California
2000-01-23,40,19,6.0,24.0,6073,6,California
2000-01-24,58,16,11.0,32.0,6073,6,California
2000-01-25,48,20,79.0,24.0,6073,6,California
2000-01-26,39,24,13.0,27.0,6073,6,California
2000-01-27,54,21,7.0,34.0,6073,6,California
2000-01-28,55,18,10.0,40.0,6073,6,California
2000-01-29,51,36,4.0,42.0,6073,6,California
2000-01-30,33,31,14.0,24.0,6073,6,California
2000-01-31,39,25,9.0,23.0,6073,6,California
2000-02-01,62,31,9.0,39.0,6073,6,California
2000-02-02,58,36,4.0,40.0,6073,6,California
2000-02-03,56,31,20.0,32.0,6073,6,California
2000-02-04,49,31,24.0,25.0,6073,6,California
2000-02-05,37,24,4.0,20.0,6073,6,California
2000-02-06,43,32,4.0,14.0,6073,6,California
2000-02-07,61,22,10.0,31.0,6073,6,California
2000-02-08,84,10,16.0,38.0,6073,6,California
2000-02-09,44,27,10.0,32.0,6073,6,California
2000-02-10,31,30,49.0,13.0,6073,6,California
2000-02-11,42,30,6.0,24.0,6073,6,California
2000-02-12,38,34,6.0,25.0,6073,6,California
2000-02-13,33,32,9.0,17.0,6073,6,California
2000-02-14,32,18,7.0,14.0,6073,6,California
2000-02-15,39,19,7.0,15.0,6073,6,California
2000-02-16,34,35,43.0,16.0,6073,6,California
2000-02-17,38,31,4.0,15.0,6073,6,California
2000-02-18,47,34,11.0,24.0,6073,6,California
2000-02-19,41,34,17.0,26.0,6073,6,California
2000-02-20,38,33,20.0,15.0,6073,6,California
2000-02-21,33,35,6.0,14.0,6073,6,California
