Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-01,25,25,4.0,7.0,6075,6,California
2000-01-02,36,24,4.0,6.0,6075,6,California
2000-01-03,43,8,7.0,18.0,6075,6,California
2000-01-04,43,7,7.0,18.0,6075,6,California
2000-01-05,46,10,7.0,26.0,6075,6,California
2000-01-06,52,4,11.0,28.0,6075,6,California
2000-01-07,47,14,14.0,20.0,6075,6,California
2000-01-08,33,14,4.0,10.0,6075,6,California
2000-01-09,31,23,4.0,9.0,6075,6,California
2000-01-10,28,16,4.0,8.0,6075,6,California
2000-01-11,32,14,3.0,10.0,6075,6,California
2000-01-12,45,5,6.0,16.0,6075,6,California
2000-01-13,43,8,4.0,19.0,6075,6,California
2000-01-14,34,3,11.0,25.0,6075,6,California
2000-01-15,33,26,9.0,25.0,6075,6,California
2000-01-16,37,27,4.0,10.0,6075,6,California
2000-01-17,35,3,10.0,13.0,6075,6,California
2000-01-18,32,3,7.0,16.0,6075,6,California
2000-01-19,25,15,6.0,16.0,6075,6,California
2000-01-20,40,18,4.0,18.0,6075,6,California
2000-01-21,37,14,4.0,26.0,6075,6,California
2000-01-22,30,12,6.0,11.0,6075,6,California
2000-01-23,23,18,3.0,10.0,6075,6,California
2000-01-24,39,10,4.0,14.0,6075,6,California
2000-01-25,33,19,3.0,14.0,6075,6,California
2000-01-26,40,8,11.0,14.0,6075,6,California
2000-01-27,34,7,11.0,20.0,6075,6,California
2000-01-28,36,6,6.0,22.0,6075,6,California
2000-01-29,45,22,16.0,18.0,6075,6,California
2000-01-30,19,25,4.0,13.0,6075,6,California
2000-01-31,41,15,3.0,11.0,6075,6,California
2000-02-01,37,9,7.0,14.0,6075,6,California
2000-02-02,42,9,7.0,15.0,6075,6,California
2000-02-03,47,22,7.0,22.0,6075,6,California
2000-02-04,38,25,3.0,11.0,6075,6,California
2000-02-05,38,25,4.0,16.0,6075,6,California
2000-02-06,39,14,4.0,20.0,6075,6,California
2000-02-07,40,5,6.0,16.0,6075,6,California
2000-02-08,36,9,4.0,15.0,6075,6,California
2000-02-09,28,20,4.0,10.0,6075,6,California
2000-02-10,40,17,3.0,11.0,6075,6,California
2000-02-11,35,24,4.0,16.0,6075,6,California
2000-02-12,29,24,1.0,6.0,6075,6,California
2000-02-13,13,26,3.0,6.0,6075,6,California
2000-02-14,35,31,1.0,8.0,6075,6,California
2000-02-15,46,9,7.0,14.0,6075,6,California
2000-02-16,43,17,6.0,16.0,6075,6,California
2000-02-17,50,19,4.0,23.0,6075,6,California
2000-02-18,38,13,9.0,14.0,6075,6,California
2000-02-19,41,12,17.0,15.0,6075,6,California
2000-02-20,33,31,7.0,13.0,6075,6,California
2000-02-21,30,28,10.0,7.0,6075,6,California
2000-02-22,22,28,1.0,7.0,6075,6,California
2000-02-23,50,18,4.0,15.0,6075,6,California
2000-02-24,42,21,6.0,14.0,6075,6,California
2000-02-25,39,27,7.0,10.0,6075,6,California
2000-02-26,14,33,1.0,8.0,6075,6,California
2000-02-27,22,35,1.0,6.0,6075,6,California
2000-02-28,34,29,1.0,7.0,6075,6,California
2000-02-29,37,28,3.0,10.0,6075,6,California
2000-03-01,37,20,13.0,11.0,6075,6,California
2000-03-02,38,22,3.0,10.0,6075,6,California
2000-03-03,38,25,4.0,13.0,6075,6,California
