Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2013-08-01,7,19,0.0,3.0,53033,53,Washington
2013-08-02,21,13,0.0,2.0,53033,53,Washington
2013-08-03,23,24,11.0,2.0,53033,53,Washington
2013-08-04,24,31,4.0,2.0,53033,53,Washington
2013-08-05,39,26,6.0,3.0,53033,53,Washington
2013-08-06,30,30,7.0,2.0,53033,53,Washington
2013-08-07,32,26,7.0,3.0,53033,53,Washington
2013-08-08,20,24,1.0,2.0,53033,53,Washington
2013-08-09,36,20,11.0,3.0,53033,53,Washington
2013-08-10,26,19,4.0,2.0,53033,53,Washington
2013-08-11,23,27,1.0,2.0,53033,53,Washington
2013-08-12,21,27,3.0,2.0,53033,53,Washington
2013-08-13,16,34,1.0,2.0,53033,53,Washington
2013-08-16,25,27,4.0,3.0,53033,53,Washington
2013-08-17,23,21,16.0,2.0,53033,53,Washington
2013-08-18,6,24,0.0,2.0,53033,53,Washington
2013-08-19,25,29,1.0,2.0,53033,53,Washington
2013-08-20,8,28,1.0,1.0,53033,53,Washington
2013-08-21,22,28,1.0,2.0,53033,53,Washington
2013-08-22,38,19,9.0,3.0,53033,53,Washington
2013-08-23,6,23,0.0,3.0,53033,53,Washington
2013-08-24,18,30,6.0,2.0,53033,53,Washington
2013-08-25,22,23,3.0,3.0,53033,53,Washington
2013-08-26,22,21,3.0,3.0,53033,53,Washington
2013-08-27,25,21,3.0,3.0,53033,53,Washington
2013-08-28,36,20,3.0,3.0,53033,53,Washington
2013-08-29,16,14,1.0,2.0,53033,53,Washington
2013-08-30,14,31,1.0,2.0,53033,53,Washington
2013-08-31,34,21,3.0,3.0,53033,53,Washington
2013-09-01,28,32,1.0,3.0,53033,53,Washington
2013-09-02,25,25,1.0,3.0,53033,53,Washington
2013-09-03,31,15,1.0,3.0,53033,53,Washington
2013-09-04,33,14,4.0,3.0,53033,53,Washington
2013-09-05,25,11,9.0,3.0,53033,53,Washington
2013-09-06,19,17,0.0,2.0,53033,53,Washington
2013-09-07,23,16,10.0,3.0,53033,53,Washington
2013-09-08,37,24,1.0,3.0,53033,53,Washington
2014-04-01,19,30,0.0,2.0,53033,53,Washington
2014-04-02,31,37,1.0,3.0,53033,53,Washington
2014-04-03,22,31,0.0,3.0,53033,53,Washington
2014-04-04,21,39,1.0,2.0,53033,53,Washington
2014-04-05,20,33,1.0,2.0,53033,53,Washington
2014-04-06,8,34,0.0,2.0,53033,53,Washington
2014-04-07,17,29,3.0,3.0,53033,53,Washington
2014-04-08,12,31,0.0,2.0,53033,53,Washington
2014-04-09,12,35,0.0,2.0,53033,53,Washington
2014-04-10,10,34,0.0,2.0,53033,53,Washington
2014-04-11,12,40,0.0,2.0,53033,53,Washington
2014-04-12,18,38,0.0,2.0,53033,53,Washington
2014-04-13,42,39,1.0,3.0,53033,53,Washington
2014-04-14,37,40,3.0,5.0,53033,53,Washington
2014-04-15,12,40,0.0,2.0,53033,53,Washington
2014-04-16,20,30,0.0,3.0,53033,53,Washington
2014-04-17,20,39,0.0,3.0,53033,53,Washington
2014-04-18,14,38,0.0,2.0,53033,53,Washington
2014-04-19,21,40,1.0,3.0,53033,53,Washington
2014-04-20,34,44,1.0,2.0,53033,53,Washington
2014-04-25,26,38,0.0,3.0,53033,53,Washington
2015-04-24,13,35,0.0,2.0,53033,53,Washington
2015-04-25,24,36,1.0,2.0,53033,53,Washington
2015-04-26,11,38,0.0,3.0,53033,53,Washington
2015-04-27,31,25,0.0,3.0,53033,53,Washington
2015-04-28,16,22,0.0,3.0,53033,53,Washington
2015-04-30,39,41,0.0,3.0,53033,53,Washington
2015-05-01,11,44,0.0,3.0,53033,53,Washington
2015-05-02,8,45,0.0,2.0,53033,53,Washington
2015-05-03,48,46,4.0,3.0,53033,53,Washington
2015-05-04,25,43,1.0,3.0,53033,53,Washington
2015-05-05,8,39,0.0,2.0,53033,53,Washington
2015-05-06,9,25,0.0,2.0,53033,53,Washington
2015-05-08,14,38,1.0,3.0,53033,53,Washington
2015-05-09,24,46,4.0,3.0,53033,53,Washington
2015-05-10,34,36,1.0,3.0,53033,53,Washington
2015-05-11,14,28,0.0,2.0,53033,53,Washington
2015-05-12,14,23,0.0,2.0,53033,53,Washington
2015-05-13,17,29,0.0,2.0,53033,53,Washington
2015-05-14,28,32,1.0,3.0,53033,53,Washington
2015-05-15,26,30,1.0,2.0,53033,53,Washington
2015-05-16,8,30,0.0,2.0,53033,53,Washington
2015-05-17,24,29,1.0,2.0,53033,53,Washington
2015-05-18,19,36,1.0,2.0,53033,53,Washington
2015-06-01,41,27,13.0,2.0,53033,53,Washington
2015-06-02,15,31,1.0,2.0,53033,53,Washington
2015-06-03,20,29,0.0,2.0,53033,53,Washington
2015-06-04,13,28,1.0,2.0,53033,53,Washington
2015-06-05,16,33,1.0,2.0,53033,53,Washington
2015-06-06,29,31,9.0,2.0,53033,53,Washington
2015-06-07,27,40,7.0,2.0,53033,53,Washington
2015-06-08,22,37,1.0,2.0,53033,53,Washington
2015-06-09,30,44,1.0,2.0,53033,53,Washington
2015-06-10,22,40,1.0,2.0,53033,53,Washington
2015-06-11,15,38,1.0,2.0,53033,53,Washington
2015-06-12,39,30,1.0,2.0,53033,53,Washington
2015-06-13,25,34,3.0,2.0,53033,53,Washington
2015-06-14,24,39,6.0,2.0,53033,53,Washington
2015-06-15,21,41,1.0,2.0,53033,53,Washington
2015-06-16,29,31,1.0,2.0,53033,53,Washington
2015-06-17,15,38,1.0,2.0,53033,53,Washington
2015-06-18,18,35,0.0,2.0,53033,53,Washington
2015-06-19,13,31,0.0,2.0,53033,53,Washington
2015-06-20,10,33,1.0,2.0,53033,53,Washington
2015-06-21,37,35,3.0,2.0,53033,53,Washington
2015-06-22,35,31,0.0,2.0,53033,53,Washington
2015-06-23,25,38,1.0,2.0,53033,53,Washington
2015-06-24,24,31,1.0,2.0,53033,53,Washington
2015-06-25,21,36,3.0,2.0,53033,53,Washington
2015-06-26,13,30,1.0,2.0,53033,53,Washington
2015-06-27,34,38,3.0,2.0,53033,53,Washington
2015-06-28,32,17,10.0,2.0,53033,53,Washington
2015-06-29,33,37,3.0,3.0,53033,53,Washington
2015-06-30,14,33,3.0,2.0,53033,53,Washington
2015-07-01,21,36,4.0,2.0,53033,53,Washington
2015-07-02,27,37,3.0,2.0,53033,53,Washington
