Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2008-10-01,0,22,0.0,1.0,36101,36,New York
2008-10-02,1,24,0.0,1.0,36101,36,New York
2008-10-03,2,23,11.0,1.0,36101,36,New York
2008-10-04,2,25,11.0,1.0,36101,36,New York
2008-10-05,2,28,11.0,1.0,36101,36,New York
2008-10-06,2,26,11.0,1.0,36101,36,New York
2008-10-07,3,26,0.0,1.0,36101,36,New York
2008-10-08,6,31,3.0,2.0,36101,36,New York
2008-10-09,2,31,1.0,1.0,36101,36,New York
2008-10-10,2,34,1.0,1.0,36101,36,New York
2008-10-11,5,37,1.0,1.0,36101,36,New York
2008-10-12,2,41,1.0,1.0,36101,36,New York
2008-10-13,7,50,14.0,1.0,36101,36,New York
2008-10-14,5,36,26.0,1.0,36101,36,New York
2008-10-15,4,34,10.0,1.0,36101,36,New York
2008-10-16,4,22,21.0,1.0,36101,36,New York
2008-10-17,2,20,0.0,1.0,36101,36,New York
2008-10-18,1,25,0.0,1.0,36101,36,New York
2008-10-19,8,29,0.0,1.0,36101,36,New York
2008-10-20,6,31,16.0,1.0,36101,36,New York
2008-10-21,6,19,13.0,1.0,36101,36,New York
2008-10-22,1,17,0.0,1.0,36101,36,New York
2008-10-23,5,21,6.0,1.0,36101,36,New York
2008-10-24,8,21,14.0,1.0,36101,36,New York
2008-10-25,4,25,3.0,1.0,36101,36,New York
2008-10-26,3,31,11.0,1.0,36101,36,New York
2008-10-27,2,25,0.0,1.0,36101,36,New York
2008-10-28,2,20,1.0,1.0,36101,36,New York
2008-10-29,2,21,0.0,1.0,36101,36,New York
2008-10-30,1,26,1.0,1.0,36101,36,New York
2008-10-31,8,42,17.0,2.0,36101,36,New York
2008-11-01,6,32,9.0,2.0,36101,36,New York
2008-11-02,4,25,9.0,1.0,36101,36,New York
2008-11-03,8,33,13.0,2.0,36101,36,New York
2008-11-04,6,35,3.0,2.0,36101,36,New York
2008-11-05,8,33,3.0,2.0,36101,36,New York
2008-11-06,4,31,3.0,2.0,36101,36,New York
2008-11-07,4,25,4.0,2.0,36101,36,New York
2008-11-08,5,25,4.0,1.0,36101,36,New York
2008-11-09,4,13,4.0,1.0,36101,36,New York
2008-11-10,4,21,4.0,1.0,36101,36,New York
2008-11-11,9,19,1.0,1.0,36101,36,New York
2008-11-12,2,17,3.0,1.0,36101,36,New York
2008-11-13,6,19,4.0,1.0,36101,36,New York
2008-11-14,3,23,1.0,2.0,36101,36,New York
2008-11-15,1,14,3.0,2.0,36101,36,New York
2008-11-16,0,22,0.0,1.0,36101,36,New York
2008-11-17,0,25,0.0,1.0,36101,36,New York
2008-11-18,0,25,0.0,1.0,36101,36,New York
2008-11-19,0,25,0.0,1.0,36101,36,New York
2008-11-20,1,23,11.0,2.0,36101,36,New York
2008-11-21,1,24,1.0,1.0,36101,36,New York
2008-11-22,1,24,1.0,1.0,36101,36,New York
2008-11-23,2,21,27.0,1.0,36101,36,New York
2008-11-24,2,22,33.0,2.0,36101,36,New York
2008-11-25,1,21,7.0,2.0,36101,36,New York
2008-11-26,1,22,3.0,2.0,36101,36,New York
2008-11-27,1,19,23.0,2.0,36101,36,New York
2008-11-28,1,22,17.0,2.0,36101,36,New York
2008-11-29,0,24,1.0,2.0,36101,36,New York
2008-11-30,1,18,1.0,2.0,36101,36,New York
2008-12-01,0,21,9.0,2.0,36101,36,New York
2008-12-10,7,20,7.0,2.0,36101,36,New York
2008-12-11,11,14,3.0,2.0,36101,36,New York
2008-12-12,8,22,1.0,2.0,36101,36,New York
2008-12-13,6,25,16.0,1.0,36101,36,New York
2008-12-14,12,21,7.0,2.0,36101,36,New York
2008-12-15,3,25,3.0,2.0,36101,36,New York
2008-12-16,5,19,1.0,2.0,36101,36,New York
2008-12-17,9,17,9.0,2.0,36101,36,New York
2008-12-18,8,17,3.0,2.0,36101,36,New York
2008-12-19,18,19,4.0,2.0,36101,36,New York
2008-12-20,6,20,1.0,2.0,36101,36,New York
2008-12-21,12,27,10.0,2.0,36101,36,New York
2008-12-22,5,26,4.0,2.0,36101,36,New York
2008-12-23,5,19,11.0,2.0,36101,36,New York
2008-12-29,5,30,10.0,1.0,36101,36,New York
2008-12-30,3,28,1.0,1.0,36101,36,New York
2008-12-31,4,26,1.0,1.0,36101,36,New York
2009-01-01,1,28,1.0,1.0,36101,36,New York
2009-01-02,4,24,6.0,2.0,36101,36,New York
2009-01-03,5,24,3.0,2.0,36101,36,New York
2009-01-04,9,26,11.0,2.0,36101,36,New York
2009-01-05,5,29,10.0,2.0,36101,36,New York
2009-01-06,8,25,3.0,2.0,36101,36,New York
2009-01-07,16,13,7.0,2.0,36101,36,New York
2009-01-08,9,29,4.0,2.0,36101,36,New York
2009-01-09,6,27,1.0,2.0,36101,36,New York
2009-01-10,9,19,6.0,2.0,36101,36,New York
2009-01-11,8,31,1.0,2.0,36101,36,New York
2009-01-12,4,25,9.0,2.0,36101,36,New York
2009-01-14,8,28,0.0,2.0,36101,36,New York
2009-01-15,8,25,4.0,2.0,36101,36,New York
2009-01-16,7,25,7.0,2.0,36101,36,New York
2009-01-17,8,25,27.0,2.0,36101,36,New York
2009-01-18,11,21,24.0,2.0,36101,36,New York
2009-01-19,5,24,4.0,2.0,36101,36,New York
2009-01-20,8,23,6.0,3.0,36101,36,New York
2009-01-21,7,28,10.0,2.0,36101,36,New York
2009-01-22,8,25,16.0,2.0,36101,36,New York
2009-01-23,10,40,31.0,2.0,36101,36,New York
2009-01-24,6,31,1.0,2.0,36101,36,New York
2009-01-25,8,30,6.0,2.0,36101,36,New York
2009-01-26,3,32,4.0,2.0,36101,36,New York
2009-01-27,3,31,7.0,2.0,36101,36,New York
2009-01-29,5,30,13.0,2.0,36101,36,New York
2009-01-30,6,34,11.0,2.0,36101,36,New York
2009-01-31,5,32,27.0,2.0,36101,36,New York
2009-02-01,9,34,24.0,2.0,36101,36,New York
2009-02-02,7,32,7.0,2.0,36101,36,New York
2009-02-03,6,34,4.0,2.0,36101,36,New York
2009-02-04,2,31,1.0,1.0,36101,36,New York
2009-02-05,8,31,4.0,2.0,36101,36,New York
2009-02-06,7,31,26.0,2.0,36101,36,New York
2009-02-07,8,39,40.0,2.0,36101,36,New York
2009-02-08,4,33,1.0,2.0,36101,36,New York
2009-02-09,3,35,3.0,2.0,36101,36,New York
2009-02-10,7,28,16.0,2.0,36101,36,New York
2009-02-11,10,34,11.0,2.0,36101,36,New York
2009-02-12,2,31,3.0,2.0,36101,36,New York
2009-02-13,4,33,6.0,2.0,36101,36,New York
2009-02-14,4,28,7.0,2.0,36101,36,New York
2009-02-15,5,31,3.0,2.0,36101,36,New York
2009-02-16,1,31,1.0,1.0,36101,36,New York
2009-02-17,2,32,3.0,2.0,36101,36,New York
2009-02-18,8,25,19.0,2.0,36101,36,New York
2009-02-19,4,30,1.0,2.0,36101,36,New York
2009-02-20,1,31,1.0,1.0,36101,36,New York
2009-02-21,6,33,14.0,2.0,36101,36,New York
2009-02-22,6,32,13.0,2.0,36101,36,New York
2009-02-23,2,33,3.0,1.0,36101,36,New York
2009-02-24,4,30,3.0,2.0,36101,36,New York
2009-02-25,9,34,11.0,2.0,36101,36,New York
2009-02-26,9,40,10.0,2.0,36101,36,New York
2009-02-27,11,28,27.0,2.0,36101,36,New York
2009-02-28,3,30,1.0,2.0,36101,36,New York
2009-03-01,2,31,3.0,2.0,36101,36,New York
2009-03-02,1,30,3.0,1.0,36101,36,New York
