Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-06-01,12,44,1.0,0.0,20191,20,Kansas
2000-06-02,12,38,3.0,0.0,20191,20,Kansas
2000-06-03,10,47,1.0,0.0,20191,20,Kansas
2000-06-04,7,47,0.0,0.0,20191,20,Kansas
2000-06-05,12,42,1.0,1.0,20191,20,Kansas
2000-06-06,12,58,1.0,1.0,20191,20,Kansas
2000-06-07,5,111,3.0,0.0,20191,20,Kansas
2000-06-08,6,109,1.0,1.0,20191,20,Kansas
2000-06-09,5,44,1.0,1.0,20191,20,Kansas
2000-06-10,4,25,0.0,0.0,20191,20,Kansas
2000-06-11,5,40,1.0,0.0,20191,20,Kansas
2000-06-12,8,37,0.0,0.0,20191,20,Kansas
2000-06-13,5,36,17.0,0.0,20191,20,Kansas
2000-06-14,18,36,0.0,1.0,20191,20,Kansas
2000-06-15,19,74,1.0,1.0,20191,20,Kansas
2000-06-16,5,35,0.0,1.0,20191,20,Kansas
2000-06-17,7,30,0.0,0.0,20191,20,Kansas
2000-06-18,11,37,4.0,2.0,20191,20,Kansas
2000-06-19,5,23,0.0,0.0,20191,20,Kansas
2000-06-20,9,39,0.0,0.0,20191,20,Kansas
2000-06-21,11,47,0.0,0.0,20191,20,Kansas
2000-06-22,12,45,0.0,0.0,20191,20,Kansas
2000-06-23,4,38,0.0,0.0,20191,20,Kansas
2000-06-24,7,42,0.0,0.0,20191,20,Kansas
2000-06-25,4,42,1.0,0.0,20191,20,Kansas
2000-06-26,7,40,0.0,0.0,20191,20,Kansas
2000-06-27,7,39,3.0,0.0,20191,20,Kansas
2000-06-28,7,45,0.0,0.0,20191,20,Kansas
2000-06-29,8,50,1.0,0.0,20191,20,Kansas
2000-06-30,6,45,1.0,0.0,20191,20,Kansas
2000-07-01,6,44,0.0,0.0,20191,20,Kansas
2000-07-02,5,36,0.0,0.0,20191,20,Kansas
2000-07-03,4,47,0.0,0.0,20191,20,Kansas
2000-07-04,2,43,0.0,0.0,20191,20,Kansas
2000-07-05,7,49,1.0,0.0,20191,20,Kansas
2000-07-06,9,77,0.0,6.0,20191,20,Kansas
2000-07-07,10,104,1.0,5.0,20191,20,Kansas
2000-07-08,8,77,1.0,5.0,20191,20,Kansas
2000-07-09,4,51,1.0,5.0,20191,20,Kansas
2000-07-10,6,51,1.0,6.0,20191,20,Kansas
2000-07-11,16,87,1.0,6.0,20191,20,Kansas
2000-07-12,15,109,1.0,6.0,20191,20,Kansas
2000-07-13,22,51,0.0,7.0,20191,20,Kansas
2000-07-14,28,116,3.0,7.0,20191,20,Kansas
2000-07-15,21,109,1.0,7.0,20191,20,Kansas
2000-07-16,20,114,1.0,6.0,20191,20,Kansas
2000-07-17,14,71,0.0,5.0,20191,20,Kansas
2000-07-18,33,106,0.0,6.0,20191,20,Kansas
2000-07-19,13,48,16.0,6.0,20191,20,Kansas
2000-07-20,11,38,19.0,5.0,20191,20,Kansas
2000-07-21,8,67,1.0,6.0,20191,20,Kansas
2000-07-22,4,44,0.0,6.0,20191,20,Kansas
2000-07-23,8,39,1.0,7.0,20191,20,Kansas
