Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2011-08-26,25,49,62.0,2.0,56037,56,Wyoming
2011-08-27,14,51,34.0,1.0,56037,56,Wyoming
2011-08-28,8,44,7.0,1.0,56037,56,Wyoming
2011-08-29,7,47,3.0,1.0,56037,56,Wyoming
2011-08-30,22,47,9.0,0.0,56037,56,Wyoming
2011-08-31,8,46,1.0,0.0,56037,56,Wyoming
2011-09-01,8,58,1.0,0.0,56037,56,Wyoming
2011-09-02,12,44,7.0,1.0,56037,56,Wyoming
2011-09-03,13,41,6.0,0.0,56037,56,Wyoming
2011-09-26,24,33,20.0,1.0,56037,56,Wyoming
2011-09-27,17,42,4.0,2.0,56037,56,Wyoming
2011-09-28,18,37,3.0,2.0,56037,56,Wyoming
2011-09-29,19,37,6.0,2.0,56037,56,Wyoming
2011-09-30,18,36,20.0,3.0,56037,56,Wyoming
2011-10-01,20,40,6.0,3.0,56037,56,Wyoming
2011-10-02,16,37,0.0,3.0,56037,56,Wyoming
2011-10-03,12,38,37.0,3.0,56037,56,Wyoming
2011-10-04,8,31,1.0,5.0,56037,56,Wyoming
2011-10-05,2,33,0.0,5.0,56037,56,Wyoming
2011-10-06,7,31,0.0,5.0,56037,56,Wyoming
2011-10-07,6,28,0.0,6.0,56037,56,Wyoming
2011-10-08,5,19,0.0,6.0,56037,56,Wyoming
2011-10-09,10,29,7.0,6.0,56037,56,Wyoming
2011-10-10,13,33,0.0,6.0,56037,56,Wyoming
2011-10-11,3,31,1.0,6.0,56037,56,Wyoming
2011-10-12,4,37,1.0,7.0,56037,56,Wyoming
2011-10-13,12,34,0.0,7.0,56037,56,Wyoming
2011-10-14,23,25,0.0,7.0,56037,56,Wyoming
2011-10-15,11,29,0.0,8.0,56037,56,Wyoming
2011-10-16,19,31,1.0,8.0,56037,56,Wyoming
2011-10-17,3,33,0.0,8.0,56037,56,Wyoming
2011-10-18,15,36,6.0,9.0,56037,56,Wyoming
2011-10-19,45,36,94.0,10.0,56037,56,Wyoming
2011-10-20,12,33,0.0,9.0,56037,56,Wyoming
2011-10-21,18,33,0.0,9.0,56037,56,Wyoming
2011-10-22,8,32,1.0,9.0,56037,56,Wyoming
2011-10-23,19,30,0.0,10.0,56037,56,Wyoming
2011-10-24,22,33,0.0,10.0,56037,56,Wyoming
2011-10-25,9,34,1.0,10.0,56037,56,Wyoming
2011-10-26,9,27,4.0,10.0,56037,56,Wyoming
2011-10-27,12,34,1.0,2.0,56037,56,Wyoming
2011-10-28,19,37,1.0,2.0,56037,56,Wyoming
2011-10-29,11,36,0.0,3.0,56037,56,Wyoming
2011-10-30,8,31,1.0,2.0,56037,56,Wyoming
2011-10-31,11,31,0.0,2.0,56037,56,Wyoming
2011-11-01,13,27,10.0,3.0,56037,56,Wyoming
2011-11-02,26,30,3.0,3.0,56037,56,Wyoming
2011-11-03,27,25,21.0,5.0,56037,56,Wyoming
2011-11-04,20,31,6.0,5.0,56037,56,Wyoming
2011-11-05,5,31,0.0,5.0,56037,56,Wyoming
2011-11-06,12,32,0.0,5.0,56037,56,Wyoming
2011-11-07,8,31,9.0,5.0,56037,56,Wyoming
2011-11-08,5,30,1.0,6.0,56037,56,Wyoming
2011-11-09,22,29,0.0,6.0,56037,56,Wyoming
2011-11-10,17,29,0.0,7.0,56037,56,Wyoming
2011-11-11,18,28,0.0,7.0,56037,56,Wyoming
2011-11-12,14,37,0.0,7.0,56037,56,Wyoming
2011-11-13,9,34,1.0,7.0,56037,56,Wyoming
2011-11-14,2,36,0.0,7.0,56037,56,Wyoming
2011-11-15,3,32,0.0,7.0,56037,56,Wyoming
2011-11-16,17,34,4.0,1.0,56037,56,Wyoming
2011-11-17,20,31,0.0,1.0,56037,56,Wyoming
2011-11-18,13,32,3.0,1.0,56037,56,Wyoming
2011-11-19,27,34,0.0,2.0,56037,56,Wyoming
2011-11-20,25,26,19.0,2.0,56037,56,Wyoming
2011-11-21,30,24,6.0,3.0,56037,56,Wyoming
2011-11-22,31,27,0.0,3.0,56037,56,Wyoming
2011-11-23,25,26,1.0,3.0,56037,56,Wyoming
2011-11-24,28,18,11.0,3.0,56037,56,Wyoming
2011-11-25,23,32,0.0,3.0,56037,56,Wyoming
2011-11-26,17,32,6.0,3.0,56037,56,Wyoming
2011-11-27,9,31,0.0,3.0,56037,56,Wyoming
2011-11-28,18,26,0.0,5.0,56037,56,Wyoming
2011-11-29,17,27,1.0,5.0,56037,56,Wyoming
2011-11-30,8,27,0.0,5.0,56037,56,Wyoming
2011-12-01,14,26,0.0,5.0,56037,56,Wyoming
2011-12-02,22,22,10.0,6.0,56037,56,Wyoming
2011-12-03,9,28,16.0,6.0,56037,56,Wyoming
2011-12-04,8,28,3.0,6.0,56037,56,Wyoming
2011-12-05,17,28,0.0,6.0,56037,56,Wyoming
2011-12-06,3,31,0.0,7.0,56037,56,Wyoming
2011-12-07,8,31,0.0,7.0,56037,56,Wyoming
2011-12-08,8,31,1.0,7.0,56037,56,Wyoming
2011-12-09,9,33,1.0,7.0,56037,56,Wyoming
2011-12-10,19,21,9.0,8.0,56037,56,Wyoming
2011-12-11,42,16,75.0,9.0,56037,56,Wyoming
2011-12-12,31,16,29.0,9.0,56037,56,Wyoming
2011-12-13,25,20,0.0,8.0,56037,56,Wyoming
2011-12-14,16,31,1.0,8.0,56037,56,Wyoming
2011-12-15,16,26,0.0,8.0,56037,56,Wyoming
2011-12-16,22,30,0.0,8.0,56037,56,Wyoming
2011-12-17,27,24,4.0,9.0,56037,56,Wyoming
2011-12-18,26,21,26.0,13.0,56037,56,Wyoming
2011-12-19,24,25,9.0,10.0,56037,56,Wyoming
2011-12-20,26,29,4.0,9.0,56037,56,Wyoming
2011-12-21,8,30,17.0,1.0,56037,56,Wyoming
2011-12-22,33,25,94.0,1.0,56037,56,Wyoming
2011-12-23,15,29,0.0,1.0,56037,56,Wyoming
2011-12-24,16,29,0.0,1.0,56037,56,Wyoming
2011-12-25,20,21,0.0,2.0,56037,56,Wyoming
2011-12-26,19,30,1.0,2.0,56037,56,Wyoming
2011-12-27,17,29,3.0,2.0,56037,56,Wyoming
2011-12-28,19,29,0.0,2.0,56037,56,Wyoming
2011-12-29,4,25,0.0,2.0,56037,56,Wyoming
2011-12-30,8,28,0.0,3.0,56037,56,Wyoming
2011-12-31,11,30,0.0,3.0,56037,56,Wyoming
2012-01-01,13,23,17.0,3.0,56037,56,Wyoming
2012-01-02,24,15,49.0,5.0,56037,56,Wyoming
2012-01-03,21,24,3.0,5.0,56037,56,Wyoming
2012-01-04,19,25,1.0,5.0,56037,56,Wyoming
2012-01-05,12,25,0.0,5.0,56037,56,Wyoming
2012-01-06,17,28,6.0,5.0,56037,56,Wyoming
2012-01-07,23,28,4.0,5.0,56037,56,Wyoming
2012-01-08,4,26,1.0,5.0,56037,56,Wyoming
2012-01-09,7,24,6.0,6.0,56037,56,Wyoming
2012-01-10,8,25,1.0,6.0,56037,56,Wyoming
2012-01-11,4,31,1.0,6.0,56037,56,Wyoming
2012-01-12,10,29,3.0,6.0,56037,56,Wyoming
2012-01-13,4,31,0.0,1.0,56037,56,Wyoming
2012-01-14,10,31,1.0,1.0,56037,56,Wyoming
2012-01-15,14,28,1.0,1.0,56037,56,Wyoming
2012-01-16,11,31,4.0,2.0,56037,56,Wyoming
2012-01-17,11,30,0.0,2.0,56037,56,Wyoming
2012-01-19,3,27,1.0,2.0,56037,56,Wyoming
2012-01-20,7,31,0.0,3.0,56037,56,Wyoming
2012-01-21,14,27,1.0,3.0,56037,56,Wyoming
2012-01-22,7,31,0.0,3.0,56037,56,Wyoming
2012-01-23,27,30,0.0,3.0,56037,56,Wyoming
2012-01-24,20,30,3.0,3.0,56037,56,Wyoming
2012-01-25,22,28,0.0,5.0,56037,56,Wyoming
2012-01-26,7,29,0.0,5.0,56037,56,Wyoming
2012-01-27,5,32,1.0,5.0,56037,56,Wyoming
2012-01-28,4,35,0.0,5.0,56037,56,Wyoming
2012-01-29,15,31,0.0,5.0,56037,56,Wyoming
2012-01-30,18,30,1.0,6.0,56037,56,Wyoming
2012-01-31,9,31,4.0,6.0,56037,56,Wyoming
2012-02-01,18,32,1.0,6.0,56037,56,Wyoming
2012-02-02,7,32,11.0,6.0,56037,56,Wyoming
2012-02-03,22,33,79.0,6.0,56037,56,Wyoming
2012-02-04,11,33,7.0,7.0,56037,56,Wyoming
2012-02-05,37,25,91.0,8.0,56037,56,Wyoming
2012-02-06,30,31,39.0,10.0,56037,56,Wyoming
2012-02-07,23,29,10.0,8.0,56037,56,Wyoming
2012-02-08,19,31,3.0,7.0,56037,56,Wyoming
2012-02-09,4,35,0.0,7.0,56037,56,Wyoming
2012-02-10,4,32,0.0,7.0,56037,56,Wyoming
2012-02-11,17,25,10.0,8.0,56037,56,Wyoming
2012-02-12,14,25,0.0,8.0,56037,56,Wyoming
2012-02-13,23,33,0.0,8.0,56037,56,Wyoming
2012-02-14,11,31,3.0,8.0,56037,56,Wyoming
2012-02-15,10,31,21.0,8.0,56037,56,Wyoming
2012-02-16,9,35,1.0,8.0,56037,56,Wyoming
2012-02-17,5,35,1.0,9.0,56037,56,Wyoming
2012-02-18,9,36,3.0,9.0,56037,56,Wyoming
2012-02-19,10,36,1.0,9.0,56037,56,Wyoming
2012-02-20,3,33,0.0,9.0,56037,56,Wyoming
2012-02-21,2,33,0.0,10.0,56037,56,Wyoming
2012-02-22,1,35,0.0,10.0,56037,56,Wyoming
2012-02-23,5,36,1.0,10.0,56037,56,Wyoming
2012-02-24,5,36,0.0,10.0,56037,56,Wyoming
2012-02-25,17,32,1.0,10.0,56037,56,Wyoming
2012-02-26,6,34,0.0,10.0,56037,56,Wyoming
2012-02-27,9,27,20.0,11.0,56037,56,Wyoming
2012-02-28,5,36,1.0,11.0,56037,56,Wyoming
2012-02-29,8,38,0.0,1.0,56037,56,Wyoming
2012-03-01,11,39,3.0,1.0,56037,56,Wyoming
2012-03-02,7,36,3.0,1.0,56037,56,Wyoming
2012-03-03,2,36,0.0,1.0,56037,56,Wyoming
2012-03-04,8,32,3.0,1.0,56037,56,Wyoming
2012-03-05,7,38,0.0,2.0,56037,56,Wyoming
2012-03-06,8,40,1.0,2.0,56037,56,Wyoming
2012-03-07,7,36,4.0,2.0,56037,56,Wyoming
2012-03-08,8,41,11.0,2.0,56037,56,Wyoming
2012-03-09,21,42,6.0,2.0,56037,56,Wyoming
2012-03-10,11,41,3.0,2.0,56037,56,Wyoming
2012-03-11,13,42,0.0,3.0,56037,56,Wyoming
2012-03-12,9,43,4.0,3.0,56037,56,Wyoming
2012-03-13,10,40,3.0,5.0,56037,56,Wyoming
2012-03-14,8,38,0.0,3.0,56037,56,Wyoming
2012-03-15,9,40,0.0,5.0,56037,56,Wyoming
2012-03-16,9,42,0.0,5.0,56037,56,Wyoming
2012-03-17,15,38,0.0,5.0,56037,56,Wyoming
2012-03-18,6,40,0.0,5.0,56037,56,Wyoming
2012-03-19,8,38,0.0,5.0,56037,56,Wyoming
2012-03-20,4,41,0.0,5.0,56037,56,Wyoming
2012-03-21,7,36,0.0,5.0,56037,56,Wyoming
2012-03-22,20,39,17.0,5.0,56037,56,Wyoming
2012-03-23,14,38,0.0,5.0,56037,56,Wyoming
2012-03-24,18,40,9.0,6.0,56037,56,Wyoming
2012-03-25,8,35,0.0,6.0,56037,56,Wyoming
2012-03-26,6,46,0.0,6.0,56037,56,Wyoming
2012-03-27,15,46,6.0,6.0,56037,56,Wyoming
2012-03-28,21,45,44.0,7.0,56037,56,Wyoming
2012-03-29,8,42,0.0,7.0,56037,56,Wyoming
2012-03-30,8,36,0.0,7.0,56037,56,Wyoming
2012-03-31,12,39,0.0,7.0,56037,56,Wyoming
2012-04-01,5,42,0.0,7.0,56037,56,Wyoming
2012-04-02,6,37,11.0,7.0,56037,56,Wyoming
2012-04-03,9,42,1.0,7.0,56037,56,Wyoming
2012-04-04,15,46,4.0,7.0,56037,56,Wyoming
2012-04-05,15,47,0.0,8.0,56037,56,Wyoming
2012-04-06,8,40,0.0,8.0,56037,56,Wyoming
2012-04-07,8,43,4.0,8.0,56037,56,Wyoming
2012-04-08,21,51,4.0,9.0,56037,56,Wyoming
2012-04-09,13,48,17.0,8.0,56037,56,Wyoming
2012-04-10,11,44,11.0,8.0,56037,56,Wyoming
2012-04-11,14,38,0.0,8.0,56037,56,Wyoming
2012-04-12,4,41,1.0,9.0,56037,56,Wyoming
2012-04-13,5,42,6.0,9.0,56037,56,Wyoming
2012-04-14,8,42,3.0,9.0,56037,56,Wyoming
2012-04-15,3,45,3.0,9.0,56037,56,Wyoming
2012-04-16,3,45,0.0,9.0,56037,56,Wyoming
2012-04-17,11,43,0.0,9.0,56037,56,Wyoming
2012-04-18,13,38,0.0,9.0,56037,56,Wyoming
2012-04-19,10,42,0.0,9.0,56037,56,Wyoming
2012-04-20,4,37,3.0,9.0,56037,56,Wyoming
2012-04-21,4,39,0.0,9.0,56037,56,Wyoming
2012-04-22,22,47,36.0,10.0,56037,56,Wyoming
2012-04-23,20,47,26.0,10.0,56037,56,Wyoming
2012-04-24,13,51,0.0,10.0,56037,56,Wyoming
2012-04-25,9,47,0.0,1.0,56037,56,Wyoming
