Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2006-10-23,27,29,1.0,6.0,40143,40,Oklahoma
2006-10-24,20,32,1.0,8.0,40143,40,Oklahoma
2006-10-25,15,27,1.0,2.0,40143,40,Oklahoma
2006-10-26,15,17,1.0,3.0,40143,40,Oklahoma
2006-10-27,23,19,0.0,7.0,40143,40,Oklahoma
2006-10-28,35,29,17.0,9.0,40143,40,Oklahoma
2006-10-29,29,39,29.0,9.0,40143,40,Oklahoma
2006-10-30,12,36,4.0,2.0,40143,40,Oklahoma
2006-10-31,16,19,6.0,3.0,40143,40,Oklahoma
2006-11-01,27,22,0.0,6.0,40143,40,Oklahoma
2006-11-02,40,25,6.0,14.0,40143,40,Oklahoma
2006-11-03,25,26,1.0,15.0,40143,40,Oklahoma
2006-11-04,19,29,4.0,3.0,40143,40,Oklahoma
2006-11-05,17,22,4.0,3.0,40143,40,Oklahoma
2006-11-06,22,24,3.0,5.0,40143,40,Oklahoma
2006-11-07,42,16,30.0,9.0,40143,40,Oklahoma
2006-11-08,47,27,20.0,11.0,40143,40,Oklahoma
2006-11-09,32,31,1.0,11.0,40143,40,Oklahoma
2006-11-10,20,23,1.0,3.0,40143,40,Oklahoma
2006-11-11,33,25,1.0,10.0,40143,40,Oklahoma
2006-11-12,21,33,7.0,14.0,40143,40,Oklahoma
2006-11-13,31,19,1.0,9.0,40143,40,Oklahoma
2006-11-14,32,19,4.0,10.0,40143,40,Oklahoma
2006-11-15,8,21,1.0,5.0,40143,40,Oklahoma
2006-11-16,25,19,1.0,15.0,40143,40,Oklahoma
2006-11-17,35,26,13.0,16.0,40143,40,Oklahoma
2006-11-18,29,19,1.0,16.0,40143,40,Oklahoma
2006-11-19,30,24,3.0,14.0,40143,40,Oklahoma
2006-11-20,33,17,19.0,16.0,40143,40,Oklahoma
2006-11-21,27,33,3.0,16.0,40143,40,Oklahoma
2006-11-22,29,37,3.0,3.0,40143,40,Oklahoma
2006-11-23,27,43,1.0,5.0,40143,40,Oklahoma
2006-11-24,19,31,3.0,2.0,40143,40,Oklahoma
2006-11-25,18,36,1.0,2.0,40143,40,Oklahoma
2006-11-26,10,36,1.0,2.0,40143,40,Oklahoma
2006-11-27,22,26,1.0,3.0,40143,40,Oklahoma
2006-11-28,13,21,0.0,2.0,40143,40,Oklahoma
2006-11-29,8,18,0.0,2.0,40143,40,Oklahoma
2006-11-30,5,25,1.0,2.0,40143,40,Oklahoma
2006-12-01,39,23,52.0,16.0,40143,40,Oklahoma
2006-12-02,35,29,1.0,18.0,40143,40,Oklahoma
2006-12-03,35,26,1.0,11.0,40143,40,Oklahoma
2006-12-04,43,27,37.0,14.0,40143,40,Oklahoma
2006-12-05,35,25,10.0,17.0,40143,40,Oklahoma
2006-12-06,40,22,1.0,17.0,40143,40,Oklahoma
2006-12-07,29,25,0.0,18.0,40143,40,Oklahoma
2006-12-08,28,21,14.0,9.0,40143,40,Oklahoma
2006-12-09,25,26,7.0,2.0,40143,40,Oklahoma
2006-12-10,17,26,10.0,2.0,40143,40,Oklahoma
2006-12-11,26,20,10.0,3.0,40143,40,Oklahoma
2006-12-12,29,21,1.0,16.0,40143,40,Oklahoma
2006-12-13,43,23,29.0,18.0,40143,40,Oklahoma
2006-12-14,37,23,27.0,15.0,40143,40,Oklahoma
2006-12-15,33,23,7.0,17.0,40143,40,Oklahoma
2006-12-16,25,28,7.0,5.0,40143,40,Oklahoma
2006-12-17,25,16,1.0,11.0,40143,40,Oklahoma
2006-12-18,11,15,6.0,3.0,40143,40,Oklahoma
2006-12-19,18,14,4.0,5.0,40143,40,Oklahoma
2006-12-20,18,13,1.0,3.0,40143,40,Oklahoma
2006-12-21,18,17,3.0,3.0,40143,40,Oklahoma
2006-12-22,17,17,0.0,7.0,40143,40,Oklahoma
2006-12-23,25,19,0.0,14.0,40143,40,Oklahoma
2006-12-24,24,12,4.0,14.0,40143,40,Oklahoma
2006-12-25,11,26,1.0,5.0,40143,40,Oklahoma
2006-12-26,30,22,14.0,14.0,40143,40,Oklahoma
2006-12-27,27,29,9.0,14.0,40143,40,Oklahoma
2006-12-28,13,29,4.0,2.0,40143,40,Oklahoma
2006-12-29,16,24,6.0,2.0,40143,40,Oklahoma
2006-12-30,15,24,3.0,3.0,40143,40,Oklahoma
2006-12-31,15,26,3.0,3.0,40143,40,Oklahoma
2007-01-01,32,28,0.0,14.0,40143,40,Oklahoma
2007-01-02,34,15,13.0,18.0,40143,40,Oklahoma
2007-01-03,28,22,6.0,20.0,40143,40,Oklahoma
2007-01-04,21,19,6.0,3.0,40143,40,Oklahoma
2007-01-05,16,17,1.0,3.0,40143,40,Oklahoma
2007-01-06,28,21,1.0,7.0,40143,40,Oklahoma
2007-01-07,21,25,0.0,8.0,40143,40,Oklahoma
2007-01-08,28,26,9.0,3.0,40143,40,Oklahoma
2007-01-09,34,29,0.0,13.0,40143,40,Oklahoma
2007-01-10,29,30,4.0,14.0,40143,40,Oklahoma
2007-01-11,14,29,4.0,2.0,40143,40,Oklahoma
2007-01-12,8,14,1.0,2.0,40143,40,Oklahoma
2007-01-13,8,15,0.0,2.0,40143,40,Oklahoma
2007-01-14,8,17,1.0,2.0,40143,40,Oklahoma
2007-01-15,8,30,0.0,2.0,40143,40,Oklahoma
2007-01-16,42,36,16.0,5.0,40143,40,Oklahoma
2007-01-17,25,18,3.0,5.0,40143,40,Oklahoma
2007-01-18,24,19,6.0,5.0,40143,40,Oklahoma
2007-01-19,46,14,27.0,9.0,40143,40,Oklahoma
2007-01-20,33,17,3.0,10.0,40143,40,Oklahoma
2007-01-21,11,30,3.0,3.0,40143,40,Oklahoma
2007-01-22,16,31,0.0,3.0,40143,40,Oklahoma
2007-01-23,30,31,1.0,5.0,40143,40,Oklahoma
2007-01-24,28,26,14.0,7.0,40143,40,Oklahoma
2007-01-25,43,17,43.0,20.0,40143,40,Oklahoma
2007-01-26,33,32,17.0,25.0,40143,40,Oklahoma
2007-01-27,31,29,16.0,3.0,40143,40,Oklahoma
2007-01-28,26,28,3.0,6.0,40143,40,Oklahoma
2007-01-29,30,23,10.0,13.0,40143,40,Oklahoma
2007-01-30,26,25,0.0,13.0,40143,40,Oklahoma
2007-01-31,24,12,4.0,8.0,40143,40,Oklahoma
2007-02-21,43,37,4.0,15.0,40143,40,Oklahoma
2007-02-22,41,33,6.0,17.0,40143,40,Oklahoma
2007-02-23,16,42,1.0,7.0,40143,40,Oklahoma
2007-02-24,9,33,1.0,3.0,40143,40,Oklahoma
2007-02-25,25,31,0.0,7.0,40143,40,Oklahoma
2007-02-26,31,31,10.0,8.0,40143,40,Oklahoma
2007-02-27,23,37,6.0,10.0,40143,40,Oklahoma
2007-02-28,19,30,3.0,3.0,40143,40,Oklahoma
2007-03-01,22,34,1.0,3.0,40143,40,Oklahoma
2007-03-02,7,36,0.0,3.0,40143,40,Oklahoma
2007-03-03,13,34,0.0,2.0,40143,40,Oklahoma
2007-03-04,33,38,1.0,10.0,40143,40,Oklahoma
2007-03-05,42,36,9.0,15.0,40143,40,Oklahoma
2007-03-06,27,47,7.0,15.0,40143,40,Oklahoma
2007-03-07,38,31,37.0,6.0,40143,40,Oklahoma
2007-03-08,56,39,3.0,8.0,40143,40,Oklahoma
2007-03-09,16,44,9.0,8.0,40143,40,Oklahoma
2007-03-10,41,42,3.0,6.0,40143,40,Oklahoma
2007-03-11,25,31,1.0,8.0,40143,40,Oklahoma
2007-03-12,31,39,1.0,9.0,40143,40,Oklahoma
2007-03-13,25,36,3.0,9.0,40143,40,Oklahoma
2007-03-14,34,31,9.0,10.0,40143,40,Oklahoma
2007-03-15,20,25,3.0,11.0,40143,40,Oklahoma
2007-03-16,38,33,1.0,9.0,40143,40,Oklahoma
2007-03-17,41,48,4.0,13.0,40143,40,Oklahoma
2007-03-18,12,42,0.0,8.0,40143,40,Oklahoma
2007-03-19,9,35,1.0,3.0,40143,40,Oklahoma
2007-03-20,18,31,1.0,3.0,40143,40,Oklahoma
2007-03-21,7,29,0.0,2.0,40143,40,Oklahoma
2007-03-22,6,29,1.0,2.0,40143,40,Oklahoma
2007-03-23,13,25,3.0,2.0,40143,40,Oklahoma
2007-03-24,14,36,3.0,3.0,40143,40,Oklahoma
2007-03-25,10,25,3.0,2.0,40143,40,Oklahoma
2007-03-26,17,31,1.0,3.0,40143,40,Oklahoma
2007-03-27,24,28,0.0,5.0,40143,40,Oklahoma
2007-03-28,15,25,0.0,6.0,40143,40,Oklahoma
2007-03-29,16,22,1.0,3.0,40143,40,Oklahoma
2007-03-30,18,30,0.0,5.0,40143,40,Oklahoma
2007-03-31,29,39,19.0,2.0,40143,40,Oklahoma
2007-04-01,39,44,11.0,7.0,40143,40,Oklahoma
2007-04-02,21,44,4.0,7.0,40143,40,Oklahoma
2007-04-03,8,42,3.0,3.0,40143,40,Oklahoma
2007-04-04,23,37,3.0,3.0,40143,40,Oklahoma
2007-04-05,11,31,9.0,5.0,40143,40,Oklahoma
2007-04-06,4,35,0.0,2.0,40143,40,Oklahoma
2007-04-07,20,36,0.0,3.0,40143,40,Oklahoma
2007-04-08,25,38,1.0,5.0,40143,40,Oklahoma
2007-04-09,23,41,3.0,5.0,40143,40,Oklahoma
2007-04-10,13,30,4.0,3.0,40143,40,Oklahoma
2007-04-11,15,36,0.0,3.0,40143,40,Oklahoma
2007-04-12,16,36,4.0,5.0,40143,40,Oklahoma
2007-04-13,11,31,0.0,3.0,40143,40,Oklahoma
2007-04-14,23,38,0.0,7.0,40143,40,Oklahoma
2007-04-15,35,44,0.0,8.0,40143,40,Oklahoma
2007-04-16,32,47,9.0,10.0,40143,40,Oklahoma
2007-04-17,28,35,1.0,8.0,40143,40,Oklahoma
2007-04-18,40,49,3.0,8.0,40143,40,Oklahoma
2007-04-19,29,48,1.0,10.0,40143,40,Oklahoma
2007-04-20,22,51,1.0,6.0,40143,40,Oklahoma
2007-04-21,7,80,1.0,3.0,40143,40,Oklahoma
2007-04-22,8,50,7.0,2.0,40143,40,Oklahoma
2007-04-23,13,31,3.0,5.0,40143,40,Oklahoma
2007-04-24,15,28,0.0,3.0,40143,40,Oklahoma
2007-04-25,13,32,0.0,2.0,40143,40,Oklahoma
2007-04-26,26,30,0.0,5.0,40143,40,Oklahoma
2007-04-27,25,40,1.0,6.0,40143,40,Oklahoma
2007-04-28,32,42,0.0,8.0,40143,40,Oklahoma
2007-04-29,35,50,3.0,10.0,40143,40,Oklahoma
2007-04-30,25,39,0.0,9.0,40143,40,Oklahoma
2007-05-01,20,25,1.0,5.0,40143,40,Oklahoma
2007-05-02,16,23,0.0,5.0,40143,40,Oklahoma
2007-05-03,12,30,0.0,5.0,40143,40,Oklahoma
2007-05-04,8,32,0.0,3.0,40143,40,Oklahoma
2007-05-05,4,23,0.0,2.0,40143,40,Oklahoma
2007-05-06,5,22,0.0,2.0,40143,40,Oklahoma
2007-05-07,10,30,0.0,5.0,40143,40,Oklahoma
2007-05-08,22,29,0.0,7.0,40143,40,Oklahoma
2007-05-09,26,32,4.0,7.0,40143,40,Oklahoma
2007-05-10,13,26,0.0,7.0,40143,40,Oklahoma
2007-05-11,15,37,0.0,7.0,40143,40,Oklahoma
2007-05-12,31,48,3.0,10.0,40143,40,Oklahoma
2007-05-13,32,54,0.0,13.0,40143,40,Oklahoma
2007-05-14,16,49,1.0,9.0,40143,40,Oklahoma
2007-05-15,16,31,6.0,3.0,40143,40,Oklahoma
2007-05-16,33,41,0.0,8.0,40143,40,Oklahoma
2007-05-17,29,41,1.0,9.0,40143,40,Oklahoma
2007-05-18,34,47,1.0,7.0,40143,40,Oklahoma
2007-05-19,31,48,1.0,9.0,40143,40,Oklahoma
2007-05-20,29,67,6.0,7.0,40143,40,Oklahoma
2007-05-21,15,58,1.0,3.0,40143,40,Oklahoma
2007-05-22,8,38,0.0,2.0,40143,40,Oklahoma
2007-05-23,9,30,3.0,2.0,40143,40,Oklahoma
2007-05-24,11,24,0.0,2.0,40143,40,Oklahoma
2007-05-30,18,32,1.0,5.0,40143,40,Oklahoma
2007-05-31,9,43,0.0,8.0,40143,40,Oklahoma
2007-06-01,13,36,0.0,3.0,40143,40,Oklahoma
