Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2012-01-24,3,24,0.0,17.0,49047,49,Utah
2012-01-25,14,25,0.0,2.0,49047,49,Utah
2012-01-26,5,28,0.0,2.0,49047,49,Utah
2012-01-27,0,36,0.0,2.0,49047,49,Utah
2012-01-28,0,34,0.0,2.0,49047,49,Utah
2012-01-29,0,32,0.0,3.0,49047,49,Utah
2012-01-30,0,29,0.0,3.0,49047,49,Utah
2012-01-31,0,33,0.0,3.0,49047,49,Utah
2012-02-01,0,29,0.0,3.0,49047,49,Utah
2012-02-02,0,34,0.0,5.0,49047,49,Utah
2012-02-03,0,35,0.0,5.0,49047,49,Utah
2012-02-04,0,32,0.0,6.0,49047,49,Utah
2012-02-05,0,34,0.0,6.0,49047,49,Utah
2012-02-06,0,36,0.0,6.0,49047,49,Utah
2012-02-07,0,35,0.0,6.0,49047,49,Utah
2012-02-08,0,34,1.0,7.0,49047,49,Utah
2012-02-09,0,35,0.0,8.0,49047,49,Utah
2012-02-10,0,35,0.0,7.0,49047,49,Utah
2012-02-11,0,31,0.0,7.0,49047,49,Utah
2012-02-12,0,32,0.0,8.0,49047,49,Utah
2012-02-13,0,35,0.0,8.0,49047,49,Utah
2012-02-14,0,34,0.0,8.0,49047,49,Utah
2012-02-15,0,33,0.0,8.0,49047,49,Utah
2012-02-16,0,26,0.0,8.0,49047,49,Utah
2012-02-23,2,34,0.0,3.0,49047,49,Utah
2012-02-24,2,42,0.0,3.0,49047,49,Utah
2012-02-25,1,44,0.0,3.0,49047,49,Utah
2012-02-26,2,39,0.0,3.0,49047,49,Utah
2012-02-27,6,33,0.0,3.0,49047,49,Utah
2012-02-28,8,45,0.0,5.0,49047,49,Utah
2012-02-29,1,44,0.0,5.0,49047,49,Utah
2012-03-01,2,44,0.0,5.0,49047,49,Utah
2012-03-02,3,41,0.0,5.0,49047,49,Utah
2012-03-03,1,42,0.0,5.0,49047,49,Utah
2012-03-04,1,39,0.0,5.0,49047,49,Utah
2012-03-05,1,39,0.0,6.0,49047,49,Utah
2012-03-06,1,42,0.0,6.0,49047,49,Utah
2012-03-07,2,39,0.0,6.0,49047,49,Utah
