Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-01-01,25,21,4.0,6.0,6095,6,California
2000-01-02,26,23,4.0,20.0,6095,6,California
2000-01-03,37,8,6.0,32.0,6095,6,California
2000-01-04,38,6,4.0,35.0,6095,6,California
2000-01-05,43,8,6.0,34.0,6095,6,California
2000-01-06,35,3,4.0,36.0,6095,6,California
2000-01-07,39,8,7.0,35.0,6095,6,California
2000-01-08,29,7,3.0,14.0,6095,6,California
2000-01-09,23,20,3.0,15.0,6095,6,California
2000-01-10,23,13,3.0,7.0,6095,6,California
2000-01-11,19,20,1.0,5.0,6095,6,California
2000-01-12,36,3,9.0,26.0,6095,6,California
2000-01-13,28,7,7.0,20.0,6095,6,California
2000-01-14,36,2,13.0,39.0,6095,6,California
2000-01-15,24,21,10.0,30.0,6095,6,California
2000-01-16,33,25,6.0,32.0,6095,6,California
2000-01-17,26,13,4.0,41.0,6095,6,California
2000-01-18,22,12,11.0,10.0,6095,6,California
2000-01-19,19,14,3.0,9.0,6095,6,California
2000-01-20,32,12,4.0,15.0,6095,6,California
2000-01-21,32,6,7.0,30.0,6095,6,California
2000-01-22,29,14,6.0,15.0,6095,6,California
2000-01-23,22,8,1.0,10.0,6095,6,California
2000-01-24,27,8,4.0,10.0,6095,6,California
2000-01-25,26,18,4.0,9.0,6095,6,California
2000-01-26,33,10,6.0,26.0,6095,6,California
2000-01-27,30,8,7.0,30.0,6095,6,California
2000-01-28,29,17,6.0,35.0,6095,6,California
2000-01-29,25,18,4.0,11.0,6095,6,California
2000-01-30,25,23,3.0,11.0,6095,6,California
2000-01-31,34,12,6.0,17.0,6095,6,California
2000-02-01,19,16,1.0,7.0,6095,6,California
2000-02-02,30,18,10.0,8.0,6095,6,California
2000-02-03,38,15,4.0,11.0,6095,6,California
2000-02-04,27,8,4.0,11.0,6095,6,California
2000-02-05,31,19,6.0,26.0,6095,6,California
2000-02-06,27,20,6.0,39.0,6095,6,California
2000-02-07,33,13,3.0,14.0,6095,6,California
2000-02-08,40,7,11.0,23.0,6095,6,California
2000-02-09,28,11,4.0,8.0,6095,6,California
2000-02-10,31,12,4.0,10.0,6095,6,California
2000-02-11,26,21,7.0,13.0,6095,6,California
2000-02-12,28,19,6.0,7.0,6095,6,California
2000-02-13,21,21,6.0,7.0,6095,6,California
2000-02-14,27,26,4.0,6.0,6095,6,California
2000-02-15,31,17,6.0,19.0,6095,6,California
2000-02-16,38,14,6.0,14.0,6095,6,California
2000-02-17,33,18,4.0,16.0,6095,6,California
2000-02-18,26,14,6.0,27.0,6095,6,California
2000-02-19,24,19,6.0,11.0,6095,6,California
2000-02-20,25,25,3.0,6.0,6095,6,California
2000-02-21,35,26,6.0,9.0,6095,6,California
2000-02-22,28,20,4.0,11.0,6095,6,California
2000-02-23,29,23,4.0,11.0,6095,6,California
2000-02-24,29,13,4.0,20.0,6095,6,California
2000-02-25,32,17,6.0,10.0,6095,6,California
2000-02-26,25,26,4.0,10.0,6095,6,California
2000-02-27,6,28,3.0,6.0,6095,6,California
2000-02-28,23,26,4.0,7.0,6095,6,California
2000-02-29,25,24,7.0,6.0,6095,6,California
2000-03-01,25,22,6.0,19.0,6095,6,California
2000-03-02,34,18,1.0,9.0,6095,6,California
2000-03-03,25,18,7.0,23.0,6095,6,California
2000-03-04,24,22,4.0,8.0,6095,6,California
2000-03-05,25,21,3.0,9.0,6095,6,California
2000-03-06,24,19,7.0,10.0,6095,6,California
2000-03-07,28,21,3.0,6.0,6095,6,California
2000-03-08,34,19,6.0,13.0,6095,6,California
2000-03-09,35,23,11.0,11.0,6095,6,California
2000-03-10,29,17,10.0,27.0,6095,6,California
2000-03-11,31,25,3.0,10.0,6095,6,California
2000-03-12,22,22,6.0,19.0,6095,6,California
2000-03-13,22,21,20.0,9.0,6095,6,California
2000-03-14,25,17,7.0,7.0,6095,6,California
