Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2007-03-31,41,1,7.0,3.0,9001,9,Connecticut
2007-04-01,35,35,14.0,6.0,9001,9,Connecticut
2007-04-02,25,24,0.0,3.0,9001,9,Connecticut
2007-04-03,13,29,1.0,3.0,9001,9,Connecticut
2007-04-04,10,33,0.0,3.0,9001,9,Connecticut
2007-04-06,7,25,1.0,2.0,9001,9,Connecticut
2007-04-07,27,21,17.0,5.0,9001,9,Connecticut
2007-04-08,8,21,6.0,2.0,9001,9,Connecticut
2007-04-09,16,30,4.0,2.0,9001,9,Connecticut
2007-04-10,42,36,20.0,3.0,9001,9,Connecticut
2007-04-11,36,36,11.0,3.0,9001,9,Connecticut
2007-04-12,28,35,3.0,3.0,9001,9,Connecticut
2007-04-13,23,30,6.0,3.0,9001,9,Connecticut
2007-04-14,24,40,3.0,3.0,9001,9,Connecticut
2007-04-15,8,41,0.0,3.0,9001,9,Connecticut
2007-04-16,15,28,0.0,3.0,9001,9,Connecticut
2007-04-17,10,34,0.0,3.0,9001,9,Connecticut
2007-04-18,31,31,1.0,3.0,9001,9,Connecticut
2007-04-19,32,33,1.0,3.0,9001,9,Connecticut
2007-04-23,39,71,9.0,6.0,9001,9,Connecticut
2007-04-24,19,46,1.0,3.0,9001,9,Connecticut
2007-04-25,46,37,3.0,3.0,9001,9,Connecticut
2007-04-26,32,37,0.0,3.0,9001,9,Connecticut
2007-04-27,31,31,1.0,3.0,9001,9,Connecticut
2007-04-28,30,25,9.0,6.0,9001,9,Connecticut
2007-04-29,29,27,6.0,3.0,9001,9,Connecticut
2007-04-30,27,47,7.0,5.0,9001,9,Connecticut
2007-05-01,43,32,6.0,3.0,9001,9,Connecticut
2007-05-02,39,34,0.0,3.0,9001,9,Connecticut
2007-05-03,48,41,6.0,5.0,9001,9,Connecticut
2007-05-04,40,39,7.0,5.0,9001,9,Connecticut
2007-05-05,35,42,4.0,5.0,9001,9,Connecticut
2007-05-06,27,34,1.0,2.0,9001,9,Connecticut
2007-05-07,22,35,1.0,3.0,9001,9,Connecticut
2007-05-08,34,28,6.0,3.0,9001,9,Connecticut
2007-05-09,29,31,7.0,5.0,9001,9,Connecticut
2007-05-10,18,19,0.0,3.0,9001,9,Connecticut
2007-05-11,20,21,0.0,3.0,9001,9,Connecticut
2007-05-12,16,31,0.0,5.0,9001,9,Connecticut
2007-05-13,28,39,0.0,2.0,9001,9,Connecticut
2007-05-14,29,39,1.0,2.0,9001,9,Connecticut
2007-05-15,24,109,4.0,3.0,9001,9,Connecticut
2007-05-17,23,34,1.0,3.0,9001,9,Connecticut
2007-05-18,11,21,0.0,2.0,9001,9,Connecticut
2007-05-19,17,30,1.0,2.0,9001,9,Connecticut
2007-05-20,10,44,1.0,2.0,9001,9,Connecticut
2007-05-21,33,35,0.0,2.0,9001,9,Connecticut
2007-05-22,38,42,1.0,3.0,9001,9,Connecticut
