Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2011-01-01,39,18,9.0,17.0,10003,10,Delaware
2011-01-02,32,22,4.0,5.0,10003,10,Delaware
2011-01-03,44,20,4.0,6.0,10003,10,Delaware
2011-01-04,50,14,4.0,8.0,10003,10,Delaware
2011-01-05,42,18,6.0,7.0,10003,10,Delaware
2011-01-06,40,17,9.0,7.0,10003,10,Delaware
2011-01-07,42,13,7.0,6.0,10003,10,Delaware
2011-01-08,42,19,7.0,7.0,10003,10,Delaware
2011-01-09,11,23,6.0,2.0,10003,10,Delaware
2011-01-10,39,17,1.0,5.0,10003,10,Delaware
2011-01-13,29,19,3.0,5.0,10003,10,Delaware
2011-01-14,37,15,7.0,8.0,10003,10,Delaware
2011-01-15,32,19,7.0,10.0,10003,10,Delaware
2011-01-16,26,25,3.0,5.0,10003,10,Delaware
2011-01-17,30,19,13.0,3.0,10003,10,Delaware
2011-01-18,29,13,3.0,5.0,10003,10,Delaware
2011-01-19,23,9,7.0,5.0,10003,10,Delaware
2011-01-20,28,15,4.0,5.0,10003,10,Delaware
2011-01-21,14,22,6.0,3.0,10003,10,Delaware
2011-01-22,23,20,4.0,3.0,10003,10,Delaware
2011-01-23,23,22,10.0,3.0,10003,10,Delaware
2011-01-24,21,15,16.0,3.0,10003,10,Delaware
2011-01-25,42,10,10.0,10.0,10003,10,Delaware
2011-01-26,40,16,14.0,10.0,10003,10,Delaware
2011-01-27,42,19,4.0,6.0,10003,10,Delaware
2011-01-28,35,14,4.0,8.0,10003,10,Delaware
2011-01-29,32,22,9.0,5.0,10003,10,Delaware
2011-01-30,34,21,6.0,6.0,10003,10,Delaware
2011-01-31,34,16,9.0,5.0,10003,10,Delaware
2011-02-01,35,13,6.0,6.0,10003,10,Delaware
2011-02-02,31,21,4.0,6.0,10003,10,Delaware
2011-02-03,35,27,6.0,5.0,10003,10,Delaware
2011-02-04,41,11,10.0,6.0,10003,10,Delaware
2011-02-05,28,19,6.0,6.0,10003,10,Delaware
2011-02-06,35,33,9.0,5.0,10003,10,Delaware
2011-02-07,39,16,13.0,8.0,10003,10,Delaware
2011-02-08,22,27,3.0,3.0,10003,10,Delaware
2011-02-09,29,19,4.0,3.0,10003,10,Delaware
2011-02-18,26,31,11.0,3.0,10003,10,Delaware
2011-02-19,5,29,1.0,2.0,10003,10,Delaware
2011-02-20,12,27,4.0,2.0,10003,10,Delaware
2011-02-21,27,24,4.0,3.0,10003,10,Delaware
2011-02-22,35,20,6.0,5.0,10003,10,Delaware
2011-02-23,37,19,17.0,6.0,10003,10,Delaware
2011-02-24,38,20,9.0,7.0,10003,10,Delaware
2011-02-25,25,23,3.0,3.0,10003,10,Delaware
2011-02-26,18,25,3.0,2.0,10003,10,Delaware
2011-02-27,13,26,7.0,2.0,10003,10,Delaware
2011-02-28,16,22,4.0,3.0,10003,10,Delaware
2011-03-07,14,23,0.0,3.0,10003,10,Delaware
2011-03-08,24,15,7.0,3.0,10003,10,Delaware
2011-03-09,14,20,1.0,3.0,10003,10,Delaware
2011-03-10,13,25,0.0,2.0,10003,10,Delaware
