Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,id,State Code,State
2000-08-31,15,29,1.0,7.0,37067,37,North Carolina
2000-09-01,18,42,1.0,7.0,37067,37,North Carolina
2000-09-02,16,30,0.0,7.0,37067,37,North Carolina
2000-09-03,27,25,0.0,9.0,37067,37,North Carolina
2000-09-04,25,26,9.0,9.0,37067,37,North Carolina
2000-09-05,10,22,21.0,9.0,37067,37,North Carolina
2000-09-06,13,26,30.0,5.0,37067,37,North Carolina
2000-09-07,11,24,14.0,5.0,37067,37,North Carolina
2000-09-08,38,33,3.0,11.0,37067,37,North Carolina
2000-09-09,40,58,3.0,14.0,37067,37,North Carolina
2000-09-10,25,71,11.0,14.0,37067,37,North Carolina
2000-09-11,26,58,4.0,9.0,37067,37,North Carolina
2000-09-12,49,46,21.0,9.0,37067,37,North Carolina
2000-09-13,36,42,20.0,10.0,37067,37,North Carolina
2000-09-14,10,77,6.0,7.0,37067,37,North Carolina
2000-09-15,26,36,7.0,6.0,37067,37,North Carolina
2000-09-16,16,31,6.0,3.0,37067,37,North Carolina
2000-09-17,28,31,1.0,8.0,37067,37,North Carolina
2000-09-18,24,19,21.0,9.0,37067,37,North Carolina
2001-05-10,28,84,23.0,6.0,37067,37,North Carolina
2001-05-11,32,93,21.0,6.0,37067,37,North Carolina
2001-05-12,26,45,17.0,6.0,37067,37,North Carolina
2001-05-13,10,48,3.0,6.0,37067,37,North Carolina
2001-05-14,42,64,9.0,7.0,37067,37,North Carolina
2001-05-15,45,47,13.0,8.0,37067,37,North Carolina
2001-05-16,29,26,7.0,7.0,37067,37,North Carolina
2001-05-17,11,25,1.0,6.0,37067,37,North Carolina
2001-05-18,32,101,16.0,7.0,37067,37,North Carolina
2001-05-19,27,106,14.0,7.0,37067,37,North Carolina
2001-05-20,21,49,26.0,6.0,37067,37,North Carolina
2001-05-21,17,20,9.0,7.0,37067,37,North Carolina
2001-05-22,22,35,13.0,6.0,37067,37,North Carolina
2001-05-23,42,44,37.0,9.0,37067,37,North Carolina
2001-05-24,39,71,19.0,11.0,37067,37,North Carolina
2001-05-25,23,32,4.0,6.0,37067,37,North Carolina
2001-05-26,31,48,7.0,6.0,37067,37,North Carolina
2001-05-27,27,61,7.0,7.0,37067,37,North Carolina
2001-05-28,26,30,13.0,6.0,37067,37,North Carolina
