Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI
2001-01-01,13,18,3.0,1.0
2001-01-02,44,17,3.0,1.0
2001-01-03,36,16,7.0,1.0
2001-01-04,43,11,9.0,1.0
2001-01-05,41,18,4.0,2.0
2001-01-06,30,15,7.0,1.0
2001-01-07,24,13,0.0,1.0
2001-01-08,20,13,1.0,1.0
2001-01-09,29,14,1.0,1.0
2001-01-10,29,14,6.0,1.0
2001-01-11,25,9,1.0,1.0
2001-01-12,21,6,4.0,1.0
2001-01-13,16,13,1.0,1.0
2001-01-14,14,7,1.0,1.0
2001-01-15,17,18,1.0,1.0
2001-01-16,19,4,9.0,1.0
2001-01-17,15,8,10.0,0.0
2001-01-18,22,9,1.0,1.0
2001-02-15,16,7,3.0,1.0
2001-02-16,25,20,3.0,1.0
2001-02-17,13,22,6.0,0.0
2001-02-18,18,20,1.0,1.0
2001-02-19,39,34,6.0,1.0
2001-02-20,23,20,6.0,1.0
2001-02-21,10,21,4.0,0.0
2001-02-22,13,14,1.0,0.0
2001-02-23,16,16,0.0,0.0
2001-02-24,8,22,1.0,1.0
2001-02-25,15,31,0.0,0.0
2001-02-26,21,22,3.0,0.0
2001-02-27,12,15,9.0,1.0
2001-02-28,13,16,3.0,0.0
2001-03-01,21,22,3.0,1.0
2001-03-02,12,26,3.0,1.0
2001-03-03,16,30,6.0,1.0
2001-03-04,12,42,3.0,1.0
2001-03-06,17,29,4.0,2.0
2001-03-07,15,36,4.0,1.0
2001-03-08,16,42,9.0,1.0
2001-03-09,35,41,3.0,2.0
2001-03-10,29,48,3.0,2.0
2001-03-11,9,45,1.0,1.0
2001-03-28,25,35,0.0,1.0
2001-03-29,23,26,3.0,2.0
2001-04-10,7,28,0.0,1.0
2001-04-11,7,49,1.0,0.0
2001-04-12,22,42,1.0,1.0
2001-04-13,36,58,3.0,2.0
2001-04-14,19,41,3.0,2.0
2001-04-15,7,43,1.0,2.0
2001-04-16,21,37,6.0,1.0
2001-04-29,17,84,4.0,1.0
2001-04-30,31,90,4.0,1.0
2001-05-01,8,58,4.0,1.0
2001-05-02,16,43,1.0,1.0
2001-05-03,21,38,6.0,1.0
2001-05-04,11,47,7.0,1.0
2001-05-05,15,36,6.0,1.0
2001-05-06,9,42,4.0,0.0
2001-05-07,17,49,6.0,0.0
2001-05-08,31,61,3.0,0.0
2001-05-09,17,80,7.0,1.0
2001-05-10,10,50,11.0,1.0
2001-05-11,19,37,3.0,1.0
2001-05-12,21,61,4.0,1.0
2001-05-13,13,54,3.0,1.0
2001-05-14,14,80,4.0,1.0
2001-05-15,17,71,4.0,1.0
2001-05-16,21,46,4.0,1.0
2001-05-17,17,48,3.0,1.0
2001-05-18,23,33,1.0,2.0
2001-05-19,32,80,6.0,3.0
2001-05-20,11,41,4.0,1.0
2001-05-21,23,35,1.0,2.0
2001-05-22,16,42,1.0,2.0
2001-05-23,20,46,7.0,0.0
2001-05-24,17,35,4.0,0.0
2001-05-25,14,44,3.0,0.0
2001-05-26,19,51,3.0,1.0
2001-05-27,29,67,3.0,1.0
2001-05-28,24,77,0.0,1.0
2001-05-29,16,33,0.0,1.0
2001-05-30,8,42,4.0,1.0
2001-05-31,6,31,0.0,0.0
2001-06-01,17,54,6.0,0.0
2001-06-02,13,39,1.0,0.0
2001-06-03,8,30,3.0,0.0
2001-06-04,13,30,6.0,0.0
2001-06-05,10,29,4.0,0.0
2001-06-06,13,32,0.0,0.0
2001-06-07,13,40,0.0,1.0
2001-06-08,8,36,0.0,1.0
2001-06-09,28,51,0.0,1.0
2001-06-10,19,77,4.0,1.0
2001-06-11,22,74,3.0,1.0
2001-06-12,16,100,4.0,1.0
2001-06-13,7,54,3.0,0.0
2001-06-14,8,29,4.0,0.0
2001-06-15,25,44,3.0,1.0
2001-06-16,17,80,7.0,1.0
