Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI
2009-04-30,24,7,0.0,2.0
2009-05-01,19,39,1.0,2.0
2009-05-02,23,37,0.0,2.0
2009-05-03,16,36,1.0,2.0
2009-05-04,17,38,0.0,2.0
2009-05-05,13,31,1.0,2.0
2009-05-06,20,36,1.0,2.0
2009-05-07,24,38,1.0,2.0
2009-05-08,28,38,0.0,2.0
2009-05-09,22,44,1.0,3.0
2009-05-10,20,42,0.0,3.0
2009-05-11,26,45,3.0,2.0
2009-05-12,7,41,0.0,2.0
2009-05-13,25,41,1.0,2.0
2009-05-14,13,31,0.0,2.0
2009-05-15,34,50,1.0,2.0
2009-05-16,42,54,1.0,1.0
2009-05-17,16,54,1.0,0.0
2009-05-18,32,49,0.0,1.0
2009-05-19,29,34,1.0,1.0
2009-05-20,12,44,0.0,1.0
2009-05-21,31,49,1.0,0.0
2009-05-22,39,61,3.0,0.0
2009-05-23,18,48,3.0,1.0
2009-05-24,9,45,0.0,1.0
2009-05-25,35,71,1.0,1.0
2009-05-26,28,64,3.0,1.0
2009-05-27,33,47,1.0,1.0
2009-05-28,29,51,7.0,1.0
2009-05-29,21,47,1.0,1.0
2009-05-30,17,47,1.0,1.0
2009-05-31,18,46,3.0,1.0
2009-06-01,16,42,0.0,1.0
2009-06-02,8,31,1.0,1.0
2009-06-03,22,47,0.0,2.0
2009-06-04,17,38,1.0,1.0
2009-06-05,14,31,3.0,1.0
2009-06-06,9,36,1.0,1.0
2009-06-07,15,44,0.0,1.0
2009-06-08,14,44,1.0,2.0
2009-06-09,18,42,0.0,2.0
2009-06-10,16,43,1.0,1.0
2009-06-18,21,47,1.0,2.0
2009-06-19,18,44,0.0,2.0
2009-06-20,18,39,1.0,2.0
2009-06-21,3,28,0.0,2.0
2009-06-22,22,34,1.0,2.0
2009-06-23,23,43,0.0,2.0
2009-06-24,23,47,1.0,2.0
2009-06-25,22,44,1.0,2.0
2009-06-26,8,45,1.0,1.0
2009-06-27,50,61,1.0,3.0
2009-06-28,25,61,1.0,3.0
2009-06-29,30,48,1.0,2.0
2009-06-30,17,58,1.0,2.0
2009-07-01,33,44,1.0,2.0
2009-07-02,18,45,1.0,3.0
2009-07-03,16,47,0.0,1.0
2009-07-04,27,47,7.0,2.0
2009-07-05,8,47,0.0,2.0
2009-07-06,22,38,1.0,1.0
2009-07-07,10,31,0.0,1.0
2009-07-08,22,37,1.0,1.0
2009-07-09,22,38,6.0,2.0
2009-07-10,30,71,3.0,2.0
2009-07-11,25,45,0.0,2.0
2009-07-12,17,35,1.0,2.0
2009-07-13,34,42,0.0,2.0
2009-07-14,31,48,1.0,2.0
2009-07-15,36,51,0.0,2.0
2009-07-16,35,77,3.0,6.0
2009-07-17,37,49,1.0,10.0
2009-07-18,31,80,0.0,16.0
2009-07-19,5,42,0.0,16.0
2010-01-05,20,5,0.0,3.0
2010-01-06,18,26,0.0,3.0
2010-01-07,17,24,0.0,2.0
2010-01-08,25,19,0.0,3.0
2010-01-09,22,16,0.0,3.0
2010-01-10,29,23,0.0,3.0
2010-01-11,25,20,0.0,3.0
2010-01-12,16,23,0.0,2.0
2010-01-13,25,13,0.0,3.0
2010-01-14,30,21,0.0,9.0
