id,Year,State_Code,NO2_AQI
1073,2013,1,43
1073,2014,1,82
1073,2015,1,45
1073,2016,1,48
2090,2014,2,95
2090,2015,2,83
4013,2000,4,132
4013,2001,4,94
4013,2002,4,86
4013,2003,4,81
4013,2004,4,76
4013,2005,4,95
4013,2006,4,84
4013,2007,4,76
4013,2008,4,74
4013,2009,4,67
4013,2010,4,67
4013,2011,4,68
4013,2012,4,73
4013,2013,4,61
4013,2014,4,68
4013,2015,4,61
4013,2016,4,63
4019,2000,4,73
4019,2001,4,57
4019,2002,4,61
4019,2003,4,60
4019,2004,4,56
4019,2005,4,53
4019,2006,4,48
4019,2007,4,55
4019,2008,4,51
4019,2009,4,47
4019,2010,4,61
4019,2011,4,43
4019,2012,4,43
4019,2013,4,42
4019,2014,4,39
4019,2015,4,38
4019,2016,4,42
5119,2007,5,61
5119,2008,5,45
5119,2009,5,45
5119,2010,5,79
5119,2011,5,64
5119,2012,5,62
5119,2013,5,45
5119,2014,5,54
5119,2015,5,54
5119,2016,5,41
6001,2001,6,60
6001,2002,6,79
6001,2003,6,53
6001,2007,6,44
6001,2008,6,52
6001,2009,6,47
6001,2010,6,50
6001,2011,6,60
6001,2012,6,50
6001,2013,6,61
6001,2014,6,53
6001,2015,6,54
6001,2016,6,45
6013,2000,6,72
6013,2001,6,63
6013,2002,6,67
6013,2003,6,68
6013,2004,6,63
6013,2005,6,55
6013,2006,6,52
6013,2007,6,49
6013,2008,6,65
6013,2009,6,39
6013,2010,6,46
6013,2011,6,47
6013,2012,6,51
6013,2013,6,43
6013,2014,6,48
6013,2015,6,42
6013,2016,6,36
6019,2003,6,63
6019,2007,6,57
6019,2008,6,68
6019,2009,6,66
6019,2010,6,76
6019,2011,6,46
6019,2012,6,62
6019,2013,6,57
6019,2014,6,56
6019,2015,6,46
6019,2016,6,50
6023,2006,6,23
6023,2007,6,41
6023,2008,6,25
6023,2009,6,37
6023,2010,6,22
6023,2011,6,25
6023,2012,6,25
6023,2013,6,33
6023,2014,6,33
6023,2015,6,24
6023,2016,6,22
6025,2000,6,118
6025,2001,6,108
6025,2002,6,108
6025,2003,6,111
6025,2004,6,102
6025,2005,6,107
6025,2006,6,101
6025,2007,6,102
6025,2008,6,110
6025,2009,6,101
6025,2010,6,79
6025,2011,6,106
6025,2012,6,90
6025,2013,6,111
6025,2014,6,93
6025,2015,6,82
6025,2016,6,83
6029,2000,6,88
6029,2001,6,104
6037,2000,6,113
6037,2001,6,129
6037,2002,6,131
6037,2003,6,113
6037,2004,6,112
6037,2005,6,108
6037,2006,6,103
6037,2007,6,102
6037,2008,6,106
6037,2009,6,104
6037,2010,6,104
6037,2011,6,103
6037,2012,6,97
6037,2013,6,89
6037,2014,6,107
6037,2015,6,86
6059,2000,6,102
6059,2001,6,81
6059,2002,6,102
6059,2003,6,102
6059,2004,6,97
6059,2005,6,84
6059,2006,6,101
6059,2007,6,72
6059,2008,6,80
6059,2009,6,63
6059,2010,6,68
6059,2011,6,57
6059,2012,6,53
6059,2013,6,73
6059,2014,6,57
6059,2015,6,49
6065,2000,6,94
6065,2001,6,110
6065,2002,6,98
6065,2003,6,99
6065,2004,6,91
6065,2005,6,76
6065,2006,6,74
6065,2007,6,70
6065,2008,6,91
6065,2009,6,77
6065,2010,6,62
6065,2011,6,61
6065,2012,6,58
6065,2013,6,56
6065,2014,6,56
6065,2015,6,54
6067,2000,6,84
6067,2001,6,73
