id,Year,State_Code,O3_AQI
1073,2013,1,30
1073,2014,1,90
1073,2015,1,147
1073,2016,1,112
2090,2014,2,32
2090,2015,2,47
4013,2000,4,132
4013,2001,4,104
4013,2002,4,122
4013,2003,4,119
4013,2004,4,106
4013,2005,4,114
4013,2006,4,135
4013,2007,4,104
4013,2008,4,109
4013,2009,4,104
4013,2010,4,114
4013,2011,4,114
4013,2012,4,122
4013,2013,4,136
4013,2014,4,147
4013,2015,4,122
4013,2016,4,67
4019,2000,4,109
4019,2001,4,100
4019,2002,4,124
4019,2003,4,106
4019,2004,4,93
4019,2005,4,119
4019,2006,4,100
4019,2007,4,84
4019,2008,4,100
4019,2009,4,77
4019,2010,4,77
4019,2011,4,93
4019,2012,4,71
4019,2013,4,100
4019,2014,4,122
4019,2015,4,80
4019,2016,4,58
5119,2007,5,114
5119,2008,5,100
5119,2009,5,124
5119,2010,5,87
5119,2011,5,119
5119,2012,5,122
5119,2013,5,93
5119,2014,5,100
5119,2015,5,97
5119,2016,5,46
6001,2001,6,29
6001,2002,6,47
6001,2003,6,44
6001,2007,6,27
6001,2008,6,42
6001,2009,6,46
6001,2010,6,42
6001,2011,6,41
6001,2012,6,41
6001,2013,6,50
6001,2014,6,64
6001,2015,6,80
6001,2016,6,45
6013,2000,6,147
6013,2001,6,166
6013,2002,6,151
6013,2003,6,124
6013,2004,6,119
6013,2005,6,111
6013,2006,6,145
6013,2007,6,114
6013,2008,6,137
6013,2009,6,147
6013,2010,6,129
6013,2011,6,106
6013,2012,6,129
6013,2013,6,115
6013,2014,6,133
6013,2015,6,108
6013,2016,6,97
6019,2003,6,174
6019,2007,6,164
6019,2008,6,207
6019,2009,6,172
6019,2010,6,179
6019,2011,6,151
6019,2012,6,201
6019,2013,6,145
6019,2014,6,172
6019,2015,6,182
6019,2016,6,50
6023,2006,6,31
6023,2007,6,44
6023,2008,6,43
6023,2009,6,46
6023,2010,6,41
6023,2011,6,42
6023,2012,6,41
6023,2013,6,42
6023,2014,6,46
6023,2015,6,48
6023,2016,6,44
6025,2000,6,195
6025,2001,6,192
6025,2002,6,137
6025,2003,6,106
6025,2004,6,104
6025,2005,6,145
6025,2006,6,129
6025,2007,6,147
6025,2008,6,145
6025,2009,6,119
6025,2010,6,116
6025,2011,6,101
6025,2012,6,150
6025,2013,6,182
6025,2014,6,151
6025,2015,6,140
6025,2016,6,97
6029,2000,6,40
6029,2001,6,80
6037,2000,6,202
6037,2001,6,172
6037,2002,6,150
6037,2003,6,177
6037,2004,6,172
6037,2005,6,182
6037,2006,6,206
6037,2007,6,166
6037,2008,6,185
6037,2009,6,161
6037,2010,6,122
6037,2011,6,122
6037,2012,6,132
6037,2013,6,143
6037,2014,6,172
6037,2015,6,122
6059,2000,6,127
6059,2001,6,93
6059,2002,6,84
6059,2003,6,132
6059,2004,6,129
6059,2005,6,90
6059,2006,6,58
6059,2007,6,90
6059,2008,6,109
6059,2009,6,90
6059,2010,6,101
6059,2011,6,51
6059,2012,6,101
6059,2013,6,143
6059,2014,6,129
6059,2015,6,129
6065,2000,6,192
6065,2001,6,202
6065,2002,6,204
6065,2003,6,210
6065,2004,6,197
6065,2005,6,206
6065,2006,6,201
6065,2007,6,182
6065,2008,6,201
6065,2009,6,161
6065,2010,6,156
6065,2011,6,177
6065,2012,6,166
6065,2013,6,195
6065,2014,6,197
6065,2015,6,200
6067,2000,6,161
6067,2001,6,179
6067,2002,6,197
6067,2003,6,147
6067,2004,6,135
6067,2005,6,201
6067,2006,6,166
6067,2007,6,200
6067,2008,6,151
6067,2009,6,164
6067,2010,6,142
6067,2011,6,135
6067,2012,6,151
6067,2013,6,154
6067,2014,6,122
6067,2015,6,159
6067,2016,6,32
6071,2000,6,179
6071,2001,6,172
6071,2002,6,187
6071,2003,6,205
6071,2004,6,137
6071,2005,6,179
6071,2006,6,174
6071,2007,6,137
6071,2008,6,204
6071,2009,6,206
6071,2010,6,142
6071,2011,6,204
6071,2012,6,187
6071,2013,6,218
6071,2014,6,200
6071,2015,6,206
6071,2016,6,84
6073,2000,6,109
6073,2001,6,109
6073,2002,6,129
6073,2003,6,101
6073,2004,6,129
6073,2005,6,114
6073,2006,6,84
6073,2007,6,129
6073,2008,6,132
6073,2009,6,100
6073,2010,6,71
6073,2011,6,127
6073,2012,6,97
6073,2013,6,126
6073,2014,6,115
6073,2015,6,90
6075,2000,6,36
6075,2001,6,46
6075,2002,6,42
6075,2003,6,50
6075,2004,6,50
6075,2005,6,47
6075,2006,6,39
6075,2007,6,45
6075,2008,6,71
6083,2000,6,122
6083,2001,6,127
