id,Year,State_Code,SO2_AQI
1073,2013,1,50.0
1073,2014,1,97.0
1073,2015,1,69.0
1073,2016,1,65.0
2090,2014,2,49.0
2090,2015,2,72.0
4013,2000,4,41.0
4013,2001,4,26.0
4013,2002,4,30.0
4013,2003,4,43.0
4013,2004,4,21.0
4013,2005,4,59.0
4013,2006,4,92.0
4013,2007,4,20.0
4013,2008,4,16.0
4013,2009,4,40.0
4013,2010,4,20.0
4013,2011,4,14.0
4013,2012,4,13.0
4013,2013,4,13.0
4013,2014,4,16.0
4013,2015,4,13.0
4013,2016,4,9.0
4019,2000,4,27.0
4019,2001,4,14.0
4019,2002,4,39.0
4019,2003,4,30.0
4019,2004,4,33.0
4019,2005,4,31.0
4019,2006,4,24.0
4019,2007,4,34.0
4019,2008,4,29.0
4019,2009,4,16.0
4019,2010,4,20.0
4019,2011,4,17.0
4019,2012,4,9.0
4019,2013,4,10.0
4019,2014,4,13.0
4019,2015,4,7.0
4019,2016,4,1.0
5119,2007,5,17.0
5119,2008,5,52.0
5119,2009,5,60.0
5119,2010,5,37.0
5119,2011,5,30.0
5119,2012,5,52.0
5119,2013,5,11.0
5119,2014,5,16.0
5119,2015,5,41.0
5119,2016,5,7.0
6001,2001,6,11.0
6001,2002,6,29.0
6001,2003,6,30.0
6001,2007,6,20.0
6001,2008,6,20.0
6001,2009,6,23.0
6001,2010,6,13.0
6001,2011,6,27.0
6001,2012,6,91.0
6001,2013,6,67.0
6001,2014,6,23.0
6001,2015,6,30.0
6001,2016,6,30.0
6013,2000,6,40.0
6013,2001,6,56.0
6013,2002,6,117.0
6013,2003,6,127.0
6013,2004,6,107.0
6013,2005,6,43.0
6013,2006,6,62.0
6013,2007,6,65.0
6013,2008,6,33.0
6013,2009,6,19.0
6013,2010,6,29.0
6013,2011,6,20.0
6013,2012,6,27.0
6013,2013,6,16.0
6013,2014,6,41.0
6013,2015,6,14.0
6013,2016,6,17.0
6019,2003,6,27.0
6019,2007,6,34.0
6019,2008,6,17.0
6019,2009,6,19.0
6019,2010,6,21.0
6019,2011,6,23.0
6019,2012,6,11.0
6019,2013,6,7.0
6019,2014,6,9.0
6019,2015,6,14.0
6019,2016,6,0.0
6023,2006,6,36.0
6023,2007,6,4.0
6023,2008,6,21.0
6023,2009,6,37.0
6023,2010,6,4.0
6023,2011,6,3.0
6023,2012,6,3.0
6023,2013,6,1.0
6023,2014,6,1.0
6023,2015,6,1.0
6023,2016,6,1.0
6025,2000,6,37.0
6025,2001,6,3.0
6025,2002,6,3.0
6025,2003,6,1.0
6025,2004,6,4.0
6025,2005,6,1.0
6025,2006,6,153.0
6025,2007,6,20.0
6025,2008,6,26.0
6025,2009,6,19.0
6025,2010,6,13.0
6025,2011,6,13.0
6025,2012,6,21.0
6025,2013,6,14.0
6025,2014,6,16.0
6025,2015,6,23.0
6025,2016,6,9.0
6029,2000,6,17.0
6029,2001,6,43.0
6037,2000,6,141.0
6037,2001,6,115.0
6037,2002,6,125.0
6037,2003,6,47.0
6037,2004,6,59.0
6037,2005,6,57.0
6037,2006,6,40.0
6037,2007,6,52.0
