Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI
2000-03-31,50,3,30.0,16.0
2000-04-01,48,34,109.0,18.0
2000-04-02,45,39,23.0,16.0
2000-04-03,30,26,10.0,8.0
2000-04-04,42,36,10.0,9.0
2000-04-05,44,48,72.0,10.0
2000-04-06,39,30,27.0,9.0
2000-04-07,29,25,13.0,9.0
2000-04-08,37,34,10.0,9.0
2000-04-09,49,46,10.0,14.0
2000-04-10,50,47,65.0,16.0
2000-04-11,25,30,59.0,6.0
2000-04-12,32,34,33.0,7.0
2000-04-13,42,38,46.0,7.0
2000-04-14,48,36,33.0,14.0
2000-04-15,27,43,19.0,8.0
2000-04-16,30,29,16.0,7.0
2000-04-17,23,16,6.0,7.0
2000-04-18,26,26,33.0,8.0
2000-04-19,35,61,37.0,8.0
2000-04-20,28,27,55.0,7.0
2000-04-21,43,41,9.0,10.0
2000-04-22,54,61,31.0,14.0
2000-04-23,29,31,43.0,9.0
2000-04-24,45,33,24.0,7.0
2000-04-25,53,47,56.0,11.0
2000-04-26,56,49,39.0,16.0
2000-04-27,52,35,33.0,16.0
2000-04-28,52,47,31.0,11.0
2000-04-29,60,64,20.0,13.0
2000-04-30,57,87,44.0,16.0
2000-05-01,44,50,33.0,8.0
2000-05-02,44,51,40.0,7.0
2000-05-03,30,36,59.0,9.0
2000-05-04,57,43,34.0,10.0
2000-05-05,30,44,41.0,9.0
2000-05-06,31,30,39.0,9.0
2000-05-07,23,25,34.0,9.0
2000-05-08,22,35,39.0,9.0
2000-05-09,26,28,10.0,10.0
2000-05-10,84,45,46.0,9.0
2000-05-11,29,37,54.0,9.0
2000-05-12,30,36,6.0,10.0
2000-05-13,40,39,7.0,8.0
2000-05-14,44,45,33.0,10.0
2000-05-15,44,48,55.0,10.0
2000-05-16,45,58,97.0,11.0
2000-05-17,40,48,47.0,10.0
2000-05-18,39,43,43.0,9.0
2000-05-19,24,26,51.0,8.0
2000-05-20,42,36,41.0,14.0
2000-05-21,36,42,14.0,15.0
2000-05-22,36,50,19.0,13.0
2000-05-23,54,45,23.0,16.0
2000-05-24,48,58,26.0,17.0
2000-05-25,63,77,29.0,14.0
2000-05-26,55,35,37.0,16.0
2000-05-27,22,36,13.0,9.0
2000-05-28,13,31,7.0,8.0
2000-05-29,22,47,26.0,8.0
2000-05-30,31,97,17.0,10.0
2000-05-31,44,90,30.0,10.0
2000-06-01,50,67,30.0,10.0
2000-06-02,39,40,10.0,9.0
2000-06-03,48,58,16.0,8.0
2000-06-04,38,58,23.0,13.0
2000-06-05,30,31,7.0,7.0
2000-06-06,49,49,17.0,9.0
2000-06-07,44,87,89.0,14.0
2000-06-08,48,109,57.0,7.0
2000-06-09,53,77,37.0,8.0
2000-06-10,45,31,39.0,8.0
2000-06-11,26,25,13.0,8.0
2000-06-12,24,28,4.0,8.0
2000-06-13,24,42,16.0,7.0
2000-06-14,38,37,13.0,7.0
2000-06-15,31,42,43.0,6.0
2000-06-16,39,22,37.0,7.0
2000-06-17,25,19,10.0,7.0
2000-06-18,38,36,19.0,9.0
2000-06-19,42,37,39.0,13.0
2000-06-20,24,35,20.0,7.0
2000-06-21,25,36,24.0,6.0
2000-06-22,50,46,40.0,9.0
2000-06-23,31,46,11.0,10.0
2000-06-24,22,28,11.0,7.0
2000-06-25,31,44,79.0,7.0
2000-06-26,26,34,13.0,7.0
2000-06-27,35,33,49.0,7.0
2000-06-28,41,54,26.0,9.0
2000-06-29,43,42,6.0,8.0
2000-06-30,38,25,56.0,15.0
2000-07-01,36,54,50.0,13.0
2000-07-02,25,39,17.0,7.0
2000-07-03,16,36,10.0,7.0
2000-07-04,20,36,20.0,7.0
2000-07-05,42,49,49.0,9.0
2000-07-06,41,61,36.0,10.0
2000-07-07,29,93,11.0,8.0
2000-07-08,42,106,69.0,8.0
2000-07-09,28,77,27.0,8.0
2000-07-10,26,67,17.0,9.0
2000-07-11,32,67,102.0,8.0
2000-07-12,32,77,11.0,8.0
2000-07-13,40,74,47.0,9.0
2000-07-14,41,51,7.0,11.0
2000-07-15,39,61,75.0,10.0
2000-07-16,47,111,30.0,11.0
2000-07-17,38,29,34.0,10.0
2000-07-18,34,50,101.0,9.0
2000-07-19,17,39,34.0,7.0
2000-07-20,38,36,52.0,9.0
2000-07-21,36,38,7.0,10.0
2000-07-22,35,47,41.0,11.0
2000-07-23,33,43,26.0,11.0
2000-07-24,50,49,44.0,10.0
2000-07-25,53,80,57.0,15.0
2000-07-26,43,129,33.0,11.0
2000-07-27,42,77,17.0,10.0
2000-07-28,44,35,20.0,11.0
2000-07-29,31,34,11.0,9.0
2000-07-30,34,42,16.0,10.0
2000-07-31,41,33,20.0,13.0
2000-08-01,41,49,23.0,14.0
2000-08-02,39,54,19.0,14.0
2000-08-03,33,74,91.0,9.0
2000-08-04,26,47,34.0,7.0
2000-08-05,29,38,60.0,8.0
2000-08-06,34,45,10.0,8.0
2000-08-07,34,33,61.0,9.0
2000-08-08,37,29,65.0,11.0
2000-08-09,25,67,16.0,11.0
2000-08-10,44,45,108.0,8.0
2000-08-11,43,67,57.0,11.0
2000-08-12,39,100,75.0,11.0
2000-08-13,33,49,67.0,7.0
2000-08-14,35,116,33.0,7.0
2000-08-15,63,109,31.0,13.0
2000-08-16,46,135,33.0,14.0
2000-08-17,31,90,27.0,8.0
2000-08-18,41,37,75.0,8.0
2000-08-19,36,37,16.0,10.0
2000-08-20,25,39,19.0,6.0
2000-08-21,31,47,37.0,7.0
2000-08-22,41,111,50.0,8.0
2000-08-23,54,127,29.0,9.0
2000-08-24,40,61,36.0,8.0
2000-08-25,30,84,71.0,8.0
